Title,Authors,Author affiliations,Abstract,Funders,Language,DOI,Access rights,Usage rights,Repository link,Publication date,Publication date (Online),Journal,ISSN,Publisher,Volume,Issue,Pages,Subjects,Countries
Evaluation of the severity and tolerance of a collection of durum wheat to root rot assessment,"Ouabbou, Hassan",National Institute of Agronomic Research of Morocco - INRA Morocco,"National production of durum wheat falls short of its potential, and
By controlling its major diseases, including root rot. These
latest induced by Fusarium culmorum and Cochliobolus sativus, see their
Severity worsen with climate change. Genetic improvement work
Diseases are more or less discontinuous, and it is from this perspective that this
The aim of this work is to evaluate the levels of resistance to root rot
National collection of 100 strains of durum wheat. The lines were planted in natural soil
Previously inoculated with a conidial suspension of the two fungi. The experience
Was repeated twice during two years under glass. The selected variables were
The severity index (SI), the percentage of germination (Germ), and the dry weight (PS). The
Selection of resistant lines was based on the analysis of variance, and the identification of
Tolerant lines was accomplished by integrating main component analysis,
And hierarchical classification, all based on (IS, PS, and Germ and yield
biological). Seven lines were identified as resistant on both
Years: 3012, 9373, 3010, 3191, 9416, 40041 and 3052 with severities ranging from 42 to 52%,
On the other hand, lines 3206, 9406, 3017 and 3110 were identified as tolerant with
Severity ranging from 41 to 50% but with a biological yield ranging from 3.4 to 5.7 g. The Implications of our findings are discussed at the level of this paper.",Government of Morocco - Morocco,en,,Open access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/5650,,2014-06-30,Moroccan Journal of Plant Protection,,Institute of Plant Protection,5,,17-30,adaptation; climate change adaptation; disease control; disease; wheat,MA
Impact of climate change and agricultural practices on irrigation water requirements under Nile delta conditions,"Swelam, Atef; El-Marsafawy, Samia","International Center for Agricultural Research in the Dry Areas - ICARDA; Agricultural Research Center, Soil, Water and Environment Research Institute - ARC - SWERI","Agriculture in Egypt consumes about 80% of the available water resources. With an ever-increasing demand and a relatively fixed supply of fresh water, every drop of water should be treated as a drop of life. Consequently, effective on-farm irrigation management becomes a must. The present study aims to estimate amounts of irrigation water (IW) requirements for crops grown in the Nile Delta Region over three decades (1985-2015). In addition, the impact of weather variability on the irrigation water needs from year to year is assessed using the FAO CROPWAT 8.0 model. Results showed that the mean IW requirements for winter crops ranged between 3,812 m3ha-1 (kidney beans) and 5,610 m3 ha-1 (sugar beet). On the other hand, IW requirements for summer crops are much higher with mean values ranging between 5,483 m3 ha-1 (kidney beans) to 25,411 m3ha-1 (sugarcane). For orchards, the mean amount of IW requirement ranged between 11,728 m3ha-1 (grapes) to 24,059 m3.ha-1 (banana). Variability of IW requirements due to climate variability ranged between -14% and +27% for winter field crops, between -6% and +17% for winter vegetable crops, between -6% and +19% for summer field crops, between -6% and +20% for summer vegetable crops, and between -5% and +20% for orchards. Summer cultivation of the same vegetable crops results in an increase in water consumption ranging between 44 and 145%. The use of new short duration varieties of rice (120 days instead of 150 days) saves about 4,000 m3ha-1 of irrigation water.",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.21608/mjae.2019.94442,Open access,Copyrighted; Non-commercial educational use only,https://hdl.handle.net/20.500.11766/10633,2019-01-22,2019-01-22,MISR JOURNAL OF AGRICULTURAL ENGINEERING,1687-384X,Misr Society of Agricultural Engineering,36,1,87-104,nile delta region; cropwat8.0 model; irrigation water requirement; weather variability,EG
Neglecting legumes has compromised human health and sustainable food production,"Foyer, Christine H.; Lam, Hon-Ming; Nguyen, Henry T.; Siddique, Kadambot H M; Varshney, Rajeev; Colmer, Timothy; Cowling, Wallace; Bramley, Helen; Mori, Trevor A.; Hodgson, Jonathan; Cooper, James; Miller, Anthony J.; Kunert, Karl; Vorster, Juan; Cullis, Christopher; Ozga, Jocelyn; Wahlqvist, Mark L.; Liang, Yan; Shou, Huixia; Shi, Kai; Yu, Jingquan; Fodor, Nandor; Kaiser, Brent N.; Wong, Fuk-Ling; Valliyodan, Babu; Considine, Michael J.","International Crops Research Institute for the Semi-Arid Tropics - ICRISAT; University of Sydney; University of Leeds - UOL; University of Pretoria - UP; The University of Western Australia, Institute of Agriculture - UWA - IOA; Department of Agriculture and Food Western Australia - DAFWA; The University of Western Australia - UWA; University of Missouri - MU USA; The Chinese University of Hong Kong - CUHK; John Innes Centre, Norwich Research Park - JIC - NRP; Case Western Reserve University; University of Alberta; Zhejiang University - ZJU","The United Nations declared 2016 as the International Year of Pulses (grain legumes) under the banner ‘nutritious seeds for a
sustainable future’. A second green revolution is required to ensure food and nutritional security in the face of global climate change.
Grain legumes provide an unparalleled solution to this problem because of their inherent capacity for symbiotic atmospheric nitrogen
fixation, which provides economically sustainable advantages for farming. In addition, a legumerich
diet has health benefits for humans
and livestock alike. However, grain legumes form only a minor part of most current human diets, and legume crops are greatly underused.
Food security and soil fertility could be significantly improved by greater grain legume usage and increased improvement of a
range of grain legumes. The current lack of coordinated focus on grain legumes has compromised human health, nutritional security
and sustainable food production.",,en,https://dx.doi.org/10.1038/nplants.2016.112,Limited access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/6678,,2016-08-02,Nature Plants,ESSN: 2055-0278,Nature Publishing Group,2 (16112),,1-10,climate change; legumes; grain legumes; human health; sustainable agriculture; food production; legume; food and nutritional security; grain legume production,
Understanding Changes in the Hydrometeorological Conditions towards Climate-Resilient Agricultural Interventions in Ethiopia,"Sahoo, Satiprasad; Govind, Ajit",International Center for Agricultural Research in the Dry Areas - ICARDA; International Institute of Geospatial Science & Technology - IIGST,"Climate resilient agriculture (CRA) is very important to achieve long-term improvement in productivity and farm incomes under climate uncertainty. The present study focuses on investigating the plausible changes in the hydrometeorological conditions using big-data analysis techniques in the study of Ethiopia. The original contribution of this work envisages the importance of the CRA system in water-scarce areas for sustainable agriculture planning and management under changing climatic conditions. In the present research, a TerraClimate model was the basis for weather (precipitation and temperature) and hydrological data (runoff, actual evapotranspiration, potential evapotranspiration, vapor pressure deficit and climate water deficit); these data were used to determine the spatial distribution of the standardized anomaly index (SAI) and the slope of the linear regression for long-term (1958–2020) trend analysis. Future climate trend analysis (2021–2100) has been performed through the CMIP6 (EC-Earth3) shared socio-economic pathway (SSP 2) 4.5 dataset. Gravity Recovery and Climate Experiment (GRACE) with CSR and JPL data were utilized for the generation of water storage heat maps from 2002 to 2021. The results show that the average annual rainfall data for over 62 years was found to be 778.42 mm and the standard deviation is 81.53 mm. The results also show that the western part of the study area has the highest temperature trend, which diminishes as one moves eastward; the minimum temperature trend has been found in the western part of the study area. It was found that the equivalent water thickness (EWT) range of both CSR and JPL products was −15 to 40 cm. These results can help local climate-resilient development planning and enhance coordination with other institutions to access and manage climate finance.","Foreign Affairs, Foreign Trade and Development Cooperation; CGIAR Trust Fund",en,https://dx.doi.org/10.3390/agronomy13020387,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/68781,2023-01-28,2023-01-28,Agronomy,0065-4663,MDPI,13,2,,climate change; food security; gis; climate resilient agriculture; hydrological conditions,ET
A participatory method to enhance the collective ability to adapt to rapid glacier loss: the case of mountain communities in Tajikistan,"Christmann, Stefanie; Aw-Hassan, Aden A.",International Center for Agricultural Research in the Dry Areas - ICARDA,"The rapid loss of small glaciers worldwide might result in mountain villages changing from having plenty of water during the growing season, to facing a scarcity even in scenarios with adaptation. Climate-change effects might cause the need for significant changes in rural mountain economies that currently rely on irrigated agriculture, pastoralism and labor migration. Previous research mainly focuses on geophysical aspects and little is known about the local ability to understand climate-change indicators or local collective adaptive capacity. A 2010 participatory case study in the Zerafshan Range, Tajikistan, disclosed a local lack of awareness of climate change and its consequences. We present a social learning method based on scenarios and visualization. The process exposed a remarkable potential for comprehensive adaptation, including in water harvesting, choice of crops and livestock, environmental enhancement, skills and conflict management. We recommend the approach as a model to promote local collective adaptive capacity development. The case study revealed high risks of massive out-migration from mountain villages if adaptation starts too late: countries with a high proportion of mountain agriculture might see significant losses of agricultural area, a reduction in food production and an increase in conflicts in areas where immigration occurs.",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.1007/s10584-015-1468-1,Timeless limited access,,https://hdl.handle.net/20.500.11766/8327,2015-11-30,2015-07-23,Climatic Change,0165-0009,Springer Verlag (Germany),133,2,267-282,adaptive capacity; labor migration; adaptation option; ecologic dynamic; bonding social capital,TJ
"Simulation analysis of factors affecting sorghum yield at selected sites in eastern and southern Africa, with emphasis on increasing temperatures","Turner, Neil; Rao, Karuturi","International Crops Research Institute for the Semi-Arid Tropics - ICRISAT; The University of Western Australia, Institute of Agriculture - UWA - IOA","Global warming is widely predicted to decrease crop yields in tropical, sub-tropical and Mediterranean climatic regions as a result of a speeding up of phenological development and shortening of the time to maturity. We used a well-tested simulation model, APSIM-Sorghum, to evaluate the impact of temperatures +1 °C, +2 °C, +3 °C, +4 °C and +5 °C above current temperatures measured over the past ∼50 years at four sites in eastern and southern Africa, namely, Katumani and Makindu in Kenya, Chitala in Malawi and Beitbridge in Zimbabwe, on the yield, aboveground biomass, transpiration and soil evaporation of short-, medium- and long-duration sorghum [Sorghum bicolor (L.) Moench] cultivars given, 0, 20, 40, and 80 kg nitrogen (N) ha−1. When fertilized with 80 kg N ha−1, warming temperatures decreased average yields at Chitala and Beitbridge and yields were unchanged at Makindu and Katumani, but with no added fertilizer average yields increased with increase in temperature at all sites except the hottest and driest site, Beitbridge, where the simulated yields decreased with increasing temperature. Simulation of the changes in soil organic carbon showed that the higher temperatures increased the rate of loss of soil organic carbon and increased nitrogen uptake at all except the driest and hottest site. A micro-dose (20 kg N ha−1) of added nitrogen increased the simulated yields by an average of 19% at Beitbridge, 36% at Makindu, 59% at Katumani and 72% at Chitala, considerably greater than any increase from increased temperatures. The use of longer-duration cultivars and lower or higher populations could not consistently be used to overcome any reductions in yield from warming temperatures. We conclude that low-input, small-holder farmers will not immediately have reduced sorghum yields as a consequence of global warming, but micro-dosing with nitrogen fertilizer will significantly increase yields even in the hottest and driest locations.",,en,https://dx.doi.org/10.1016/j.agsy.2013.06.002,Timeless limited access,,https://hdl.handle.net/20.500.11766/5231,2013-10-01,2013-07-25,Agricultural Systems,0308-521X,Elsevier Masson,121,,53-62,crops; global warming; simulation modeling; apsim-sorghum; probability distributions; higher inputs; adaptation to climate change,KE; MW; ZW
"A new concept of irrigation response units for effective management of surface and groundwater resources: a case study from the multi‑country Fergana Valley, Central Asia","Awan, Usman; Ibrakhimov, Mirzakhayot; Benli, Bogachan; Lamers, Johannes; Liaqat, Umar Waqas","International Center for Agricultural Research in the Dry Areas - ICARDA; Khorezm Rural Advisory Support Service - KRASS; University of Bonn, Center for Development Research - Uni-Bonn - ZEF; Hanyang University","When estimating canal water supplies for largescale irrigation schemes and especially in arid regions
worldwide, the impact of all factors affecting the gross
irrigation requirements (GIR) are not properly accounted
for, which results in ineffcient use of precious freshwater
resources. This research shows that the concept of irrigation response units (IRU)—areas having unique combinations of factors effecting the GIR—allows for more precise estimates of GIR. An overlay analysis of soil texture
and salinity, depth and salinity of groundwater, cropping
patterns and irrigation methods was performed in a GIS
environment, which yielded a total of 17 IRUs combinations of the Oktepa Zilol Chashmasi water consumers’
association in multi-country Fergana Valley, Central Asia.
Groundwater contribution, leaching requirements, losses
in the irrigation system through feld application and conveyance and effective rainfall were included in GIR estimates. The GIR varied signifcantly among IRUs [average
of 851 mm (±143 mm)] with a maximum (1051 mm) in
IRU-12 and a minimum (629 mm) in IRUs-15, 16. Owing to varying groundwater levels in each IRU, the groundwater contribution played a key role in the estimation of the
GIR. The maximum groundwater contribution occurred in
IRUs dominated by cotton–fallow rotations as evidenced
by an average value of 159 mm but a maximum of 254 mm
and a minimum of 97 mm. Percolation losses depended on
irrigation methods for different crops in their respective
IRUs. The novel approach can guide water managers in this
and similar regions to increase the accuracy of irrigation
demands based on all the factor effecting the GIR.",International Water Management Institute - IWMI,en,https://dx.doi.org/10.1007/s00271-016-0521-9,Limited access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/5866,,2016-09-06,Irrigation Science,0342-7188,Springer Verlag (Germany),35,1,55-68,climate change; climate change adaptation; climate change mitigation; water management,UZ
A geo-informatics approach for estimating water resources management components and their interrelationships,"Liaqat, Umar Waqas; Awan, Usman; McCabe, Matthew Francis; Choi, Minha",International Center for Agricultural Research in the Dry Areas - ICARDA; King Abdullah University of science and technology - kaust; Hanyang University; Sungkyunkwan University,"A remote sensing based geo-informatics approach was developed to estimate water resources management (WRM) components across a large irrigation scheme in the Indus Basin of Pakistan. The approach provides a generalized framework
for estimating a range of key water management variables and provides a management tool for the sustainable operation
of similar schemes globally. A focus on the use of satellite data allowed for the quantification of relationships across
a range of spatial and temporal scales. Variables including actual and crop evapotranspiration, net and gross irrigation,
net and gross groundwater use, groundwater recharge, net groundwater recharge, were estimated and then their interrelationships explored across the Hakra Canal command area. Spatially distributed remotely sensed estimates of actual
evapotranspiration (ETa) rates were determined using the Surface Energy Balance System (SEBS) model and evaluated
against ground-based evaporation calculated from the advection-aridity method. Analysis of ETa simulations across two
cropping season, referred to as Kharif and Rabi, yielded Pearson correlation (R) values of 0.69 and 0.84, Nash-Sutcliffe
criterion (NSE) of 0.28 and 0.63, percentage bias of −3.85%  and 10.6% and root mean squared error (RMSE) of 10.6 mm
and 12.21 mm for each season, respectively. For the period of study between 2008 and 2014, it was estimated that an
average of 0.63 mm day−1 water was supplied through canal irrigation against a crop water demand of 3.81 mm day−1.
Approximately 1.86 mm day−1 groundwater abstraction was estimated in the region, which contributed to fulfil the gap
between crop water demand and canal water supply. Importantly, the combined canal, groundwater and rainfall sources
of water only met 70% of the crop water requirements. As such, the difference between recharge and discharge showed
that groundwater depletion was around −115 mm year−1 during the six year study period. Analysis indicated that monthly
changes in ETa were strongly correlated (R = 0.94) with groundwater abstraction and rainfall, with the strength of this
relationship significantly (p < 0.01 and 0.05) impacted by cropping seasons and land use practices. Similarly, the net
groundwater recharge showed a good positive correlation (R) of 0.72 with rainfall during Kharif, and a correlation of 0.75
with canal irrigation during Rabi, at a significance level of p < 0.01. Overall, the results provide insight into the interrelationships between key WRM components and the variation of these through time, offering information to improve the
management and strategic planning of available water resources in this region.",International Water Management Institute - IWMI,en,https://dx.doi.org/10.1016/j.agwat.2016.09.010,Limited access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/5864,,2016-09-10,Agricultural Water Management,0378-3774,Elsevier Masson,178,,89-105,climate change; climate change adaptation; climate change mitigation; water management,PK
Nitrogen Management in Calcareous Soils: Problems and Solutions,"Maqsood, Muhammad; Awan, Usman; Aziz, Tariq; Arshad, Haseeb; Ashraf, Nadeem; Ali, Mohsin","International Center for Agricultural Research in the Dry Areas - ICARDA; University of Agriculture, Faisalabad - UAF","Nitrogen (N) is the most widely applied plant nutrient and is a key constituent of animal manures. Improvement in crop
yields and high economic returns have been made possible through supplementation of crops with organic and inorganic
fertilizers. The movement of N in the environment has been extensively studied and documented. The fate of N ranges from
nitrification, denitrification, nitrous oxide formation, leaching of nitrate, and volatilization of ammonia. Even with this
knowledge the variation in N movement within the soil, air and water varies greatly with changed edaphic factors. For
instance the fate of N fertilizer under calcareous soil systems still has not been investigated widely. We reviewed the
sporadic information available on N fate and management in calcareous soils especially in Pakistan. We discussed the
sources and fate of N in calcareous soils of Pakistan and also the currently adopted and newly developed method to reduce
the N losses",International Water Management Institute - IWMI,en,https://dx.doi.org/10.21162/PAKJAS/16.4867,Open access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/5879,,2016-08-11,Pakistan Journal of Agricultural Sciences,0552-9034,University of Agriculture,53,1,79-95,climate change; climate change adaptation; climate change mitigation; water management,PK
"Assessment of water resources system in Qena governorate, Upper Egypt under different hydrological and agronomic conditions","Omar, Mohie; M. Aly, Marwa",International Center for Agricultural Research in the Dry Areas - ICARDA; Agricultural Research Center Egypt - ARC Egypt; Helwan University,"This paper assessed the current water resources system and two future scenarios in the Qena Governorate by developing a Water Balance Model (WB Model) and Water Security Quality-based Index (WSQI). The first scenario presented 25% reduction in Nile flow, while the second scenario suggested adaptation measures to comply with flow reduction. The measures included leveling 100,000 feddans, serving 70,000 feddans with sprinkler irrigation, and lining 2,977 km of canals. The WB Model estimated WB components. The WSQI was a new index suitable for Egypt's conditions considering water quality. The water supply from High Aswan Dam (HAD) was predicted by the BlueM model for hydrological simulations of Nasser Lake. The study found that the current water shortage was fulfilled by drainage reuse and shallow groundwater, and the WQSI indicated a low water insecurity. The flow reduction increased the water shortage and reuse quantity. As a result, the WSQI indicated high water insecurity. The suggested measures improved agricultural water use efficiency from 51% to 63%, reduced water shortage, and improved the water insecurity level from high to medium. This study concluded that adaptation measures can improve the future water system and water security in the Qena Governorate. The study recommended upscaling WSQI use for the entire country.",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.2166/ws.2021.413,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/67360,,2021-12-06,Water Supply,1606-9749,IWA Publishing,22,3,,climate change; water balance model; water security quality-based index,
Economic valuation of cactus pear production in semi-arid regions of Tunisia,"Louhaichi, Mounir; Hamdeni, Imtinene; Slim, Slim; Hassan, Sawsan; Harbeg, Lamia; Ghouhis, Fethi",International Center for Agricultural Research in the Dry Areas - ICARDA; Office of Livestock and Pasture Authority - OEP; National Agronomic Institute of Tunisia - INAT; Ecole Supérieure d'Agriculture de Mateur - ESAM,"Arid and semi-arid lands are considered unsuitable for crop production because they require substantial amounts of water and additional nutrients. However, certain species can perform well and enhance the livelihoods of poor farmers. In the semi-arid regions of Tunisia, cactus pear (Opuntia ficus indica L. Mill.) is a potential subsistence fruit and forage plant. Sixty questionnaire surveys were conducted in Kairouan and Sidi Bouzid Provinces to assess the cost and benefits of cactus pear cultivation for feed and fruit production. Results showed that cactus pear production systems are characterized by low inputs; 85% of the farmers surveyed are using cactus pear for animal feed during the summer and fall compared to 26 and 37% in winter and spring. Fifty percent of the annual cactus pear cladode production (between 10 and 40 t ha‑1) is used for livestock feeding. Fruit productivity ranged between 1 to 5 t ha‑1 with an average of 2.5 t ha‑1. Both fruits and cladodes are harvested manually. The estimated net profitability of 1 ha of cactus pear is about 800 USD (32% fodder production and 62% fruit production). Farmers in semi-arid regions of Tunisia are practicing traditional production system techniques. However, with the new technologies available, a wide range of products based on fruits and cladodes can be obtained, which can increase cactus pear profitability. Hence, efforts are needed to train farmers. We concluded that cactus pear cultivation would strengthen agro-pastoral system resilience by mitigating the negative impacts of climate change and enhancing pastoralist incomes.",CGIAR System Organization - CGIAR,en,https://dx.doi.org/10.17660/ActaHortic.2022.1343.13,Open access,Copyrighted; Non-commercial educational use only,https://hdl.handle.net/20.500.11766/67821,,2022-09-21,Acta Horticulturae,0567-7572,International Society for Horticultural Science (ISHS),1343,,97-102,climate change; markets; production systems; goal 13 climate action; cactus; fodder production; dry areas; fruit production; climate adaptation and mitigation; environmental health and biodiversity,TN
"Adoption of multiple climate-smart agricultural practices in the Gangetic plains of Bihar, India","Prakash Aryal, Jeetendra; Lal Jat, Mangi; Sapkota, Tek Bahadur; Chhetri, Arun K.; Kassie, Menale; Bahadur Rahut, Dil",International Maize and Wheat Improvement Center - CIMMYT; National Agricultural Research Institute of Tunisia - INRAT; International Center of Insect Physiology and Ecology - ICIPE,"The adoption of climate-smart agricultural practices (CSAPs) is important for sustaining Indian agriculture in the face of climate change. Despite considerable effort by both national and international agricultural organizations to promote CSAPs in India, adoption of these practices is low. This study aims to examine the elements that affect the likelihood and intensity of adoption of multiple CSAPs in Bihar, India.

Design/methodology/approach
The probability and intensity of adoption of CSAPs are analyzed using multivariate and ordered probit models, respectively.

Findings
The results show significant correlations between multiple CSAPs, indicating that their adoptions are interrelated, providing opportunities to exploit the complementarities. The results confirm that both the probability and intensity of adoption of CSAPs are affected by numerous factors, such as demographic characteristics, farm plot features, access to market, socio-economics, climate risks, access to extension services and training. Farmers who perceive high temperature as the major climate risk factor are more likely to adopt crop diversification and minimum tillage. Farmers are less likely to adopt site-specific nutrient management if faced with short winters; however, they are more likely to adopt minimum tillage in this case. Training on agricultural issues is found to have a positive impact on the likelihood and the intensity of CSAPs adoption.

Practical implications
The major policy recommendations coming from of our results are to strengthen local institutions (public extension services, etc.) and to provide more training on CSAPs.

Originality/value
By applying multivariate and ordered probit models, this paper provides some insights on the long-standing discussions on whether farmers adopt CSAPs in a piecemeal or in a composite way.",International Maize and Wheat Improvement Center - CIMMYT,en,https://dx.doi.org/10.1108/IJCCSM-02-2017-0025,Open access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/9792,,2017-10-06,International Journal of Climate Change Strategies and Management,1756-8692,Emerald,,,,climate change adaptation; minimum tillage; crop diversification; site-specific nutrient management; climate smart agricultural practices; stress-tolerant seed varieties,IN
Modeling-based performance assessment of an indigenous macro-catchment water harvesting technique (Marab) in the Jordanian Badia,"Renzi, Niccolò; Villani, Lorenzo; Haddad, Mira; Strohmeier, Stefan; Hilali, Muhi El-Dine; Al Widyan, Jafar; Bresci, Elena; Castelli, Giulio",International Center for Agricultural Research in the Dry Areas - ICARDA; National Agricultural Research Center Jordan - NARC Jordan; Utrecht University - UU; University of Natural Resources and LIfe Science - BOKU; University of Florence - UniFi; University of Geneva; Vrije Universiteit Brussel,"Water resources management is fundamental for rural communities in drylands, where water harvesting technologies (WHT) can be used for intercepting surface runoff and storing water in soils. The so-called “Marab” WHT was initially developed by Middle Eastern agro-pastoralists that reside or commute in semi-arid and arid rangelands. The Marab WHT is a macro-catchment measure consisting of earth dams and stone spillways along the contours of a lowland depression or floodplain. Dependent on the local context (i.e., climate, soil, management, etc.), the established Marabs show highly variable effectiveness and little scientific evidence is supporting the scaling out of the technology. This study aims at filling the knowledge gap on the Marab performance in different environments by simulating its hydro-agrological effects for different soils and climatic conditions using the AquaCrop model. A case study performed for a Jordanian Marab over three seasons (2019–2022) confirms its huge improvement potential for barley production. Through Marab-based farming, barley production reached 8.37 t ha 1 on average, versus highly variable 0.34 t ha 1 without the WHT. The simulation-based assessment of soil textures identified that silty soils have the largest potential for producing up to 9.25 t ha 1 barley, compared to 6.60 t ha 1 produced in clay soils. Assessing different climate scenarios, a slight increase in daily average temperatures (+0.5 C) led to a considerable production decline of 4%–8%, while a significant reduction of precipitation ( 20%) decreased biomass production by a similar rate (4%–10%). This underlines the robustness of the “Marab” WHT to rainfall amount variation. However, simulations also highlight the sensitivity of timing and frequency of flood events: removing the last and the first flood event reduced biomass production by approximately 50% and 80%, respectively, while the barley fails to develop if both events were suppressed.","United States Department of Agriculture, US Forest Service - USDA-USFS",en,https://dx.doi.org/10.1002/ldr.4838,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/69072,2023-11-01,2023-07-26,Land Degradation and Development,1085-3278,Wiley (24 months - No Online Open),34,17,5191-5206,climate change; drylands; rangelands; modelling; rainwater harvesting; aquacrop,JO
"Potential and limits of exploitation of crop wild relatives for pea, lentil, and chickpea improvement","Coyne, Clarice J; Agrawal, Shiv Kumar; von Wettberg, Eric J. B.; Marques, Edward; Berger, Jens; J. Redden, Robert; Ellis, T.H. Noel; Brus, Jan; Zablatzka, Lenka; Smykal, Petr","International Center for Agricultural Research in the Dry Areas - ICARDA; Commonwealth Science and Industrial Research Organisation - CSIRO; The University of Vermont - UVM; John Innes Centre - JIC; United States Department of Agriculture, Agricultural Research Service - USDA-ARS; Palacky University Olomouc; RJR Agricultural Consultants; University of Auckland - AUKLAND","Legumes represent the second most important family of crop plants after grasses, accounting for approximately 27% of the world's crop production. Past domestication processes resulted in a high degree of relatedness between modern varieties of crops, leading to a narrower genetic base of cultivated germplasm prone to pests and diseases. Crop wild relatives (CWRs) harbor genetic diversity tested by natural selection in a range of environments. To fully understand and exploit local adaptation in CWR, studies in geographical centers of origin combining ecology, physiology, and genetics are needed. With the advent of modern genomics and computation, combined with systematic phenotyping, it is feasible to revisit wild accessions and landraces and prioritize their use for breeding, providing sources of disease resistances; tolerances of drought, heat, frost, and salinity abiotic stresses; nutrient densities across major and minor elements; and food quality traits. Establishment of hybrid populations with CWRs gives breeders a considerable benefit of a prebreeding tool for identifying and harnessing wild alleles and provides extremely valuable long-term resources. There is a need of further collecting and both ex situ and in situ conservation of CWR diversity of these taxa in the face of habitat loss and degradation and climate change. In this review, we focus on three legume crops domesticated in the Fertile Crescent, pea, chickpea, and lentil, and summarize the current state and potential of their respective CWR taxa for crop improvement",Global Crop Diversity Trust - GCDT,en,https://dx.doi.org/10.1002/leg3.36,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/11072,,2020-04-07,Legume Science,2639-6181,Wiley (12 months),,,,climate change; introgression; lentils; crop wild relatives; chickpeas; lentil; chickpea; grass pea (lathyrus sativus); pea; genetic diversity; resistance,
Loci Controlling Adaptation to Heat Stress Occurring at the Reproductive Stage in Durum Wheat,"El Hassouni, Khaoula; Belkadi, Bouchra; Filali-Maltouf, Abdelkarim; Sall, Amadou T.; Al-Abdallat, Ayed; Miloudi, Nachit; Bassi, Filippo","International Center for Agricultural Research in the Dry Areas - ICARDA; Institut Senegalais de la Recherche Agricole - ISRA; Mohammed V University - UM5; Mohammed V University, Faculty of Science - UM5 - FSR; University of Jordan, Faculty of Agriculture - JU - Agriculture","Heat stress occurring during the reproductive stage of wheat has a detrimental effect on productivity. A durum wheat core set was exposed to simulated terminal heat stress by applying plastic tunnels at the time of flowering over two seasons. Mean grain yield was reduced by 54% compared to control conditions, and grain number was the most critical trait for tolerance to this stress. The combined use of tolerance indices and grain yield identified five top performing elite lines: Kunmiki, Berghouata1, Margherita2, IDON37-141, and Ourgh. The core set was also subjected to genome wide association study using 7652 polymorphic single nucleotide polymorphism (SNPs) markers. The most significant genomic regions were identified in association with spike fertility and tolerance indices on chromosomes 1A, 5B, and 6B. Haplotype analysis on a set of 208 elite lines confirmed that lines that carried the positive allele at all three quantitative trait loci (QTLs) had a yield advantage of 8% when field tested under daily temperatures above 31° C. Three of the QTLs were successfully validated into Kompetitive Allele Specific PCR (KASP) markers and explained >10% of the phenotypic variation for an independent elite germplasm set. These genomic regions can now be readily deployed via breeding to improve resilience to climate change and increase productivity in heat-stressed areas.",Swedish University of Agricultural Sciences - SLU,en,https://dx.doi.org/10.3390/agronomy9080414,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/10738,,2019-07-30,Agronomy,0065-4663,MDPI,9,8,1-20,climate change; fertility; resilience; heat stress; tolerance; yields; durum (triticum durum); durum wheat,
Pigeonpea breeding in eastern and southern Africa: challenges and opportunities,"Kaoneka, Seleman R.; Saxena, Rachit; Silim, Said; Odeny, Damaris; Ganga Rao, NVPR; Shimelis, Hussein A.; Siambi, Moses; Varshney, Rajeev",International Center for Agricultural Research in the Dry Areas - ICARDA; International Crops Research Institute for the Semi-Arid Tropics - ICRISAT; African Centre For Crop Improvement - ACCI,"Pigeonpea (Cajanus cajan [L.] Millspaugh) is an important multipurpose grain legume crop primarily grown in tropical and subtropical areas of Asia, Africa and Latin America. In Africa, the crop is grown for several purposes including food security, income generation, livestock feed and in agroforestry. Production in Eastern and Southern Africa (ESA) is however faced with many challenges including limited use of high-yielding cultivars, diseases and pests, drought, under-investment in research and lack of scientific expertise. The aim of this review is to highlight the challenges facing pigeonpea breeding research in ESA and the existing opportunities for improving the overall pigeonpea subsector in the region. We discuss the potential of the recently available pigeonpea genomic resources for accelerated molecular breeding, the prospects for conventional breeding and commercial hybrid pigeonpea, and the relevant seed policies, among others, which are viewed as opportunities to enhance pigeonpea productivity.",CGIAR System Organization - CGIAR,en,https://dx.doi.org/10.1111/pbr.12340,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/6687,2016-04-04,2016-02-01,Plant Breeding,0179-9541,Wiley (12 months),135,2,148-154,climate change; food security; africa; cajanus cajan; pigeonpea,BD; BF; ET; GH; IN; MW; ML; MZ; MM; NG; TZ; UG; VN; ZM; ZW
