dc.title,dc.contributor.author,dc.type,dc.date.issued,dc.identifier.uri,dc.identifier.doi,dc.subject,cg.subject.cifor,cg.contributor.affiliation,cg.contributor.center,cg.contributor.donor,cg.coverage.region,cg.coverage.country,cifor.publication.status,dc.type.refereed,dc.description.abstract,cifor.source.title,dc.identifier.issn,cifor.source.volume,cifor.source.numbers,dc.publisher,dc.type.isi,dc.language,dc.language.iso,cifor.type.oa,dc.rights,dc.format.extent,cifor.source.page
"Distribution of carbon stocks in peat bottom based on thickness class in Pelalawan Village (Riau Province, Indonesia)","Alimin, M.; Nurudin, M.; Hanudin, E.; Utami, S.N.H.",Journal Article,2022-12-29,#/11463/35706,https://doi.org/10.17951/pjss.2022.55.2.105-120,carbon sinks; climate change; organic carbon; peatlands; spatiotemporal analysis,,Gadjah Mada University,,,Southeast Asia,Indonesia,,,"As is well known, tropical peatlands are deposits of terrestrial organic carbon of global importance. It is estimated that around 15% of carbon is stored in peatlands worldwide. Indonesia contains approximately 50% of the world’s tropical peatlands with frequently cited estimates of about 21 Mha. Pelalawan district area (Riau Province) is dominated by peat soils. The land in Pelalawan is mainly covered by industrial plantations of acacia forests and oil palms. The area is very susceptible to the loss of carbon stocks in peat soils due to the opening of drainage channels. This study aims to calculate the carbon stocks of subsurface peatlands in Pelalawan, especially in the research location. The method used is a grid survey, the distance between the particular points is 500 m, which covers the total area of the research site, i.e. 2,500 ha. The number of observation points is 121, which includes measuring the thickness of the peat layer, calculating bulk density, and C organic content. The paper analysed the distribution of carbon stocks in the peat bottom based on the thickness class. The results showed that carbon stocks in the peat bottom in Pela-lawan were 218,753.95 tons/ha consisting of 143,138.40 tons/ha in the peat thickness of >300 cm (very deep peatland), 44,999.10 tons/ha in the peat thickness of 200–300 cm (deep peatland), 21,577.67 tons/ha in the peat thickness of 100–200 cm (medium peatland), 4,780.78 tons/ha in the peat thickness of 50–100 (shallow peatland), and 4,258 tons/ha in the peat thickness of 0–50 (very shallow peatland). The research results of this study cover the information on the availability of carbon storage and carbon conservation.",Polish Journal of Soil Science,0079-2985,55,2,,,English,en,Gold Open Access,,,105-120
Carbon neutral? No change in mineral soil carbon stock under oil palm plantations derived from forest or non-forest in Indonesia,"Khasanah, N.M.; van Noordwijk, M.; Ningsih, H.; Rahayu, S.",Journal Article,2015-07-07,#/11463/26050,https://doi.org/10.1016/j.agee.2015.06.009,mineral soils; fossil fuel; tropical forests; deforestation; emissions; tree crops; soil tillage; primary forests; oil palms,Climate Change,,,,Southeast Asia,Indonesia,,,"Sustainability criteria for palm oil production guide new planting toward non-forest land cover on mineral soil, avoiding carbon debts caused by forest and peat conversion. Effects on soil carbon stock (soil Cstock) of land use change trajectories from forest and non-forest to oil palm on mineral soils include initial decline and subsequent recovery, however modeling efforts and life-cycle accounting are constrained by lack of comprehensive data sets; only few case studies underpin current debate. We analyzed soil Cstock (Mg ha1), soil bulk density (BD, g cm3) and soil organic carbon concentration (Corg, %) from 155 plots in 20 oil palm plantations across the major production areas of Indonesia, identifying trends during a production cycle on 6 plantations with sufficient spread in plot age. Plots were sampled in four management zones: weeded circle (WC), interrow (IR), frond stacks (FS), and harvest paths (HP); three depth intervals 0–5, 5–15 and 15–30 cm were sampled in each zone. Compared to the initial condition, increases in Corg (16.2%) and reduction in BD (8.9%) in the FS zone, was compensated by decrease in Corg (21.4%) and increase in BD (6.6%) in the HP zone, with intermediate results elsewhere. For a weighted average of the four management zones and after correction for equal mineral soil basis, the net temporal trend in soil Cstock in the top 30 cm of soil across all data was not significantly different from zero in both forest- and non-forest-derived oil palm plantations. Individual plantations experienced net decline, net increase or U-shaped trajectories. The 2% difference in mean soil Cstock in forest and non-forest derived oil palm plantations was statistically significant (p < 0.05). Unless soil management changes strongly from current practice, it is appropriate for C footprint calculations to assume soil Cstock neutrality on mineral soils used for oil palm cultivation.","Agriculture, Ecosystems and Environment",0167-8809,211,,,ISI Journal,English,en,Open Access,,,195-206
Reviews and syntheses: Greenhouse gas emissions in natural and agricultural lands in sub-Saharan Africa: synthesis of available data and suggestions for further studies,"Kim, D.G.; Thomas, A.D.; Pelster, D.; Rosenstock, T.S.; Sanz-Cobena, A.",Journal Article,2015-07-07,#/11463/26052,https://doi.org/10.5194/bgd-12-16479-2015,greenhouse gases; emissions; global warming; terrestrial systems; climate change,Climate Change,,,,,,,,,Biogeosciences Discussions,1810-6285,12,19,,Non-ISI Journal,English,en,Open Access,,,16479-16526
Spatiotemporal variability in carbon exchange fluxes across the Sahel,"Tagesson, T.; Fensholt, R.; Cappelaere, B.; Mougin, E.; Horion, S.; Kergoat, L.; Nieto, H.; Mbow, C.; Ehammer, A.; Demarty, J.; Ardö, J.",Journal Article,2016-07-08,#/11463/26054,https://doi.org/10.1016/j.agrformet.2016.05.013,carbon dioxide; food; savanna; phenology; terrestrial ecosystems; climate change; semiarid zones; net ecosystem exchange; photosynthesis; respiration,Climate Change,,,,Africa,,,,"Semi-arid regions play an increasingly important role as a sink within the global carbon (C) cycle and is the main biome driving inter-annual variability in carbon dioxide (CO2) uptake by terrestrial ecosystems. This indicates the need for detailed studies of spatiotemporal variability in C cycling for semi-arid ecosystems. We have synthesized data on the land-atmosphere exchange of CO2 measured with the eddy covariance technique from the six existing sites across the Sahel, one of the largest semi-arid regions in the world. The overall aim of the study is to analyse and quantify the spatiotemporal variability in these fluxes and to analyse to which degree spatiotemporal variation can be explained by hydrological, climatic, edaphic and vegetation variables. All ecosystems were C sinks (average ± total error -162 ± 48 g C m-2 y-1), but were smaller when strongly impacted by anthropogenic influences. Spatial and inter-annual variability in the C flux processes indicated a strong resilience to dry conditions, and were correlated with phenological metrics. Gross primary productivity (GPP) was the most important flux process affecting the sink strength, and diurnal variability in GPP was regulated by incoming radiation, whereas seasonal dynamics was closely coupled with phenology, and soil water content. Diurnal variability in ecosystem respiration was regulated by GPP, whereas seasonal variability was strongly coupled to phenology and GPP. A budget for the entire Sahel indicated a strong C sink mitigating the global anthropogenic C emissions. Global circulation models project an increase in temperature, whereas rainfall is projected to decrease for western Sahel and increase for the eastern part, indicating that the C sink will possibly decrease and increase for the western and eastern Sahel, respectively. © 2016 Elsevier B.V.",Agricultural and Forest Meteorology,0168-1923,226-227,,,ISI Journal,English,en,Closed Access,,,108-118
"Smallholders' Tree Planting Activity in the Ziro Province, Southern Burkina Faso: Impacts on Livelihood and Policy Implications","Etongo, D.; Djenontin, I.N.S.; Kanninen, M.; Fobissie, K.",Journal Article; ISI,2015-07-07,#/11463/6323,https://doi.org/10.3390/f6082655,tree planting; trees; smallholders; farmers; perceptions; markets; land tenure,Climate Change; Climate change mitigation and REDD+; Bioenergy; Tree Plantation,Center for International Forestry Research,Center for International Forestry Research (CIFOR),Ministry for Foreign Affairs of Finland,West Africa,Burkina Faso,,Refereed,"Climate variability and change significantly affect smallholder farmers' food security and livelihoods in sub-Saharan Africa. Tree planting is one of the measures promoted by development programs to mitigate and adapt to climate change. Tree planting is also believed to positively contribute to livelihoods. This paper examines factors influencing smallholders' tree planting activities in four villages in the Ziro province, Southern Burkina Faso. Furthermore, it analyses the challenges encountered and willingness to continue tree planting under current tenure arrangements. The data was obtained through key informants, household interviews, focus group discussions, and field observations. Results indicate that the majority of farmers interviewed planted Mangifera indica (50%), Anacardium occidentale (32%) and Moringa oleifera (30%). In a number of trees planted, Eucalyptus camaldulensis, Mangifera indica and Anacardium occidentale dominated. Tree planters were mainly farmers who held large and old farm areas, were literate and relatively wealthy, had favorable attitudes toward tree planting, and with considerable years of participation in a farmers' group. The main reasons for planting trees included income generation from the sale of tree products, access to markets and local support for tree planting. Preference for agriculture, tenure insecurity and lack of sufficient land were the main reasons cited for not planting trees. Farm households that were relatively poor, had smaller workforces and smaller farm sizes were not willing to continue tree planting. To effectively engage farmers in tree planting and to make it more attractive, policies are needed that address tenure insecurity for migrants, enable better access to markets, and support fair pricing structures for wood and other tree resources.",Forests,1999-4907,6,8,,ISI Journal,English,en,Gold open access,Attribution 4.0,,2655-2677
Differential responses of trees to temperature variation during the chilling and forcing phases,"Luedeling, E.; Guo, L.; Dai, J.; Leslie, C.; Blanke, M.M.",Journal Article; ISI,2013-01-01,#/11463/11097,https://doi.org/10.1016/j.agrformet.2013.06.018,climate change; nuts; walnuts; impact,,World Agroforestry Centre (ICRAF),World Agroforestry Centre (ICRAF),,,,,,,Agricultural and Forest Meteorology,0168-1923,181,,,ISI Journal,English,en,Gold Open Access,,,33-42
Diversity Under Threat: Connecting Genetic Diversity and Threat Mapping to Set Conservation Priorities for Juglans regia L. Populations in Central Asia,"Gaisberger, H.; Legay, S.; Andre, C.; Loo, J.; Azimov, R.; Aaliev, S.A.; Bobokalonov, F.; Mukhsimov, N.; Kettle, C.; Vinceti, B.",Journal Article; ISI,2020-06-23,#/11463/16597,https://doi.org/10.3389/fevo.2020.00171,genetic variation; conservation,,"University of Salzburg; Luxembourg Institute of Science and Technology, Luxembourg; New Zealand Institute for Plant and Food Research Ltd.; Kyrgyz National Agrarian University named after K. I. Skryabin, Kyrgyzstan; Institute of Horticulture and Vegetable Growing of Tajik Academy of Agricultural Sciences, Tajikistan; Republican Scientific and Production Center of Ornamental Gardening and Forestry, Uzbekistan; ETH Zürich",Bioversity International,,Central Asia,Tajikistan; Uzbekistan; Kyrgyzstan,,,"Central Asia is an important center of diversity for common walnut (Juglans regia L.). We characterized the genetic diversity of 21 wild and cultivated populations across Kyrgyzstan, Tajikistan, and Uzbekistan. A complete threat assessment was performed evaluating the short-term threats from overexploitation, overgrazing, landslides, and fragmentation as well as long-term threats from climate change. Based on key indicators of genetic diversity and threat magnitude, we developed an approach to identify wild populations for priority conservation and defined appropriate measures to conserve their genetic diversity based on the specific threat magnitudes. We propose (i) ex situ conservation in areas with “severe threat level” due to climate change and (ii) in situ conservation in areas with “minor threat level” due to climate change. In addition, we suggest (iii) assisted natural regeneration in areas where “minor threat levels” from climate change coincide with “severe threat levels” from one or more short-term threats. Our research shows high levels of genetic diversity as well as high threat levels in the walnut populations examined across three countries. Overgrazing and overexploitation were identified as the two most important threats whereas climate change turned out to be of minor concern in the near future. Four out of the five populations selected for priority conservation are severely threatened: Kara-Alma (KGP3) and Sariosiyo (UZP4) by overexploitation and overgrazing, Vanj (TJP2) by landslides and fragmentation and Bostanlyk_2 (UZP2) by overexploitation. Only the Baljuvon population (TJP4) in Tajikistan shows minor threat levels in the short and long term. Thus, for all five priority populations the most appropriate conservation approach appears to be in situ conservation. Spontaneous natural regeneration should be sufficient to ensure the long-term survival of the Baljuvon population (TJP4), while for the other four priority populations assisted natural regeneration may be needed. This network of five sites represents the minimum number of conservation areas for wild walnut in the three countries that should be established to capture a significant amount of the species genetic diversity. Conservation efforts could be extended to home gardens, which are a valuable genetic reservoir for the wild diversity found in the region.",Frontiers in Ecology and Evolution,2296-701X,8,,,,english,en,Gold open access,Attribution 4.0,,171
Partial least squares regression for analyzing walnut phenology in California,"Luedeling, E.; Gassner, A.",Journal Article; ISI,2012-01-01,#/11463/11098,https://doi.org/10.1016/j.agrformet.2011.10.020,climate change; walnuts; nuts; woody plants; induction,,World Agroforestry Centre (ICRAF),World Agroforestry Centre (ICRAF),,North America,United States of America,,,,Agricultural and Forest Meteorology,0168-1923,158-159,,,ISI Journal,English,en,Closed Access,,,43-52
Field-scale modeling of tree–crop interactions: Challenges and development needs,"Luedeling, E.; Smethurst, P. J.; Baudron, F.; Bayala, J.; Huth, N. I.; van Noordwijk, M.; Ong, C. K.; Mulia, R.; Lusiana, B.; Muthuri, C.W.; Sinclair, F. L.",Journal Article,2016-07-08,#/11463/26055,https://doi.org/10.1016/j.agsy.2015.11.005,food security; land degradation; food systems; natural resource management; crop production; agroforestry,Agroforestry; Soil and Land Health,,,Australian Centre for International Agricultural Research (ACIAR),,,,,"Agroforestry has attracted considerable attention in recent years because of its potential to reduce poverty, improve food security, reduce land degradation and mitigate climate change. However, progress in promoting agroforestry is held back because decision-makers lack reliable tools to accurately predict yields from tree-crop mixtures. Amongst the key challenges faced in developing such tools are the complexity of agroforestry, including interactions between various system components, and the large spatial domains and timescales over which trees and crops interact. A model that is flexible enough to simulate any agroforestry system globally should be able to address competition and complementarity above and below ground between trees and crops for light, water and nutrients. Most agroforestry practices produce multiple products including food, fiber and fuel, as well as income, shade and other ecosystem services, all of which need to be simulated for a comprehensive understanding of the overall system to emerge. Several agroforestry models and model families have been developed, including SCUAF, HyPAR, Hi-SAFE/Yield-SAFE and WaNuLCAS, but as of 2015 their use has remained limited for reasons including insufficient flexibility, restricted ability to simulate interactions, extensive parameterization needs or lack of model maintenance. An efficient approach to improving the flexibility and durability of agroforestry models is to integrate them into a well-established modular crop modeling framework like APSIM. This framework currently focuses on field-scale crops and pastures, but has the capability to reuse or interoperate with existing models including tree, livestock and landscape models, it uses parameters that are intuitive and relatively easy to measure, and it allows scenario analysis that can include farm-scale economics. Various types of agroforestry systems are currently being promoted in many contexts, and the impacts of these innovations are often unclear. Rapid progress in reliable modeling of tree and crop performance for such systems is needed to ensure that agroforestry fulfills its potential to contribute to reducing poverty, improving food security and fostering sustainability.",Agricultural Systems,0308-521X,142,,,ISI Journal,English,en,Open Access,,,51-69
"Combining soil fertilization, cropping systems and improved varieties to minimize climate risks on farming productivity in northern region of Burkina Faso","Sanou, J.; Bationo, B.; Barry, S.; Nabie, L.; Bayala, J.; Zougmore, R.",Journal Article,2016-07-08,#/11463/26058,https://doi.org/10.1186/s40066-016-0067-3,agriculture; soil fertility; soil degradation; organic matter; cropping systems; crop production; farming systems,Agroforestry,,,,West Africa,Burkina Faso,,,"Background: In search of options to cope with climate change and variability, a trial combining fertilization and improved varieties of millet and cowpea (intercropped or as sole crop) was conducted on three sites (Lemnogo, Tibtenga and Ramdolla) in the northern region of Burkina Faso. The application of cattle manure (3tha1), micro-dose (3ghole1 equivalent to 62kgha1) of a mineral fertilizer composed of 14% N, 23% P2O5 and 14% K2O (NPK), their combination and a control (no manure and no NPK) as four soil fertilization options, two improved varieties of millet (SOSAT-C88 and IKMP5), two varieties of cowpea (KVX 396-4-5-2D and KVX 61-1) and two cropping systems (millet-cowpea intercropping, sole crop) were tested on-farm for two seasons (2013 and 2014). During the third season a survey was conducted on the acceptability by farmers of the tested combinations as a way of buffering or coping with rainfall variability. Results: Two-year trial revealed that the combination of manure and NPK applied to the intercropping of millet and cowpea significantly increased crop production (land equivalent ratio=1.83±0.18 and 1.78±0.20, intercropping millet variety IKMP5 with cowpea KVX 61-1 and intercropping millet variety SOSAT-C88 with cowpea KVX 396-4-5-2D, respectively). During erratic rainfall year, intercropping millet IKMP5 and cowpea KVX 61-1 performed the best, while under well-distributed rainfall conditions, intercropping millet SOSAT-C88 with cowpea KVX 396-4-5-2D displayed higher production, respectively, for millet and cowpea. Some varieties were not well accepted by most farmers (based on a survey of 36 farmers) mainly because of loss in grains before harvest for millet IKMP5 (97%) and high grain attacks by insects in storage for cowpea KVX 61-1 (89%). The alternative for farmers rejecting these varieties could be the intercropping of millet SOSAT-C88 and cowpea KVX 396-4-5-2D fertilized with manure. Conclusions: Making weather forecasts and related agronomic advices available to farmers in this region will allow them to better plan their agricultural practices such as mineral fertilizer application and will also be a great move toward climate-smart agriculture. Developing more performant storage measures that drastically reduce insect attacks for some of the tested varieties (cowpea KVX 61-1, for instance) could contribute to promoting their adoption.",Agriculture and Food Security,2048-7010,5,1,,ISI Journal,English,en,Open Access,,,1-12
Simulating carbon accumulation and loss in the central Congo peatlands,"Young, D.M.; Baird, A.J.; Morris, P.J.; Dargie, G.C.; Mampouya Wenina, Y.E.; Mbemba, M.; Boom, A.; Cook, P.; Betts, R.; Burke, E.; Bocko, Y.E.; Chadburn, S.; Crabtree, D.E.; Crezee, B.; Ewango, C.E.N.; Garcin, Y.; Georgiou, S.; Girkin, N.T.; Gulliver, P.; Hawthorne, D.; Ifo, S.A.; Lawson, I.T.; Page, S.E.; Jovani-Sancho, A.J.; Schefuß, E.; Sciumbata, M.; Sjögersten, S.; Lewis, S.L.",Journal Article,2023-10-10,#/11463/35728,https://doi.org/10.1111/gcb.16966,carbon; carbon cycle; decadal variation; paleoenvironment; peatlands; peat soils,,University of Leeds; Université Marien Ngouabi; University of Leicester; University of Exeter; Met Office Hadley Centre; UK Center of Ecology & Hydrology; Université de Kisangani; Aix Marseille University; University of Edinburgh; Cranfield University; University of Glasgow; University of St Andrews; University of Nottingham; University of Bremen; Vrije Universiteit Amsterdam; University College London,,,Central Africa,Democratic Republic of the Congo; Republic of the Congo,,,"Peatlands of the central Congo Basin have accumulated carbon over millennia. They currently store some 29 billion tonnes of carbon in peat. However, our understanding of the controls on peat carbon accumulation and loss and the vulnerability of this stored carbon to climate change is in its infancy. Here we present a new model of tropical peatland development, DigiBog_Congo, that we use to simulate peat carbon accumulation and loss in a rain-fed interfluvial peatland that began forming ~20,000 calendar years Before Present (cal. yr BP, where ‘present’ is 1950 CE). Overall, the simulated age-depth curve is in good agreement with palaeoenvironmental reconstructions derived from a peat core at the same location as our model simulation. We find two key controls on long-term peat accumulation: water at the peat surface (surface wetness) and the very slow anoxic decay of recalcitrant material. Our main simulation shows that between the Late Glacial and early Holocene there were several multidecadal periods where net peat and carbon gain alternated with net loss. Later, a climatic dry phase beginning ~5200 cal. yr BP caused the peatland to become a long-term carbon source from ~3975 to 900 cal. yr BP. Peat as old as ~7000 cal. yr BP was decomposed before the peatland's surface became wetter again, suggesting that changes in rainfall alone were sufficient to cause a catastrophic loss of peat carbon lasting thousands of years. During this time, 6.4 m of the column of peat was lost, resulting in 57% of the simulated carbon stock being released. Our study provides an approach to understanding the future impact of climate change and potential land-use change on this vulnerable store of carbon.",Global Change Biology,1365-2486,29,23,,,English,en,Gold Open Access,,,6812-6827
Trade-offs between crop intensification and ecosystem services,"Vaast, P.; Somarriba, E. ",Journal Article; ISI,2014-01-01,#/11463/11075,https://doi.org/10.1007/s10457-014-9762-x,ecosystem services; crops,,Centro Agronómico Tropical de Investigación y Enseñanza (CATIE),Centro Agronómico Tropical de Investigación y Enseñanza (CATIE),CGIAR,West Africa,,,,"Research published in this special issue on cocoa agroforestry illustrates the multifunctional role of shade trees for sustaining cocoa production and improving farmers’ livelihoods, and addresses tradeoffs between higher cocoa yield and the provision of ecosystem services to local households and global society. Indeed, the use of diverse shade in cocoa cultivation is threatened by a new drive towards crop intensification. The removal of shade trees diminishes smallholders’ ability to adapt to global change driven by demographic pressure, food insecurity, cocoa price volatility and climate change. Some forms of crop intensification may reduce ecological resilience of cocoa production systems, making adaptation strategies, combining shade trees with innovative management practices, essential for sustaining cocoa yield. Managing trade-offs between yield and environmental services at the cocoa plot and landscape scales requires a multi-disciplinary approach to identify key management options that goes beyond the artificially polarized debates around intensified versus traditional agroforestry practices, or more generally, land-sparing versus land-sharing strategies. The global challenge facing the cocoa sector today is how to increase cocoa production to meet growing demand, without expanding the area under cocoa. This means finding sustainable ways to maintain cocoa production within today’s producing regions, particularly West Africa, through a series of technical innovations geared towards smallholders. Inappropriate intensification may result in heavy deforestation on new pioneer fronts, such as the Congo basin, and existing cocoa being replaced either by other agricultural commodities, or by less resilient and less environmentally friendly production practices.",Agroforestry Systems,0167-4366,88,6,,ISI Journal,english,en,Closed access,,,947-956
Ecosystem properties of semiarid savanna grassland in West Africa and its relationship with environmental variability,"Tagesson T; Fensholt, R.; Guiro I; Rasmussen M O; Huber S; Mbow C; Garcia M; Horion S; Sandholt I; Holm-Rasmussen B; Gottsche F M; Ridler M E; Olen N L; Olsen J; Ehammer A; Madsen M; Olesen F S; Ardo J",Journal Article,2015-07-07,#/11463/31879,https://doi.org/10.1111/gcb.12734,ecosystems; grasslands; biomass; ecosystems,,,,,West Africa,Senegal,,,"The Dahra field site in Senegal, West Africa, was established in 2002 to monitor ecosystem properties of semiarid savanna grassland and their responses to climatic and environmental change. This article describes the environment and the ecosystem properties of the site using a unique set of in situ data. The studied variables include hydroclimatic variables, species composition, albedo, normalized difference vegetation index (NDVI), hyperspectral characteristics (350–1800 nm), surface reflectance anisotropy, brightness temperature, fraction of absorbed photosynthetic active radiation (FAPAR), biomass, vegetation water content, and land-atmosphere exchanges of carbon (NEE) and energy. The Dahra field site experiences a typical Sahelian climate and is covered by coexisting trees (~3% canopy cover) and grass species, characterizing large parts of the Sahel. This makes the site suitable for investigating relationships between ecosystem properties and hydroclimatic variables for semiarid savanna ecosystems of the region. There were strong interannual, seasonal and diurnal dynamics in NEE, with high values of ~7.5 g C m2 day1 during the peak of the growing season. We found neither browning nor greening NDVI trends from 2002 to 2012. Interannual variation in species composition was strongly related to rainfall distribution. NDVI and FAPAR were strongly related to species composition, especially for years dominated by the species Zornia glochidiata. This influence was not observed in interannual variation in biomass and vegetation productivity, thus challenging dryland productivity models based on remote sensing. Surface reflectance anisotropy (350–1800 nm) at the peak of the growing season varied strongly depending on wavelength and viewing angle thereby having implications for the design of remotely sensed spectral vegetation indices covering different wavelength regions. The presented time series of in situ data have great potential for dryland dynamics studies, global climate change related research and evaluation and parameterization of remote sensing products and dynamic vegetation models.",Global Change Biology,1365-2486,21,1,,ISI Journal,English,en,Open Access,,,250-264
Reducing risks to food security from climate change,"Campbell, B.M.; Vermeulen, S.J.; Aggarwal, P.K.; Corner-Dolloff, C.; Girvetz, E.; Loboguerrero, A.M.; Ramirez-Villegas, J.; Rosenstock, T.; Sebastian, L.; Thornton, P.K.; Wollenberg, E.",Journal Article; ISI,2016-07-08,#/11463/24865,https://doi.org/10.1016/j.gfs.2016.06.002,food security; climate change; research; food production; soil; health; food systems; crop production,Soil and Land Health,,,International Fund for Agricultural Development (IFAD),,,,Refereed,"Climate change will have far-reaching impacts on crop, livestock and fisheries production, and will change the prevalence of crop pests. Many of these impacts are already measurable. Climate impact studies are dominated by those on crop yields despite the limitations of climate-crop modelling, with very little attention paid to more systems components of cropping, let alone other dimensions of food security. Given the serious threats to food security, attention should shift to an action-oriented research agenda, where we see four key challenges: (a) changing the culture of research; (b) deriving stakeholder-driven portfolios of options for farmers, communities and countries; (c) ensuring that adaptation actions are relevant to those most vulnerable to climate change; (d) combining adaptation and mitigation. © 2016 The Authors",Global Food Security,2211-9124,11,,,ISI Journal,English,en,Gold Open Access,,,34-43
Do climate services make a difference? A review of evaluation methodologies and practices to assess the value of climate information services for farmers: Implications for Africa,Tall A; Coulibaly Y J; Diop M,Journal Article; ISI,2018-07-10,#/11463/18936,https://doi.org/10.1016/j.cliser.2018.06.001,food security; mitigation; adaptation; climate change,,World Agroforestry Centre (ICRAF),World Agroforestry Centre (ICRAF),,,,,,,Climate Services,2405-8807,,,,ISI Journal,English,en,Gold Open Access,,,
Climate friendliness of cocoa agroforests is compatible with productivity increase,"Schroth, G.; Jeusset, A.; Gomes, A.S; Florence, C.T.; Pinto Coelho, N.A.; Faria, D.; Läderach, P.",Journal Article; ISI,2014-01-01,#/11463/11292,https://doi.org/10.1007/s11027-014-9570-7,climate change; cocoa; agroforestry,,International Center for Tropical Agriculture (CIAT),International Center for Tropical Agriculture (CIAT),CGIAR; Global Environment Facility (GEF),,,,,"There is increasing demand for agricultural commodities that are produced in a climate-friendly manner. At the same time, in many or most tropical countries there is need for intensification of agricultural production to increase yields and incomes, and this usually requires higher external inputs that may cause additional greenhouse gas emissions. Here we investigate if production methods that have a beneficial effect on the climate (are climate-friendly) are compatible with increased inputs and yields for traditional, shaded cocoa (Theobroma cacao) production systems (locally known as cabrucas) in southern Bahia, Brazil. We use two easily measurable and manageable dimensions of climate friendliness, namely the carbon (C) stocks in the large trees and the C footprint as related to on-farm agrochemical and fuel use. Through interviews and field inventories in 26 cabruca farms representing a range of production practices and intensities, we identify the combinations of management practices, yields, C stocks and C footprints typically found in the region. We find that yield levels up to the highest encountered yield of 585 kg ha−1, or twice the current regional average of 285 kg ha−1, are compatible with an aboveground C stock in the large shade trees (>30 cm diameter at breast height) of up to 65 Mg ha−1 and up to 55 % shade. Higher C stocks and shade levels are generally associated with yields below the regional average. Input-related C emissions increased non-linearly with increasing yield, but even the highest encountered yields were compatible with low (<0.25 kg CO2e kg−1 of cocoa) to medium (<0.5 kg CO2e kg−1 of cocoa) input-related emission levels. Cocoa yields responded positively to increased fertilizer applications, provided that other factors, including shade levels, were not limiting. Consequently, the highest input-related emissions (>1 kg CO2e kg−1 of cocoa) were related to large fertilizer applications that did not proportionately increase yields. We conclude that doubling the cocoa output from southern Bahia, where cabrucas are the predominant form of growing cocoa, is compatible with climate-friendly production practices, measured by local standards. We suggest that the presented methodology can be used to identify opportunities for climate-friendly intensification of tree crops more generally, thereby increasing the contribution of commodity production to global climate change mitigation.",Mitigation and Adaptation Strategies for Global Change,1381-2386,21,1,,ISI Journal,english,en,Closed access,,,67-80
"Analysing and mapping of land fire vulnerability in Kumpeh, Muaro Jambi District, Jambi Province","Kurniawan, F.; Risdiyanto, I.; Turyanti, A.",Journal Article,2020-12-09,#/11463/18658,https://doi.org/10.33541/sp.v21i3.2244,forest fires; peatlands; land use; fire prevention,Wetlands and Blue Carbon,Institut Pertanian Bogor (IPB),,,Southeast Asia,Indonesia,,,"Forest and land fires have become disasters that have received international attention. Peatland as an important part of the forest poses a separate threat to the effect of carbon release and climate change. Fire prevention can be done by understanding the causes. Fire vulnerability mapping uses several parameters in its calculation, namely NDVI value, NDMI value, TWI value, accessibility distance, and community activity center. Land use and hotspot history will be the parameters compared with the results of the analysis. The calculation uses a range of values ​​from 1 to 5. The risk level class is divided into five, with the highest percentage of 20.18% at the very vulnerable level and the lowest of 19.56% at the normal level. Very vulnerable areas have the highest number of hotspot points at 268 points while the lowest number of hotspot points is in the safe class of 23 points. Most areas with high vulnerability are found in agriculture and plantation areas. The model used in this fire vulnerability map can be said to have a pretty good correlation.",Sociae Polites,1410-3745,21,2,,Non-ISI Journal,english,en,Gold open access,,,126-146
Chilling and heat requirements for local and foreign almond (Prunus dulcis Mill.) cultivars in a warm Mediterranean location based on 30 years of phenology records,"Benmoussa, H.; Ghrab, M.; Ben Mimoun, M.; Luedeling, E.",Journal Article,2017-07-09,#/11463/26063,https://doi.org/10.1016/j.agrformet.2017.02.030,cultivars; orchard; yields; almonds; climate change; phenology,Tree Genetic Resources,,,,North Africa,Tunisia,,,"Most temperate fruit and nut trees require fulfillment of chilling and heat requirements during their dormant phase in order to flower regularly and produce economically satisfying yields. Recent and expected temperature increases are cause for concern for many orchard managers, especially in warm growing regions, because they may compromise the trees’ ability to fulfill their climatic needs. To explore temperature responses across different cultivars, we applied Partial Least Squares (PLS) regression to correlate bloom dates of 12 local and 25 foreign almond (Prunus dulcis Mill.) cultivars in Sfax, Tunisia with daily chill and heat accumulation based on more than 30 years of phenology records from 1981 to 2014 and long-term daily minimum and maximum temperatures between 1973 and 2016. We used three chilling models (the Chilling Hours, Utah and Dynamic Models) and one forcing model (Growing Degree Hours; GDH) to quantify climatic needs. Chilling and forcing phases derived from the PLS outputs appeared discontinuous for all almond cultivars and were shorter for the local almond cultivars than for the foreign cultivars. The Dynamic Model provided the most precise estimates of chilling requirements but still appeared to have some shortcomings. According to the Chilling Hours Model, chilling needs were very low, but still higher than for the Utah Model, where the negative chill contributions by high temperatures implied negative chilling requirements. The Chilling Hours and Utah Models therefore do not seem suitable for the climate of the Sfax region. For local almond cultivars, chilling requirements were estimated at between 3.4 and 15.5 Chill Portions (CP) and heat needs between 3962 and 8873 GDH. For foreign cultivars, chilling requirements varied from 6.7 to 22.6 CP and heat needs from 2894 to 10,504 GDH. High temperatures during the chilling phase showed a significant bloom-delaying effect on most of the local and the foreign almond cultivars.",Agricultural and Forest Meteorology,0168-1923,239,,,ISI Journal,English,en,Closed Access,,,34-46
