dc.title,dc.creator,cg.contributor.affiliation,dc.description.abstract,dc.date.issued,dc.subject,cg.subject.agrovoc,dc.identifier.uri,dc.identifier.doi,cg.identifier.status,dc.rights,cg.coverage.country,cg.coverage.region,dc.language,dc.source,dc.publisher,cg.contributor.funder,dc.type
Communities and change in the anthropocene: understanding social-ecological vulnerability and planning adaptations to multiple interacting exposures,"Bennett, N.J.; Blythe, J.; Tyler, S.; Ban, N.C.",University of British Columbia; University of Washington; WorldFish; Adaptive Resource Management; University of Victoria; University of Victoria,"The majority of vulnerability and adaptation scholarship, policies and programs focus exclusively on climate change or global environmental change. Yet, individuals, communities and sectors experience a broad array of multi-scalar and multi-temporal, social, political, economic and environmental changes to which they are vulnerable and must adapt. While extensive theoretical - and increasingly empirical - work suggests the need to explore multiple exposures, a clear conceptual framework which would facilitate analysis of vulnerability and adaptation to multiple interacting socioeconomic and biophysical changes is lacking. This review and synthesis paper aims to fill this gap through presenting a conceptual framework for integrating multiple exposures into vulnerability analysis and adaptation planning.",2016,,adaptation; policies; research,https://hdl.handle.net/20.500.12348/751,https://doi.org/10.1007/s10113-015-0839-5,Open access,CC BY 4.0,,,En,,Springer,,Journal Article
Foresighting future climate change impacts on fisheries and aquaculture in Vietnam,"Tran, N.; Chan, C.; Aung, Y.M.; Bailey, C.; Akester, M.J.; Le, Q.C.; Trinh, T.Q.; Hoang, C.V.; Sulser, T.; Wiebe, K.",International Food Policy Research Institute; WorldFish; Vietnam Institute for Fisheries Economics and Planning; Auburn University,"The Vietnamese fisheries sector, including both marine fisheries and aquaculture, has made spectacular progress in recent years, becoming one of the top seafood producing and exporting countries in the world. Looking forward, development goals of this sector must address challenges associated with climate change, including changing distribution of commercially important marine species such as tuna and disruptions to land-based aquaculture production systems. This study investigates the prospective climate change impacts on Vietnam's fisheries sector, focusing on four key commodities including capture fisheries (tuna), freshwater aquaculture (pangasius catfish and tilapia), and brackish water aquaculture (shrimp). The extent of impact varies, but climate change represents a potentially significant threat to sustainable production in each production system. Producers, policy makers, and other stakeholders need to plan for and adapt to climate change to ensure the sustainable development of Vietnam's fisheries sector.",2022,climate change impacts; vietnam; foresight,aquaculture; capture fisheries; Fish,https://hdl.handle.net/20.500.12348/5527,https://dx.doi.org/10.3389/fsufs.2022.829157,Open access,CC-BY-4.0,Viet Nam,South-Eastern Asia,en,"Frontiers in Sustainable Food Systems;6,(2022)",Frontiers Media,"CGIAR Research Program on Policies, Institutions, and Markets; CGIAR Research Program on Fish Agri-Food Systems; Mitigate+: Research for Low Emissions Food Systems",Journal Article
Inequality and the Biosphere,"Hamann, M.; Berry, K.; Chaigneau, T.; Curry, T.; Heilmayr, R.; Henriksson, P.J.; Hentati-Sundberg, J.; Jina, J.A.; Lindkvist, E.; Lopez-Maldonado, Y.; Nieminen, E.; Piaggio, M.; Qiu, J.X.; Rocha, J.C.; Schill, C.; Shepon, A.; Tilman, A.R.; van den Bijga, I.; Wu, T.",Stellenbosch University; University of Alaska Anchorage; University of Exeter; University of Alaska Fairbanks; University of California; WorldFish; Swedish University of Agricultural Sciences; University of Chicago; Ludwig Maximilian University of Munich; Finnish Environment Institute (SYKE); Environment for Development-Center for Tropical Agricultural Research and Education (EfD-CATIE); University of Florida; Department of Plant and Environmental Sciences; University of Pennsylvania; University of Gothenburg; Arizona State University,"Rising inequalities and accelerating global environmental change pose two of the most pressing challenges of the twenty-first century. To explore how these phenomena are linked, we apply a social-ecological systems perspective and review the literature to identify six different types of interactions (or “pathways”) between inequality and the biosphere. We find that most of the research so far has only considered one-directional effects of inequality on the biosphere, or vice versa. However, given the potential for complex dynamics between socioeconomic and environmental factors within social-ecological systems, we highlight examples from the literature that illustrate the importance of cross-scale interactions and feedback loops between inequality and the biosphere. This review draws on diverse disciplines to advance a systemic understanding of the linkages between inequality and the biosphere, specifically recognizing cross-scale feedbacks and the multidimensional nature of inequality.",2018,,climate change,https://hdl.handle.net/20.500.12348/928,https://doi.org/10.1146/annurev-environ-102017-025949,Limited access,,,Global,En,Annual Review of Environment and Resources,Annual Reviews,VINNOVA-VINMER Marie Curie Incoming grant (2015–01556); US National Science Foundation DEB-1632648,Journal Article
"Guest Editorial: Geographies of engagement, livelihoods and possibility in South and Southeast Asian deltas","Bernzen, A.; Pritchard, B.; Braun, B.; Belton, B.; Rigg, J.","WorldFish; University of Vechta; University of Sydney; University of Cologne; Michigan State University; University of Bristol, School of Geographical Sciences",Introduction to a special issue on the geography of mega-deltas in South and Southeast Asia,2021,environmental change,climate change; farming systems; livelihoods; deltas; food systems; asia; ecology; wetlands; covid-19; economic aspects; socioeconomic aspects; geography,https://hdl.handle.net/20.500.12348/4732,https://dx.doi.org/10.1111/sjtg.12373,Timeless limited access,Copyrighted; all rights reserved,Bangladesh; Myanmar; Viet Nam,Southern Asia; South-Eastern Asia,en,"Singapore Journal of Tropical Geography;(2021) Pagination 197,202",Wiley,,Journal Article
Spatiotemporal determinants of seasonal gleaning,"Grantham, R.; Álvarez-Romero, J.G.; Mills, D.J.; Rojas, C.A.; Cumming, G.","James Cook University, ARC Centre of Excellence for Coral Reef Studies; WorldFish; The Pontifical Catholic University of Chile","1. Many coastal communities depend on ecosystems for goods and services that contribute to human well-being. As long-standing interactions between people and nature are modified by global environmental change, dynamic and diversified livelihood strategies that enable seasonal adaptation will be critical for vulnerable coastal communities. However, the success of such strategies depends on a range of poorly understood influences.
2. Gleaning, the hand-based collection of marine organisms from littoral habitats, provides an interesting case study of dynamic change in social-ecological interactions. It is an important coastal livelihood strategy, yet seasonal gleaning dynamics have not been empirically explored in contemporary communities. We examined seasonal gleaning in eight coastal communities on Atauro Island, Timor-Leste, using household surveys and satellite-derived maps of shallow-water benthic habitats. Our analysis explored the factors affecting household decisions to glean in each season, the relationship between gleaning and seafood consumption, and seasonal gleaning pressure on near-shore coastal resources.
3. Dynamic marine harvesting strategies differed among households and gleaning activity was seasonally heterogeneous. Not all gleaning households gleaned during the season characterised by rough sea conditions despite rough season gleaning being associated with greater seafood consumption stability among seasons. Households also gleaned less regularly, and catches were smaller, in the rough season.
4. Differences in seasonal participation in gleaning were explained mostly by type and extent of shallow habitat proximate to a community. In the calm season, household gleaning was positively related to the total area of shallow habitat, and in the rough season the percentage of hard-bottom shallow habitat was also an important predictor of gleaning activity.
5. Our findings illustrate how changes in the biophysical environment mediate human–nature interactions at fine scales through time and space. Consequently, this research highlights the importance of context-specific perspectives for understanding drivers and dynamics in fishing pressure on littoral ecosystems, access to ecosystem benefits and limits to adaptation. Factors influencing when livelihood activities are feasible and desirable are important for evaluating the social impacts of climate change, particularly in the context of rural communities in the Global South.",2021,coastal; social-ecological systems; coral reef; Fish,ecosystem services; food security; livelihoods; small-scale fisheries,https://hdl.handle.net/20.500.12348/4940,https://dx.doi.org/10.1002/pan3.10179,Open access,CC-BY-4.0,Timor-Leste,South-Eastern Asia,en,"People and Nature;3,(2021) Pagination 376,390",Wiley Open Access,,Journal Article
Determinants of climate change adaptive behavior in coastal communities in Southeast Asia,"Sajise, A.J.U.; Ramirez, P.J.B.; Perez, M.L.; Arias, J.K.B.; Zamora, G.J.",University of the Philippines Los Baños Laguna; WorldFish,"This study sought to understand the determinants of autonomous adaptation of households in coastal communities in three countries (Indonesia, the Philippines, and Vietnam) as regards climate change. The study’s main innovation is its focus on households facing a confluence of related hazards, a context that is unique to coastal communities. The study tackled the interrelated hazards of coastal erosion, flooding, and saltwater intrusion, and used a multivariate probit model to analyze the determinants. Regression results show that households adapt or respond autonomously to a combination of hazards.",2017,,adaptation; climate change; gender,https://hdl.handle.net/20.500.12348/630,,Open access,,Indonesia; Philippines; Viet Nam,South-Eastern Asia,En,Asian Journal of Agriculture and Development,Southeast Asian Regional Center for Graduate Study and Research in Agriculture,,Journal Article
Adaptation for changing deltas,"Ghosh, T.; Luc, H.H.; Park, E.; Mortreux, C.; Okoh, R.; Nesterenko, M.; Dubey, S.K.; Gain, A.K.; Le, D.P.; Giosan, L.; Syvitski, J.",International Center for Tropical Agriculture; WorldFish; Asian Institute of Technology; The University of Melbourne; Woods Hole Oceanographic Institution; Murdoch University; University of Colorado Boulder; Nanyang Technological University; Jadavpur University; Delta State University; Rewilding Europe,"Deltas have provided fertile farmland, productive fishing, and access to trade routes for millennia. Today,
more than five hundred million people live on deltas and coastal urban areas. Yet deltas are also incredibly
vulnerable to the pressures of climate change. This Voices asks: what are the opportunities and barriers to
adaptation for delta communities facing unprecedented change in the coming years?",2023,,aquaculture; fisheries; deltas; Fish,https://hdl.handle.net/20.500.12348/5490,https://dx.doi.org/10.1016/j.oneear.2023.02.014,Open access,Copyrighted; all rights reserved,,,en,"One Earth;6,(2023) Pagination 185-189",Cell Press,,Journal Article
Can marine fisheries and aquaculture meet fish demand from a growing human population in a changing climate?,"Merino, G.; Barange, M.; Blanchard, J.L.; Harle, J.; Holmes, R.; Allen, I.; Allison, E.; Badjeck, M.C.",Plymouth Marine Laboratory; University of Sheffield; Proudman Oceanographic Laboratory; WorldFish; Simon Fraser University; School of Environmental Sciences; Centre for Environment; Unite´ de Recherche Ecosyste`mes Marins Exploites; School of Marine Science and Engineering,"Expansion in the world's human population and economic development will increase future demand for fish products. As global fisheries yield is constrained by ecosystems productivity and management effectiveness, per capita fish consumption can only be maintained or increased if aquaculture makes an increasing contribution to the volume and stability of global fish supplies. Here, we use predictions of changes in global and regional climate (according to IPCC emissions scenario A1B), marine ecosystem and fisheries production estimates from high resolution regional models, human population size estimates from United Nations prospects, fishmeal and oil price estimations, and projections of the technological development in aquaculture feed technology, to investigate the feasibility of sustaining current and increased per capita fish consumption rates in 2050. We conclude that meeting current and larger consumption rates is feasible, despite a growing population and the impacts of climate change on potential fisheries production, but only if fish resources are managed sustainably and the animal feeds industry reduces its reliance on wild fish. Ineffective fisheries management and rising fishmeal prices driven by greater demand could, however, compromise future aquaculture production and the availability of fish products.",2012,,aquaculture; climate change; fish; fisheries; marine fisheries,https://hdl.handle.net/20.500.12348/919,https://doi.org/10.1016/j.gloenvcha.2012.03.003,Limited access,,,,En,Global Environmental Change,Elsevier Ltd,,Journal Article
"Functional aquatic ecosystems, inland fisheries and the Millennium Development Goals","Brummett, R.E.; Beveridge, M.; Cowx, I.",World Bank; WorldFish; University of Hull,"Freshwater allocation in an environment of increasing demand and declining quality and availability is a major societal challenge. While biodiversity and the needs of local communities are often in congruence, the over-riding necessity of meeting national demands for power, food and, increasingly, mitigation of the hydrological effects of climate change, often supersedes these. Sophisticated models of ecosystem function to establish environmental flows are difficult to implement and consequently have generally failed to reduce rates of biodiversity and habitat loss, resulting in disenfranchisement of local communities resulting from dam construction and water abstraction for industry and agriculture. There are no agreed standards upon which a fairer allocation of resources can be made and thus a pragmatic approach to the resolution of these conflicts is clearly needed. While having generally negative impacts on biodiversity and traditional lifestyles, creation of new infrastructure and active management generates national economic growth and much-needed employment. Intensification of usage in watersheds already expropriated for human enterprise can spare land needed for the biodiversity that will fuel adaptation for the future. Taking advantage of a range of mitigation technologies and building their cost into the investment plans for water management infrastructure can improve the cost/benefit ratio of water control infrastructure and may be a more practical and efficacious approach to the valuation of fisheries and the maintenance of other essential services from functional aquatic ecosystems.",2013,,adaptation; agriculture; biodiversity; climate change; development; ecosystems; fisheries; water management; water power,https://hdl.handle.net/20.500.12348/858,https://doi.org/10.1111/j.1467-2979.2012.00470.x,Limited access,,,,En,Fish and Fisheries,Wiley-Blackwell Publishing Ltd,,Journal Article
Limits to resilience from livelihood diversification and social capital in lake social-ecological systems,"Goulden, M.C.; Adger, W.N.; Allison, E.; Conway, D.",University of East Anglia; University of Exeter; University of East Anglia,"Diversity of both social networks and livelihood sources plays a central role in determining the sustainability of natural resource use and resilience of social–ecological systems, not least in resource-dependent economies. Yet the types of social capital and characteristics of diversity are not well understood. Here we examine social capital and livelihood diversification strategies in dynamic lakeshore social–ecological systems in Uganda adapting to climate variability and change. Water and land use data are used to explain lake system variations and lakeshore people's livelihood responses in terms of adaptive cycles and examine how system resilience changes over time in response to climatic and other stresses. Interview and household survey data are used to explain household adaptations to climate variability based on livelihood diversification and social capital and to determine which adaptations were dominant during different stages of adaptive cycles. Results show that households adapt to climate variability using concurrent, spatial, and temporal diversification of livelihoods and by drawing on social capital, but these sources of resilience are not sufficient in all circumstances. The availability of adaptation options varies according to the different stages in the adaptive cycle of the lakeshore's dynamic, coupled human–ecological system; to the degree and nature of the climatic stress; and to differences in household access to assets and adaptation options. This implies a need to maintain multiple sources of resilience for use in times of system collapse or crisis.",2013,,adaptation; climate change; livelihoods; resilience; surveys,https://hdl.handle.net/20.500.12348/767,https://doi.org/10.1080/00045608.2013.765771,Limited access,,Uganda,,En,,Taylor & Francis,,Journal Article
Cost-effective methods for accurate determination of sea level rise vulnerability: A Solomon Islands example,"Albert, S.; Abernethy, K.; Gibbes, B.; Grinham, A.; Tooler, N.; Aswani, S.",University of Queensland; WorldFish; Roviana Conservation Foundation; University of California,"For millions of people living along the coastal fringe, sea level rise is perhaps the greatest threat to livelihoods over the coming century. With the refinement and downscaling of global climate models and increasing availability of airborne-lidar-based inundation models, it is possible to predict and quantify these threats with reasonable accuracy where such information is available. For less developed countries, especially small island states, access to high-resolution digital elevation models (DEMs) derived from lidar is limited. The only freely available DEMs that could be used for inundation modeling by these nations are those based on data from the Shuttle Radar Topography Mission (SRTM). These data are generally unsuitable for local-scale planning and adaption projects. To address this disparity, low-cost ground-based techniques were tested and applied to accurately determine coastal topography in the Solomon Islands.",2013,,climate change; environmental impact assessment; livelihoods,https://hdl.handle.net/20.500.12348/774,https://doi.org/10.1175/WCAS-D-13-00010.1,Open access,,Solomon Islands,,En,,American Meteorological Society,,Journal Article
