title,isbn,issn,first author,other authors,publisher,journal,date issued,extent,abstract,language,subjects,subject source,doi,fulltext link,Column18
Trans-disciplinary responses to climate change: lessons from rice-based systems in Asia,,2225-1154,"Hellin, Jon","Balie, Jean;Chivenge, Pauline;Cobb, Joshua;Connor, Melanie;Fisher, Eleanor;Gummert, Martin;Kohli, Ajay;Krupnik, Timothy J.;Kumar, Virender;Nelson, Katherine;Puskur, Ranjitha;Sander, Bjoern Ole;Setiyono, Tri;Yadav, Sudhir",MDPI AG,Climate,2020,Volume 8 no. 2;  35 (16 pages),"Climate change will continue to have a largely detrimental impact on the agricultural sector worldwide because of predicted rising temperatures, variable rainfall, and an increase in extreme weather events. Reduced crop yields will lead to higher food prices and increased hardship for low income populations, especially in urban areas. Action on climate change is one of the Sustainable Development Goals (SDG 13) and is linked to the Paris Climate Agreement. The research challenge posed by climate change is so complex that a trans-disciplinary response is required, one that brings together researchers, practitioners, and policy-makers in networks where the lines between “research” and “development” become deliberately blurred. Fostering such networks will require researchers, throughout the world, not only to work across disciplines but also to pursue new South–North and South–South partnerships incorporating policy-makers and practitioners. We use our diverse research experiences to describe the emergence of such networks, such as the Direct Seeded Rice Consortium (DSRC) in South and Southeast Asia, and to identify lessons on how to facilitate and strengthen the development of trans-disciplinary responses to climate change",English,,Crossref,https://doi.org/10.3390/cli8020035,https://drive.google.com/file/d/1PS47b-AlyWV3xp1eXiokffJrZeYN4TRI/view,JA
CGIAR modeling approaches for resource‐constrained scenarios: I. Accelerating crop breeding for a changing climate,,0011-183X,"Ramirez‐Villegas, Julian","Alexandrov, Nickolai;Asseng, Senthold;Challinor, Andrew J.;Crossa, Jose;Eeuwijk, Fred;Ghanem, Michel Edmond;Grenier, Cecile;Heinemann, Alexandre B.;Juliana, Philomin;Kehel, Zakaria;Kholova, Jana;Koo, Jawoo;Molero Milan, Anabel;Pequeno, Diego;Quiroz, Roberto;Rebolledo, Maria C.;Reynolds, Matthew;Sukumaran, Sivakumar;Vadez, Vincent;Wang, Jiankang;White, Jeffrey W.",Wiley,Crop Science,2020,"Volume 60, no. 2; pages 547-567.",,English,Agronomy and Crop Science,Crossref;Crossref,https://doi.org/10.1002/csc2.20048,https://drive.google.com/file/d/1K4vlFNNJfqCuLt1eOxV4hw9ihAHfHsJ5/view,JA
When climate change is not psychologically distant – Factors influencing the acceptance of sustainable farming practices in the Mekong river Delta of Vietnam,,2452-2929,"Connor, Melanie","de Guia, Annalyn H.;Gummert, Martin;Quilloy, Reianne;Sander, Bjoern Ole;Van Nguyen, Hung",Elsevier BV,World Development Perspectives,2020,(e-first copy); 100204 (12 p.),,English,,Crossref,https://doi.org/10.1016/j.wdp.2020.100204,https://drive.google.com/file/d/1aEZEz1z0ZuW53opQsOYWhJb8X6Z87LZa/view,JA
"Identification and characterization of high‐yielding, short‐duration rice genotypes for tropical Asia",,0011-183X,"Won, Phyo L. P.","Banayo, Niño P. M.;Collard, Bertrand C.Y.;Islam, Mohammad R.;Kato, Yoichiro;Liu, Hongyan;Nie, Lixiao;Peng, Shaobing;Sta. Cruz, Pompe",Wiley,Crop Science,2020,"Volume 60, pages 2241-2250.","Previous efforts to increase the yield of tropical rice have focused on medium‐duration varieties. However, there is increasing demand for high‐yielding short‐duration varieties that can adapt to intensified cropping systems and climate change. Our goal was to identify physiological traits associated with high yield in elite short‐duration genotypes suitable for tropical Asia. We conducted field experiments in five consecutive growing seasons at the International Rice Research Institute, Philippines. We selected genotypes in the first two seasons, then performed detailed characterization of the most promising genotypes in the following three seasons. Of the 50 advanced‐generation genotypes, three had consistently high yield and early maturity, with yields 11% to 38% higher than that of IRRI104 (IR50404‐57‐2‐2‐3), a short‐duration variety that is most widely grown in Southeast Asia. These genotypes were 20 to 32 cm taller than IRRI104. We found that low source capacity, defined as stem nonstructural carbohydrates at heading plus biomass accumulation after heading, for grain growth was the major factor for low yield of IRRI104. Although sink capacity (spikelets m−2 × grain weight) in the promising genotypes were comparable to that of IRRI104, they had 25% to 53% higher source‐to‐sink ratio (source capacity / sink capacity) than IRRI104, which was attributed to larger leaf area and greater biomass accumulation during the grain‐filling stage. This result suggests that slight changes in plant development to promote height combined with increased leaf area around heading would improve the yield of short‐duration rice varieties in tropical Asia.",English,Agronomy and Crop Science,Crossref;Crossref,https://doi.org/10.1002/csc2.20183,https://drive.google.com/file/d/1UnFhwD5107X5Ygn75uEY2oaGhkClM-SG/view,JA
Decision-making to diversify farm systems for climate change adaptation,,2571-581X,"van Zonneveld, Maarten","Hellin, Jon;Turmel, Marie-Soleil",Frontiers Media SA,Frontiers in Sustainable Food Systems,2020,"Volume 4, no. 32; pages 1-20.",,English,,Crossref,https://doi.org/10.3389/fsufs.2020.00032,https://drive.google.com/file/d/1Un7WQOE6AXvZZdUXr3bChLzYoGSx75Pt/view,JA
Drivers of household and agricultural adaptation to climate change in Vietnam,,1756-5529,"Duffy, Colm","Kilcline, Kevin;O’Donoghue, Cathal;Pede, Valerien;Ryan, Mary;Spillane, Charles;Toth, Gregory",Informa UK Limited,Climate and Development,2020,(e-first copy); p. 1-14,,English,"Development;Geography, Planning and Development;Global and Planetary Change",Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1080/17565529.2020.1757397,https://drive.google.com/file/d/12n1BPTG_AhZHyBszF9W7Rh6qo_xiGygw/view,JA
Season affects yield and metabolic profiles of rice (Oryza sativa) under high night temperature stress in the field,,1422-0067,"Schaarschmidt, Stephanie","Erban, Alexander;Glaubitz, Ulrike;Hincha, Dirk K.;Jagadish, S. V. Krishna;Kopka, Joachim;Lawas, Lovely Mae F.;Li, Xia;Zuther, Ellen",MDPI AG,International Journal of Molecular Sciences,2020,"Volume 21, no. 9 p. 3187(24 pages)","Rice (Oryza sativa) is the main food source for more than 3.5 billion people in the world. Global climate change is having a strong negative effect on rice production. One of the climatic factors impacting rice yield is asymmetric warming, i.e., the stronger increase in nighttime as compared to daytime temperatures. Little is known of the metabolic responses of rice to high night temperature (HNT) in the field. Eight rice cultivars with contrasting HNT sensitivity were grown in the field during the wet (WS) and dry season (DS) in the Philippines. Plant height, 1000-grain weight and harvest index were influenced by HNT in both seasons, while total grain yield was only consistently reduced in the WS. Metabolite composition was analysed by gas chromatography-mass spectrometry (GC-MS). HNT effects were more pronounced in panicles than in flag leaves. A decreased abundance of sugar phosphates and sucrose, and a higher abundance of monosaccharides in panicles indicated impaired glycolysis and higher respiration-driven carbon losses in response to HNT in the WS. Higher amounts of alanine and cyano-alanine in panicles grown in the DS compared to in those grown in the WS point to an improved N-assimilation and more effective detoxification of cyanide, contributing to the smaller impact of HNT on grain yield in the DS.",English,Catalysis;Computer Science Applications;General Medicine;Inorganic Chemistry;Molecular Biology;Organic Chemistry;Physical and Theoretical Chemistry;Spectroscopy,Crossref;Crossref;Crossref;Crossref;Crossref;Crossref;Crossref;Crossref;Crossref,https://doi.org/10.3390/ijms21093187,https://drive.google.com/file/d/1LJJEyZUr1XZ6wKn7tc5yMYPaepGhWLbo/view,JA
Methane emission factors from Vietnamese rice production: Pooling data of 36 field sites for meta-analysis,,2225-1154,"Vo, Thi Bach Thuong","Asch, Folkard;Bui, Thi Phuong Loan;Dinh, Quang Hieu;Mai, Van Trinh;Sander, Bjoern Ole;Vu, Duong Quynh;Vu, Thi Hang;Wassmann, Reiner;Yen, Bui Tan",MDPI AG,Climate,2020,"Volume 8, no. 74; page 1-19.","Rice production is a significant source of greenhouse gas (GHG) emissions in the national budget of many Asian countries, but the extent of emissions varies strongly across agro-environmental zones. It is important to understand these differences in order to improve the national GHG inventory and effectively target mitigation options. This study presents a meta-analysis of CH4 database emission factors (EFs) from 36 field sites across the rice growing areas of Vietnam and covering 73 cropping seasons. The EFs were developed from field measurements using the closed chamber technique. The analysis for calculating baseline EFs in North, Central and South Vietnam in line with the Intergovernmental Panel on Climate Change (IPCC) Tier 2 methodology was specified for the three cropping seasons being early-(E), mid-(M) and late-year (L) seasons. Calculated average CH4 EFs are given in kg ha−1 d−1 and reflect the distinct seasons in North (E: 2.21; L: 3.89), Central (E: 2.84; M+L: 3.13) and South Vietnam (E: 1.72; M: 2.80; L: 3.58). Derived from the available data of the edapho-hydrological zones of the Mekong River Delta, season-based EFs are more useful than zone-based EFs. In totality, these average EFs indicate an enormous variability of GHG emissions in Vietnamese rice production and represent much higher values than the IPCC default. Seasonal EFs from Vietnam exceeded IPCC defaults given for Southeast Asia corresponding to 160% (E), 240% (M) and 290% (L) of the medium value, respectively.;",English,,Crossref,https://doi.org/10.3390/cli8060074,https://drive.google.com/file/d/1vTECNTH3Rc4Mm2DLTJv263SFVYgLhMO0/view,JA
"Information quality, adoption of climate-smart varieties and their economic impact in flood-risk areas",,1355-770X,"Veettil, Prakashan Chellattan","Ashok, Arathy;Raghu, Prabhakaran T.",Cambridge University Press (CUP),Environment and Development Economics,2021,Volume 45; pages 45-68.,"Weather extremes which are accelerated by changing climate greatly decrease agricultural productivity, resulting in severe economic losses and losses of livelihood of the poorest marginal communities. The adoption of stress-tolerant rice varieties (STRVs) is recommended as a best technology fix for risk adaptation. Although STRVs provide better outcomes with no yield penalty, farmers' decisions to adopt new STRVs are influenced by a multitude of factors, most importantly information exposure. We used a sequential logit model to analyze the impact of information access and information quality on adoption decisions regarding STRVs in flood-risk areas. Over the years, we found that STRVs adoption has become scale neutral, but adopters have significantly higher access to information. The estimates showed that 48 per cent of the farmers having access to information decided to adopt STRVs. When information reaches 50 per cent of the rice farmers in flood-prone areas, the estimated additional annual income is US",English,Development;Economics and Econometrics;General Environmental Science,Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1017/s1355770x20000212,https://drive.google.com/file/d/1aItLL9DyQBTgM_OQNuQhFgGqRAfxKYfm/view,JA
Potential of alternate wetting and drying irrigation practices for the mitigation of GHG emissions from rice fields: Two cases in central Luzon (Philippines),,2077-0472,"Sander, Björn Ole","Asis, Constancio A.;Romasanta, Ryan;Samoy-Pascual, Kristine;Schneider, Pia;Sibayan, Evangeline B.;Wassmann, Reiner",MDPI AG,Agriculture,2020,"Volume 10, no. 8350; pages 1-19.","Reducing methane (CH4) emission from paddy rice production is an important target for many Asian countries in order to comply with their climate policy commitments. National greenhouse gas (GHG) inventory approaches like the Tier-2 approach of the Intergovernmental Panel on Climate Change (IPCC) are useful to assess country-scale emissions from the agricultural sector. In paddy rice, alternate wetting and drying (AWD) is a promising and well-studied water management technique which, as shown in experimental studies, can effectively reduce CH4 emissions. However, so far little is known about GHG emission rates under AWD when the technique is fully controlled by farmers. This study assesses CH4 and nitrous oxide (N2O) fluxes under continuous flooded (CF) and AWD treatments for seven subsequent seasons on farmers’ fields in a pumped irrigation system in Central Luzon, Philippines. Under AWD management, CH4 emissions were substantially reduced (73% in dry season (DS), 21% in wet season (WS)). In all treatments, CH4 is the major contributor to the total GHG emission and is, thus, identified as the driving force to the global warming potential (GWP). The contribution of N2O emissions to the GWP was higher in CF than in AWD, however, these only offset 15% of the decrease in CH4 emission and, therefore, did not jeopardize the strong reduction in the GWP. The study proves the feasibility of AWD under farmers’ management as well as the intended mitigation effect. Resulting from this study, it is recommended to incentivize dissemination strategies in order to improve the effectiveness of mitigation initiatives. A comparison of single CH4 emissions to calculated emissions with the IPCC Tier-2 inventory approach identified that, although averaged values showed a sufficient degree of accuracy, fluctuations for single measurement points have high variation which limit the use of the method for field-level assessments.",English,,Crossref,https://doi.org/10.3390/agriculture10080350,https://drive.google.com/file/d/1BASRqSiEoKN5Ff5oPyH73sxMndMz6VIq/view,JA
Assessment of climate change and vulnerability in Indian state of Telangana for better agricultural planning,,0177-798X,"Kadiyala, M. D. M.","Gumma, Murali Krishna;Gummadi, Sridhar;Irshad, Mohammad A.;Palanisamy, Ramaraj;Whitbread, Anthony",Springer Science and Business Media LLC,Theoretical and Applied Climatology,2020,(e-first copy); 17 pages.,,English,Atmospheric Science,Crossref;Crossref,https://doi.org/10.1007/s00704-020-03425-8,https://drive.google.com/file/d/1MrUfjUCRXQ9A8hvK4XBvdk2wUbfCfR8M/view,JA
