Title,Authors,Abstract,Funders,Language,DOI,Repository link,Publication date,Journal,Publisher,Pages,Subjects
Catching-up with genetic progress: Simulation of potential production for modern wheat cultivars in the Netherlands,"Berghuijs, H.N.C.; Silva, J.V.; Rijk, H.C.A.; Ittersum, M.K. van; van Evert, F.; Reidsma, P.","Context: Wheat crop growth models from all over the world have been calibrated on the Groot and Verberne (1991) data set, collected between 1982 and 1984 in the Netherlands, in at least 28 published studies to date including various recent ones. However, the recent use of this data set for calibration of potential yield is questionable as actual Dutch winter wheat yields increased by 3.1 Mg ha-1 over the period 1984 – 2015. A new comprehensive set of winter wheat experiments, suitable for crop model calibration, was conducted in Wageningen during the growing seasons of 2013–2014 and of 2014–2015. Objective: The present study aimed to quantify the change of winter wheat variety traits between 1984 and 2015 and to examine which of the identified traits explained the increase in wheat yield most. Methods: PCSE-LINTUL3 was calibrated on the Groot and Verberne data (1991) set. Next, it was evaluated on the 2013–2015 data set. The model was further recalibrated on the 2013–2015 data set. Parameter values of both calibrations were compared. Sensitivity analysis was used to assess to what extent climate change, elevated CO2, changes in sowing dates, and changes in cultivar traits could explain yield increases. Results: The estimated reference light use efficiency and the temperature sum from anthesis to maturity were higher in 2013–2015 than in 1982–1984. PCSE-LINTUL3, calibrated on the 1982–1984 data set, underestimated the yield potential of 2013–2015. Sensitivity analyses showed that about half of the simulated winter wheat yield increase between 1984 and 2015 in the Netherlands was explained by elevated CO2 and climate change. The remaining part was explained by the increased temperature sum from anthesis to maturity and, to a smaller extent, by changes in the reference light use efficiency. Changes in sowing dates, biomass partitioning fractions, thermal requirements for anthesis, and biomass reallocation did not explain the yield increase. Conclusion: Recalibration of PCSE-LINTUL3 was necessary to reproduce the high wheat yields currently obtained in the Netherlands. About half of the reported winter wheat yield increase was attributed to climate change and elevated CO2. The remaining part of the increase was attributed to changes in the temperature sum from anthesis to maturity and, to a lesser extent, the reference light use efficiency. Significance: This study systematically addressed to what extent changes in various cultivar traits, climate change, and elevated CO2 can explain the winter wheat yield increase observed in the Netherlands between 1984 and 2015.",Digital Future Farm Project; Water Farming Project; CGIAR Trust Fund,English,10.1016/j.fcr.2023.108891,https://hdl.handle.net/10883/22576,2023,Field Crops Research,Elsevier,,crop modelling; light; phenology; maximum sustainable yield; triticum aestivum; winter wheat; light use efficiency; potential yield
Implementing conjunctive management of water resources for irrigation development: A framework applied to the Southern Plain of Western Nepal,"Pandey, V.P.; Shrestha, N.; Urfels, A.; Ray, A.; Khadka, M.; Pavelic, P.; Mcdonald, A.; Krupnik, T.J.","Climate variability and insufficient irrigation are primary constraints to stable and higher agricultural productivity and food security in Nepal. Agriculture is the largest global freshwater user, and integration of surface- and ground-water use is frequently presented as an strategy for increasing efficiency as well as climate change adaptation. However, conjunctive management (CM) planning often ignores demand-side requirements and a broader set of sustainable development considerations, including ecosystem health and economics of different development strategies. While there is generic understanding of conjunctive use, detailed technical knowhow to realize the CM is lacking in Nepal. This article presents a holistic framework through literature reviews, stakeholders consultations and expert interviews for assessing CM and implementation prospects from a systems-level perspective. We demonstrate the framework through a case study in Western Nepal, where climatic variability and a lack of irrigation are key impediments to increased agricultural productivity and sustainable development. Results show that knowledge of water resources availability is good and that of water demand low in the Western Terai. Additional and coordinated investments are required to improve knowledge gaps as well as access to irrigation. There is therefore a need to assess water resources availability, water access, use and productivity, to fill the knowledge gaps in order to pave pathways for CM. This paper also discusses some strategies to translate prospects of conjunctive management into implementation.",Consultative Group for International Agricultural Research (CGIAR); United States Agency for International Development (USAID),English,10.1016/j.agwat.2023.108287,https://hdl.handle.net/10883/22570,2023,Agricultural Water Management,Elsevier,,climate change; groundwater; water policies; conjunctive use; conjunctive management
Building resilient maize production systems with stress-adapted varieties: Farmers' priorities in western Kenya,"Marenya, P.P.; Wanyama, R.; Alemu, S.; Woyengo, V.","Maize cropping systems in Kenya, as is true in many other places in Africa, face multiple biotic and abiotic stressors not least climatic ones. Guided by farmers' priorities, maize breeding programs can contribute to the needed resilience against these changes by developing and mainstreaming new generations of maize varieties adapted to these challenges. Using data from 1,400 farmers and applying a multi-criteria choice analysis, this study reports on smallholder farmers' relative valuation of stress tolerance traits. The results showed that farmers were willing to pay significant premiums for tolerance to drought, striga, low nitrogen (nitrogen use efficiency) and fall army worm infestation, in that order. Large scale incorporation of these traits in legacy varieties as well as new ones, can contribute to enhancing maize system resilience and adaptation to changing growing conditions. For seed systems development, these traits can provide the basis for making strong business cases for the replacement of old varieties with new, stress-adapted ones.",Bill & Melinda Gates Foundation (BMGF); United States Agency for International Development (USAID),English,10.3389/fsufs.2022.702405,https://hdl.handle.net/10883/22556,2022,Frontiers in Sustainable Food Systems,Frontiers,,climate change adaptation; maize; varieties; genetic improvement; resilience; smallholders; farming systems; climate-ready maize varieties; maize-genetic improvement; smallholder farming systems
Farmers′ use of climate change adaptation strategies and their impacts on food security in Kenya,"Gebre, G.G.; Yuichiro Amekawa; Fikadu, A.A.; Rahut, D.B.","Climate change threatens the sustainability of food production among farmers in Kenya who depend on rain‐fed agriculture. To minimize the negative impacts of climate change, farmers have sought to adopt different adaptation strategies. This study investigates factors influencing farmers’ choice of climate change adaptation strategies and associated effects on their food security in Kenya using data collected from 540 farmers from six counties. A multivariate probit, censored least absolute deviation (CLAD), and propensity score matching (PSM) models were employed to identify the determinants in the farmers’ choice of climate change adaptation strategies, the number of adaptation strategies adopted, and the effect of climate change adaptation strategies on their food security, respectively. Results show that planting drought-tolerant crop varieties (55%), growing diversified crops (34%), growing early maturing crops (22%), and diversifying the sources of household income (18%) were the four major adaptation strategies used by the farmers in the study area. Younger farmers and those with higher education levels are more likely to use these climate change adaptation practices. The number of adaptation strategies used was positively associated with male farmers, education level, family size, land size, farm income, extension contact, training, and information access. The farmers who adopt one adaptation strategy have higher food security status (approximately 7–11%) than those who do not. If they adopt two adaptation strategies, their food security status increases by approximately 11–14%; if they adopt three adaptation strategies, their food security status increases by nearly 12–15%; and if they adopt four adaptation practices, their food security status increases by about 14–18%, compared to those who do not adopt any strategy. Thus, the farmers’ climate change adaptation practices have positive food security effects in Kenya according to the number of adaptation strategies adopted.",,English,10.1016/j.crm.2023.100495,https://hdl.handle.net/10883/22548,2023,Climate Risk Management,Elsevier,,climate change; food security; smallholders; adaptation strategies; smallholder farmers
Climate-smart agriculture technologies and determinants of farmers’ adoption decisions in the Great Rift Valley of Ethiopia,"Sisay, T.; Tesfaye, K.; Ketema, M.; Nigussie Dechassa; Getnet, M.","Agriculture is a sector that is very vulnerable to the effects of climate change while contributing to anthropogenic greenhouse gas (GHG) emissions to the atmosphere. Therefore, applying Climate-Smart Agriculture (CSA) technologies and practices (referee hereafter as CSA technologies) that can sustainably boost productivity, improve resilience, and lower GHG emissions are crucial for a climate resilient agriculture. This study sought to identify the CSA technologies used by farmers and assess adoption levels and factors that influence them. A cross-sectional survey was carried out gather information from 384 smallholder farmers in the Great Rift Valley (GRV) of Ethiopia. Data were analyzed using percentage, chi-square test, t test, and the multivariate probit model. Results showed that crop diversification, agroforestry, and integrated soil fertility management were the most widely practiced technologies. The results of the chi-square and t tests showed that there are differences and significant and positive connections between adopters and non-adopters based on various attributes. The chi-square and t test results confirmed that households who were older and who had higher incomes, greater credit access, climate information access, better training, better education, larger farms, higher incomes, and more frequent interactions with extension specialists had positive and significant associations with CSA technology adopters. The model result showed that age, sex, and education of the head; farmland size; livestock ownership; income; access to credit; access to climate information; training; and extension contact influenced the adoption of CSA technologies. Therefore, considering barriers to the adoption of CSA technologies, in policy and action is anticipated to support smallholder farmers in adapting to climate change while lowering GHG emissions.",,English,10.3390/su15043471,https://hdl.handle.net/10883/22547,2023,Sustainability,MDPI,,climate change; climate-smart agriculture; probit analysis; smallholders; smallholder farmers; multivariate probit model
Guard-cell-targeted overexpression of Arabidopsis Hexokinase 1 can improve water use efficiency in field-grown tobacco plants,"Acevedo-Siaca, L.G.; Głowacka, K.; Driever, S.M.; Salesse-Smith, C.; Lugassi, N.; Granot, D.; Long, S.P.; Kromdijk, J.","Water deficit currently acts as one of the largest limiting factors for agricultural productivity worldwide. Additionally, limitation by water scarcity is projected to continue in the future with the further onset of effects of global climate change. As a result, it is critical to develop or breed for crops that have increased water use efficiency and that are more capable of coping with water scarce conditions. However, increased intrinsic water use efficiency (iWUE) typically brings a trade-off with CO2 assimilation as all gas exchange is mediated by stomata, through which CO2 enters the leaf while water vapor exits. Previously, promising results were shown using guard-cell-targeted overexpression of hexokinase to increase iWUE without incurring a penalty in photosynthetic rates or biomass production. Here, two homozygous transgenic tobacco (Nicotiana tabacum) lines expressing Arabidopsis Hexokinase 1 (AtHXK1) constitutively (35SHXK2 and 35SHXK5) and a line that had guard-cell-targeted overexpression of AtHXK1 (GCHXK2) were evaluated relative to wild type for traits related to photosynthesis and yield. In this study, iWUE was significantly higher in GCHXK2 compared with wild type without negatively impacting CO2 assimilation, although results were dependent upon leaf age and proximity of precipitation event to gas exchange measurement.",,English,10.1093/jxb/erac218,https://hdl.handle.net/10883/22544,2022,Journal of Experimental Botany,Oxford University Press,5745-5757,carbon dioxide; hexokinase; photosynthesis; water use efficiency; co2 assimilation
"Biofortification to avoid malnutrition in humans in a changing climate: Enhancing micronutrient bioavailability in seed, tuber, and storage roots","Dwivedi, S.; Garcia-Oliveira, A.L.; Govindaraj, M.; Ortiz, R.","Malnutrition results in enormous socio-economic costs to the individual, their community, and the nation’s economy. The evidence suggests an overall negative impact of climate change on the agricultural productivity and nutritional quality of food crops. Producing more food with better nutritional quality, which is feasible, should be prioritized in crop improvement programs. Biofortification refers to developing micronutrient -dense cultivars through crossbreeding or genetic engineering. This review provides updates on nutrient acquisition, transport, and storage in plant organs; the cross-talk between macro- and micronutrients transport and signaling; nutrient profiling and spatial and temporal distribution; the putative and functionally characterized genes/single-nucleotide polymorphisms associated with Fe, Zn, and β-carotene; and global efforts to breed nutrient-dense crops and map adoption of such crops globally. This article also includes an overview on the bioavailability, bioaccessibility, and bioactivity of nutrients as well as the molecular basis of nutrient transport and absorption in human. Over 400 minerals (Fe, Zn) and provitamin A-rich cultivars have been released in the Global South. Approximately 4.6 million households currently cultivate Zn-rich rice and wheat, while ~3 million households in sub-Saharan Africa and Latin America benefit from Fe-rich beans, and 2.6 million people in sub-Saharan Africa and Brazil eat provitamin A-rich cassava. Furthermore, nutrient profiles can be improved through genetic engineering in an agronomically acceptable genetic background. The development of “Golden Rice” and provitamin A-rich dessert bananas and subsequent transfer of this trait into locally adapted cultivars are evident, with no significant change in nutritional profile, except for the trait incorporated. A greater understanding of nutrient transport and absorption may lead to the development of diet therapy for the betterment of human health.",CGIAR Trust Fund,English,10.3389/fpls.2023.1119148,https://hdl.handle.net/10883/22491,2023,Frontiers in Plant Science,Frontiers,,bioavailability; absorption; climate change; genetic markers; genetic engineering; nutrients; transport; storage; bioaccessibility and absorption; biofortified crop cultivars; genes and genetic markers; nutrient acquisition; transport and storage
Global crop yields can be lifted by timely adaptation of growing periods to climate change,"Minoli, S.; Jägermeyr, J.; Asseng, S.; Urfels, A.; Muller, C.","Adaptive management of crop growing periods by adjusting sowing dates and cultivars is one of the central aspects of crop production systems, tightly connected to local climate. However, it is so far underrepresented in crop-model based assessments of yields under climate change. In this study, we integrate models of farmers’ decision making with biophysical crop modeling at the global scale to simulate crop calendars adaptation and its effect on crop yields of maize, rice, sorghum, soybean and wheat. We simulate crop growing periods and yields (1986-2099) under counterfactual management scenarios assuming no adaptation, timely adaptation or delayed adaptation of sowing dates and cultivars. We then compare the counterfactual growing periods and corresponding yields at the end of the century (2080-2099). We find that (i) with adaptation, temperature-driven sowing dates (typical at latitudes >30°N-S) will have larger shifts than precipitation-driven sowing dates (at latitudes <30°N-S); (ii) later-maturing cultivars will be needed, particularly at higher latitudes; (iii) timely adaptation of growing periods would increase actual crop yields by ~12%, reducing climate change negative impacts and enhancing the positive CO2 fertilization effect. Despite remaining uncertainties, crop growing periods adaptation require consideration in climate change impact assessments.",Federal Ministry of Education and Research; International Wheat Yield Partnership (IWYP); United States Agency for International Development (USAID); Bill & Melinda Gates Foundation (BMGF); CGIAR Trust Fund,English,10.1038/s41467-022-34411-5,https://hdl.handle.net/10883/22443,2022,Nature Communications,Nature Publishing Group,,agroecology; climate change; modelling; plant breeding; adaptive management; sowing dates adjustment; crop growing periods
Conservation agriculture affects grain and nutrient yields of maize (Zea Mays L.) and can impact food and nutrition security in Sub-Saharan Africa,"Galani, Y.J.H.; Ivy Sichinga Ligowe; Kieffer, M.; Kamalongo, D.; Kambwiri, A.M.; Kuwali, P.; Thierfelder, C.; Dougill, A.J.; Gong, Y.Y.; Orfila, C.","Maize is a major staple and plays an essential role in food and nutrition security in Sub-Saharan Africa (SSA). Conservation agriculture (CA), a climate-smart agriculture practise based on minimum soil disturbance, crop residue retention, and crop diversification, has been widely advocated but without extensive research on the impact it may have on maize nutrient composition, and food and nutrition security. This study assessed the grain yield, macro- and micronutrient mineral content, and nutrient yield of eight maize varieties grown in Malawi, and how these are affected by CA practises over two seasons. The minerals were analysed by inductively coupled plasma (ICP) coupled to optical emission spectroscopy (OES) and to mass spectroscopy (MS). Grain yield and Se content differed among the varieties, while C, N, Fe, K, Mg, Mn, P, and Zn were similar. The local variety Kanjerenjere showed lowest grain and nutrient yields. The open-pollinated varieties (OPVs) concentrated more minerals than the F1 hybrids, but the latter showed higher yields for both grain and nutrients. Typical consumption of the eight maize varieties could fully meet the protein and Mg dietary reference intake (DRIs) of Malawian children (1–3 years), as well as Mg and Mn needs of adult women (19–50 years), but their contribution to dietary requirements was low for Fe (39–41%) and K (13–21%). The trials showed that CA increased grain yield (1.2- to 1.8-fold) and Se content (1.1- to 1.7-fold), but that it had no effect on C, K, Mg, P, and Zn, and that N (1.1- to 1.2-fold), Mn (1.1- to 1.8-fold), and Fe (1.3- to 3.4-fold) were reduced. The high increase in grain yield under CA treatments resulted in increased yields of protein and Se, no effect on the yields of K, Mg, Mn, P, Zn, and reduced Fe yield. Conservation agriculture could contribute in reducing the risk of Se deficiency in Malawian women and children but exacerbates the risk of Fe deficiency. A combination of strategies will be needed to mitigate some of the foreseen effects of climate change on agriculture, and food and nutrition security, and improve nutrient intake.",Biotechnology and Biological Sciences Research Council (BBSRC); CGIAR Trust Fund,English,10.3389/fnut.2021.804663,https://hdl.handle.net/10883/22423,2022,Frontiers in Nutrition,Frontiers,,maize; varieties; nutrition security; nutrient deficiencies; climate change; maize varieties; micronutrient deficiencies
Rebalancing global nitrogen management in response to a fertilizer and food security crisis,"Snapp, S.S.; Sapkota, T.; Chamberlin, J.; Cox, C.; Gameda, S.; Jat, M.L.; Marenya, P.P.; Mottaleb, K.A.; Negra, C.; Senthilkumar, K.; Sida, T.S.; Singh, U.; Stewart, Z.; Tesfaye, K.; Govaerts, B.","Vulnerabilities of the global fuel-fertilizer-food nexus have been revealed by a regional geopolitical conflict causing sudden and massive supply disruptions. Across over- and under-fertilized agricultural systems, nitrogen (N) fertilizer price spikes will have very different effects and require differentiated responses. For staple cereal production in India, Ethiopia, and Malawi, our estimates of N-fertilizer savings show the value of integrated organic and inorganic N management. N-deficient systems benefit from shifting to more cost-effective, high-N fertilizer (such as urea), combined with compost and legumes. N-surplus systems achieve N savings through better targeted and more efficient N-fertilizer use. Globally, there is a need to re-balance access to N-fertilizers, while steering the right fertilizer to the right place, and managing N in combination with carbon through near-term interventions, while striving for longer-term sustainable management. Nationally, governments can invest in extension and re-align subsidies to enable and incentivize improved N management at the farm level.",CGIAR Trust Fund,English,10.21203/rs.3.rs-2318855/v1,https://hdl.handle.net/10883/22412,2022,Research Square,Research Square,,agriculture; climate change mitigation; biogeochemistry; fertilizers; food security; composts; legumes; geopolitical conflicts; massive supply disruptions; price spikes; improved fertilizer management
Smallholder farms have and can store more carbon than previously estimated,"Ewing, P.M.; Tu, X.; Runck, B.C.; Nord, A.; Chikowo, R.; Snapp, S.S.","Increasing soil organic carbon (SOC) stocks is increasingly targeted as a key strategy in climate change mitigation and improved ecosystem resiliency. Agricultural land, a dominant global land use, provides substantial challenges and opportunities for global carbon sequestration. Despite this, global estimates of soil carbon sequestration potential often exclude agricultural land and estimates are coarse for regions in the Global South. To address these discrepancies and improve estimates, we develop a hybrid, data-augmented database approach to better estimate the magnitude of SOC sequestration potential of agricultural soils. With high-resolution (30 m) soil maps of Africa developed by the International Soils Database (iSDA) and Malawi as a case study, we create a national adjustment using site-specific soil data retrieved from 1160 agricultural fields. We use a benchmark approach to estimate the amount of SOC Malawian agricultural soils can sequester, accounting for edaphic and climatic conditions, and calculate the resulting carbon gap. Field measurements of SOC stocks and sequestration potentials were consistently larger than iSDA predictions, with an average carbon gap of 4.42 ± 0.23 Mg C ha−1 to a depth of 20 cm, with some areas exceeding 10 Mg C ha−1. Augmenting iSDA predictions with field data also improved sensitivity to identify areas with high SOC sequestration potential by 6%—areas that may benefit from improved management practices. Overall, we estimate that 6.8 million ha of surface soil suitable for agriculture in Malawi has the potential to store 274 ± 14 Tg SOC. Our approach illustrates how ground truthing efforts remain essential to reduce errors in continent-wide soil carbon predictions for local and regional use. This work begins efforts needed across regions to develop soil carbon benchmarks that inform policies and identify high-impact areas in the effort to increase SOC globally.",,English,10.1111/gcb.16551,https://hdl.handle.net/10883/22410,2023,Global Change Biology,Wiley,1471-1483,carbon sequestration; climate change mitigation; smallholders; carbon; geographically weighted regression; international soils database; smallholder agriculture; soil carbon
Scalable diversification options delivers sustainable and nutritious food in Indo-Gangetic plains,"Gora, M.K.; Satish Kumar; Jat, H.S.; Kakraliya Suresh Kumar; Choudhary, M.; Dhaka, A.K.; Jat, R.D.; Kakraliya, M.; Sharma, P.C.; Jat, M.L.","Indo-Gangetic plains (IGP) of South Asia have supported bulk of human and bovine population in the region since ages, and a spectacular progress has been made in food production. However, malnutrition, diminishing total factor productivity, and natural resource degradation continue to plague this cereal-dominated region, which is also vulnerable to climate change. Addressing these challenges would require a transition towards diversifying cereal rotations with agroecological cropping systems. A study was, therefore, conducted at the experimental farm of ICAR-CSSRI, Karnal on crop diversification and sustainable intensification options using agro-ecological approaches such as Conservation Agriculture (CA) and diversified cropping systems to ensure food and nutritional security while sustaining the natural resources. On 2 years mean basis, CA-based cropping system management scenarios (mean of Sc2–Sc7) using diversified crop rotations; increased the system yield by 15.4%, net return by 28.7%, protein yield by 29.7%, while using 53.0% less irrigation water compared to conventional tillage (CT)-based rice–wheat system (Sc1). Maize-mustard-mungbean on permanent beds (PBs) (Sc4) recorded the highest productivity (+ 40.7%), profitability (+ 60.1%), and saved 81.8% irrigation water compared to Sc1 (11.8 Mg ha−1; 2190 USD ha−1; 2514 mm ha−1). Similarly, Sc5 (maize-wheat-mungbean on PBs) improved productivity (+ 32.2%), profitability (+ 57.4%) and saved irrigation water (75.5%) compared to Sc1. In terms of nutritional value, Sc5 was more balanced than other scenarios, and produced 43.8, 27.5 and 259.8% higher protein, carbohydrate and fat yields, respectively, compared to Sc1 (0.93, 8.55 and 0.14 Mg ha−1). Scenario 5 was able to meet the nutrient demand of 19, 23 and 32 additional persons ha−1 year−1 with respect to protein, carbohydrate and fat, respectively, compared to Sc1. The highest protein water productivity (~ 0.31 kg protein m−3 water) was recorded with CA-based soybean-wheat-mungbean (Sc6) system followed by maize-mustard-mungbean on PBs (Sc4) system (~ 0.29 kg protein m−3) and lowest under Sc1. Integration of short duration legume (mungbean) improved the system productivity by 17.2% and profitability by 32.1%, while triple gains in irrigation water productivity compared to CT-based systems. In western IGP, maize-wheat-mungbean on PBs was found most productive, profitable and nutritionally rich and efficient system compared to other systems. Therefore, diversification of water intensive cereal rotations with inclusion of legumes and CA-based management optimization can be potential option to ensure nutritious food for the dwelling communities and sustainability of natural resources in the region.",CGIAR Research Program on Wheat; Indian Council of Agricultural Research (ICAR),English,10.1038/s41598-022-18156-1,https://hdl.handle.net/10883/22407,2022,Scientific Reports,Nature Publishing Group,,climate change; environmental impact; plant ecology; conservation agriculture; natural resources degradation; cereal rotations; diversified cropping systems; nutritional security
"Carbon sequestration potential, challenges, and strategies towards climate action in smallholder agricultural systems of South Asia","Jat, M.L.; Chakraborty, D.; Ladha, J.; Parihar, C.M.; Datta, A.; Mandal, B.; Nayak, H.S.; Maity, P.; Dharamvir Singh Rana; Chaudhari, S.K.; Gerard, B.","South Asia is a global hotspot for climate change with enormous pressure on land and water resources for feeding the burgeoning population. The agricultural production systems are highly vulnerable in the region and is primarily dominated by small and marginal farmers with intensive farming practices that had favored the loss of carbon (C) from soil. This review discusses the potential of soil and crop management practices such as minimum/reduced/no-tillage, use of organic manure, balanced and integrated plant nutrient application, precision land levelling, precision water and pest management, residue management, and cropping system optimization to maintain the C-equilibrium between soil and atmosphere and to enhance the C-sequestration in the long run. Results of meta-analysis show a potential 36% increase in soil organic C stock in the top 0–15 cm layer in this region which amounts to ∼18 Mg C stocks ha−1. Improved management practices across crops and environment may reduce methane em0ission by 12% resulting in an 8% reduction in global warming potential (GWP), while non-submerged condition led to a 51% GWP reduction in rice. Conservation agriculture and precision fertilization also reduced GWP by 11 and 14%, respectively. Although several innovative climate resilient technologies having significant potential for C-sequestration have been developed, there is an urgent need for their scaling and accelerated adoption to increase soil C-sequestration. Policies and programs need to be devised for incentivizing farmers to adopt more C-neutral or C-positive agricultural practices. The national governments and other agencies should work towards C farming together with global initiatives such as the “4 per 1000” Initiative and Global Soil Partnership, and regional public-private partnership initiatives on carbon credits for Regenerative Agriculture such as by Grow Indigo-CIMMYT-ICAR in India, in addition to research and policy changes. This will be vital for the success of soil C sequestration towards climate action in South Asia.","Indian Council of Agricultural Research (ICAR); Government of India; CGIAR Research Program on Wheat; CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS)",English,10.1016/j.crope.2022.03.005,https://hdl.handle.net/10883/22409,2022,Crop and Environment,Elsevier,86-101,balanced fertilization; carbon sequestration; conservation agriculture; global warming; carbon stock; global warming potential
Evidence for increasing global wheat yield potential,"Guarin, J.R.; Martre, P.; Ewert, F.; Webber, H.; Dueri, S.; Calderini, D.; Reynolds, M.P.; Molero, G.; Miralles, D.; Garcia, G.; Slafer, G.; Giunta, F.; Pequeno, D.N.L.; Stella, T.; Mukhtar Ahmed; Alderman, P.D.; Basso, B.; Berger, A.G.; Bindi, M.; Bracho-Mujica, G.; Cammarano, D.; Yi Chen; Dumont, B.; Rezaei, E.E.; Fereres, E.; Ferrise, R.; Gaiser, T.; Yujing Gao; Garcia-Vila, M.; Gayler, S.; Hochman, Z.; Hoogenboom, G.; Hunt, L.A.; Kersebaum, K.C.; Nendel, C.; Olesen, J.E.; Palosuo, T.; Priesack, E.; Pullens, J.W.M.; Rodríguez, A.; Rötter, R.P.; Ruiz Ramos, M.; Semenov, M.A.; Senapati, N.; Siebert, S.; Srivastava, A.K.; Stöckle, C.; Supit, I.; Fulu Tao; Thorburn, P.J.; Wang, E.; Weber, T.K.D.; Liujun Xiao; Zhao Zhang; Chuang Zhao; Zhao, J.; Zhigan Zhao; Yan Zhu; Asseng, S.","Wheat is the most widely grown food crop, with 761 Mt produced globally in 2020. To meet the expected grain demand by mid-century, wheat breeding strategies must continue to improve upon yield-advancing physiological traits, regardless of climate change impacts. Here, the best performing doubled haploid (DH) crosses with an increased canopy photosynthesis from wheat field experiments in the literature were extrapolated to the global scale with a multi-model ensemble of process-based wheat crop models to estimate global wheat production. The DH field experiments were also used to determine a quantitative relationship between wheat production and solar radiation to estimate genetic yield potential. The multi-model ensemble projected a global annual wheat production of 1050 ± 145 Mt due to the improved canopy photosynthesis, a 37% increase, without expanding cropping area. Achieving this genetic yield potential would meet the lower estimate of the projected grain demand in 2050, albeit with considerable challenges.",International Wheat Yield Partnership (IWYP); National Natural Science Foundation of China; Biotechnology and Biological Sciences Research Council (BBSRC),English,10.1088/1748-9326/aca77c,https://hdl.handle.net/10883/22405,2022,Environmental Research Letters,IOP Publishing,,climate change; crops; food supply; photosynthesis; crop modelling; food security; model ensembles; wheat; yield increases; breeding; radiation use efficiency; wheat potential yield; crop model ensemble; global food security
Seasonal climate forecasts (SCFs) based risk management strategies: A case study of rainfed rice cultivation in India,"Kushwaha, N.L.; Rajput, J.; Shirsath, P.B.; Sena, D.R.; Mani, I.","Seasonal climate forecasts (SCFs) have gained popularity in agriculture for climate risk management studies. The available forms of SCFs are not conducive
to decision making because of a mismatch in scales over space and time. In this study, available SCFs were disaggregated using the FResampler1 technique to
simulate rice yield (cultivar PR 114) under different nitrogen levels and planting dates using DSSAT (Decision Support System for Agrotechnology Transfer) for
Sitamarhi district, Bihar, India. Results showed that the late planting of rice predicted the highest yield (3800 kg ha-1) with high variability under SCF (wet) and
200 kg ha-1 application of nitrogen fertilizer. Similarly, for SCF (dry), the late planting of rice simulated high yield (3100 kg ha-1) attributes with 200 kg ha-1 of
nitrogen fertilizer. However, rice yield under climatology (3450 kg ha-1) was more than SCF (dry) (3100 kg ha-1). Planting of rice on 15th June 2019 under the SCF
(normal) predicted low uncertainty with high mean yields as compared to the mid (05th July 2019), and late (25th July 2019) planting. The present study showed
that by applying SCF, we can have a better understanding on “relative” changes in yield attributes with fertilizer doses and planting dates, which may be adopted
by the climate adviser to offset the climate risk without compromising productivity.",,English,10.54386/jam.v24i1.775,https://hdl.handle.net/10883/22388,2022,Journal of Agrometeorology,Association of Agrometeorologists,10–17.,climate change; decision support systems; yields; rice; risk management; fresampler1; seasonal climate forecasts; decision support system for agrotechnology transfer
Prediction of near-term climate change impacts on UK wheat quality and the potential for adaptation through plant breeding,"Fradgley, N.; Bacon, J.; Bentley, A.R.; Costa-Neto, G.; Cottrell, A.; Crossa, J.; Cuevas, J.; Kerton, M.; Pope, E.; Swarbreck, S.M.; Gardner, K.A.","Wheat is a major crop worldwide, mainly cultivated for human consumption and animal feed. Grain quality is paramount in determining its value and downstream use. While we know that climate change threatens global crop yields, a better understanding of impacts on wheat end-use quality is also critical. Combining quantitative genetics with climate model outputs, we investigated UK-wide trends in genotypic adaptation for wheat quality traits. In our approach, we augmented genomic prediction models with environmental characterisation of field trials to predict trait values and climate effects in historical field trial data between 2001 and 2020. Addition of environmental covariates, such as temperature and rainfall, successfully enabled prediction of genotype by environment interactions (G × E), and increased prediction accuracy of most traits for new genotypes in new year cross validation. We then extended predictions from these models to much larger numbers of simulated environments using climate scenarios projected under Representative Concentration Pathways 8.5 for 2050–2069. We found geographically varying climate change impacts on wheat quality due to contrasting associations between specific weather covariables and quality traits across the UK. Notably, negative impacts on quality traits were predicted in the East of the UK due to increased summer temperatures while the climate in the North and South-west may become more favourable with increased summer temperatures. Furthermore, by projecting 167,040 simulated future genotype–environment combinations, we found only limited potential for breeding to exploit predictable G × E to mitigate year-to-year environmental variability for most traits except Hagberg falling number. This suggests low adaptability of current UK wheat germplasm across future UK climates. More generally, approaches demonstrated here will be critical to enable adaptation of global crops to near-term climate change.","Biotechnology and Biological Sciences Research Council (BBSRC); CGIAR Trust Fund; Agriculture and Horticulture Development Board, United Kingdom; British Society of Plant Breeders Limited",English,10.1111/gcb.16552,https://hdl.handle.net/10883/22384,2023,Global Change Biology,Wiley,1296-1313,adaptation; climate change; grain; quality; wheat; breeding; climate change impact; genomic prediction; grain quality; wheat breeding
