Title,Authors,Author affiliations,Abstract,DOI,Repository link,Publication date,Journal,ISSN,Publisher,Volume,Issue,Subjects,Funders,Pages
From bits to bites: Advancement of the Germinate platform to support prebreeding informatics for crop wild relatives,"Raubach, S; Kilian, B; Dreher, K; Amri, A; Bassi, F M; Boukar, O; Cook, D; Cruickshank, A; Fatokun, C; El Haddad, N; Humphries, A; Jordan, D; Kehel, Z; Kumar, S; Labarosa, S J; Nguyen, L H; Mace, E; McCouch, S; McNally, K; Marshall, D F; Mikwa, E O; Milne, I; Odeny, D A; Plazas, M; Prohens, J; Rieseberg, L H; Schafleitner, R; Sharma, S; Stephen, G; Tin, H Q; Togola, A; Warschefsky, E; Werner, P; Shaw, P D","Department of Information and Computational Sciences, The James Hutton Institute, Errol Road, Invergowrie, Dundee; Global Crop Diversity Trust, Platz der Vereinten Nationen 7, Bonn; International Maize and Wheat Improvement Center (CIMMYT), Edo. De Mexico, Texcoco; Universitat Politècnica de València, Valencia; Department of Botany, University of British Columbia, Vancouver, British Columbia; ICRISAT (Patancheru); SRUC, Peter Wilson Building,West Mains Road, Edinburgh; Department of Plant Pathology, College of Agricultural and Environmental Sciences, University of California–Davis, One Shields Avenue, Davis; ICRISAT (Nairobi); South Australian Research and Development Institute (SARDI),Waite Institute, Urrbrae; International Institute of Tropical Agriculture (IITA), Kano; International Institute of Tropical Agriculture (IITA), HQ, Ibadan; International Rice Research Institute (IRRI), Pili Drive, Los Baños, Laguna; Plant Breeding & Genetics, Cornell University, Ithaca; University of Queensland and Department of Agriculture and Fisheries,Warwick; Mekong Delta Development Research Institute, Can Tho University, Can Tho; The University of Bonn/Crop Trust, Bonn, Germany; Roland Schafleitner,World Vegetable Center, Shanhua, Taiwan; International Center For Agricultural Research In The Dry Areas (ICARDA), Rabat","Management and distribution of experimental data from prebreeding projects
is important to ensure uptake of germplasm into breeding and research programs.
Being able to access and share this data in standard formats is essential.
The adoption of a common informatics platform for crops that may have limited
resources brings economies of scale, allowing common informatics components
to be used across multiple species. The close integration of such a platform with
commonly used breeding software, visualization, and analysis tools reduces the
barrier for entry to researchers and provides a common framework to facilitate
collaborations and data sharing. This work presents significant updates to the
Germinate platform and highlights its value in distributing prebreeding data for
14 crops as part of the project ‘Adapting Agriculture to Climate Change: Collecting,
Protecting and Preparing Crop Wild Relatives’ (hereafter Crop Trust Crop
Wild Relatives project) led by the Crop Trust (https://www.cwrdiversity.org). The
addition of data on these species compliments data already publicly available in
Germinate. We present a suite of updated Germinate features using examples
from these crop species and their wild relatives. The use of Germinate within the
Crop TrustCropWildRelatives project demonstrates the usefulness of the system
and the benefits a shared informatics platform provides. These data resources
provide a foundation on which breeding and research communities can develop
additional online resources for their crops, harness new data as it becomes available,
and benefit collectively from future developments of the Germinate platform.",10.1002/csc2.20248,http://oar.icrisat.org/id/eprint/11571,2020-06,Crop Science (TSI),0011-183X,Crop Science Society of America,,,plant breeding; germinate; data resources,,1-29
Nutrient-Dense Orange-Fleshed Sweetpotato: Advances in Drought-Tolerance Breeding and Understanding of Management Practices for Sustainable Next-Generation Cropping Systems in Sub-Saharan Africa,"Low, J W; Ortiz, R; Vandamme, E; Andrade, M; Biazin, B; Grüneberg, W J","International Potato Center (CIP), Sub-Saharan Africa Regional Office, Nairobi; Department of Plant Breeding, Swedish University of Agricultural Sciences, Alnarp, Sweden; International Potato Center (CIP), Kigali, Rwanda,; International Potato Center (CIP), Maputo, Mozambique; ICRISAT (Addis Ababa); International Potato Center (CIP), Headquarters, Lima, Peru","Almost half of children < 5 years old living in sub-Saharan Africa (SSA) suffer from vitamin A deficiency and 60% suffer from iron deficiency. Thus, there has been a strong
commitment to breeding for, promoting awareness of, and delivering adapted pro-vitamin A rich orange-fleshed sweetpotato (OFSP) in SSA during the past two decades and
for enhanced iron content since 2014. This review article focuses on major breeding efforts in SSA to enhance the drought tolerance of OFSP and reviews integrated crop
management practices for improved and sustained sweetpotato production in SSA farming systems. Under climate change, the frequency and severity of droughts is expected to increase. Technical issues are presented in the context of addressing challenges along the entire value chain to ensure adoption. First, the use of an accelerated breeding scheme reduced the breeding cycle from 8–10 to 4–5 years.
Since 2010, 19 drought-tolerant OFSP cultivars have been released in Mozambique, 7 in Malawi, and 2 in South Africa. Moreover, research in four breeding populations
using the heterosis exploiting breeding scheme (HEBS) demonstrated that within one breeding cycle of 5 years, clones with significantly higher root yield, abiotic tolerance, host plant resistance to pests and diseases, and early maturity can be produced. In the future, HEBS will be combined with greater use of modern genomic tools,
new phenotyping tools, and CRISPR/Cas9-mediated gene editing. Second, beyond genetic enhancements, evidence is presented that using improved crop management
systems, existing sweet potato yields can be increased 2–4 times. Current knowledge is reviewed concerning sweetpotato’s role in diverse farming systems, but integrated crop management is clearly under researched. Third, the outlook for drought tolerance breeding indicates that two distinct classes of nutrient-rich cultivars are emerging: (1) Early maturing cultivars (< 4 month growing period) that escape drought but also serve humid environments with small landholding size per capita; and (2) Medium maturing (4–6 month growing period) cultivars that avoid drought, are drought tolerant and exhibit
continuous root formation. Increasing commercialization of the crop and climate change will drive demand, and the willingness of farmers to invest in improved sweetpotato
crop management.",10.3389/fsufs.2020.00050,http://oar.icrisat.org/id/eprint/11556,2020-05,Frontiers in Sustainable Food Systems,2571-581X,Frontiers Media,4,,orange-fleshed sweetpotato; breeding; drought tolerance; heterosis; intensification; cropping system,,1-22
Molecular and Physiological Alterations in Chickpea under Elevated CO2 Concentrations,"Palit, P; Ghosh, R; Tolani, P; Tarafdar, A; Chitikineni, A; Bajaj, P; Sharma, M; Kudapa, H; Varshney, R K",ICRISAT (Patancheru),"The present study reports profiling of the elevated carbon
dioxide (CO2) concentration responsive global transcriptome
in chickpea, along with a combinatorial approach for
exploring interlinks between physiological and transcriptional
changes, important for the climate change scenario.
Various physiological parameters were recorded in two
chickpea cultivars (JG 11 and KAK 2) grown in open top
chambers under ambient [380 parts per million (ppm)]
and two stressed/elevated CO2 concentrations (550 and
700 ppm), at different stages of plant growth. The elevated
CO2 concentrations altered shoot and root length, nodulation
(number of nodules), total chlorophyll content and nitrogen
balance index, significantly. RNA-Seq from 12 tissues
representing vegetative and reproductive growth stages of
both cultivars under ambient and elevated CO2 concentrations
identified 18,644 differentially expressed genes including
9,687 transcription factors (TF). The differential regulations
in genes, gene networks and quantitative real-time
polymerase chain reaction (qRT-PCR) -derived expression
dynamics of stress-responsive TFs were observed in both
cultivars studied. A total of 138 pathways, mainly involved
in sugar/starch metabolism, chlorophyll and secondary
metabolites biosynthesis, deciphered the crosstalk operating
behind the responses of chickpea to elevated CO2
concentration.",10.1093/pcp/pcaa077,http://oar.icrisat.org/id/eprint/11585,2020-05,Plant and Cell Physiology (TSI),1471-9053,Oxford University Press,61,8,climate change; differentially expressed genes; elevated co2 concentration; rna-seq; stress pathways; transcriptome,,1449-1463
Restoring degraded landscapes and fragile food systems in sub-Saharan Africa: synthesis of best practices,"Amede, T; Whitbread, A M",ICRISAT (Patancheru); ICRISAT (Addis Ababa),"Communities in the dryland systems of East Africa regularly suffer from the devastating
impacts of climate variability and change, commonly manifested through torrential floods
and recurrent droughts. More than 50% of the natural disasters recorded in East African
region have occurred during the past decade affecting nearly 30 million people. For instance,
in Ethiopia as recently as 2017, more than 5.6 million people were categorized as being in
either crisis or emergency situations and requiring urgent humanitarian assistance (WFP,
2017). Such communities, already struggling to cope with the impacts of unpredictable weather,
will face a daunting task in adapting to future climate change unless they adapt improved
landscape management practices.",10.1017/s1742170520000113,http://oar.icrisat.org/id/eprint/11499,2020-04,Renewable Agriculture and Food Systems (TSI),1742-1705,Cambridge University Press,,,floods; drought; climate change,CGIAR Trust Fund,1-3
Efficient land water management practice and cropping system for increasing water and crop productivity in semi‐arid tropics,"Kamdi, P; Swain, D K; Wani, S P","ICRISAT (Patancheru); 2Agricultural and Food Engineering Department, Indian Institute of Technology Kharagpur, Kharagpur","In Indian semi-arid tropics (SATs), low water and crop productivity in Vertisols
and associated soils are mainly due to poor land management and erratic and low
rainfall occurrence. This study was conducted from 2014 to 2016 at the ICRISAT
in India to test the effect of broad bed furrows (BBF) as land water management
against conventional flatbed planting for improving soil water content (SWC) and
water and crop productivity of three cropping systems: sorghum [Sorghum bicolor
(L.) Moench]–chickpea (Cicer arientinum L.) and maize (Zea mays)–groundnut
(Arachis hypogaea L.) as sequential and pearl millet [Pennisetum glaucum (L.)]
+ pigeonpea [Cajanus cajan (L.) Millsp.] as intercropping, grown under different
nutrients management involving macronutrients (N, P, and K) only and combined
application of macro- and micronutrients. The results stated that the SWC in BBF
was higher over flatbed by 9.35–10.44% in 0- to 0.3-m, 4.56–9.30% in 0.3- to 0.6-m
and 3.85–5.26% in 0.6- to 1.05-m soil depths during the cropping season. Moreover,
depletion of the soil water through plant uptake was higher in BBF than in flatbed.
Among the cropping systems, sorghum–chickpea was the best in bringing highest
system equivalent yield and water productivity with the combined application of
macro- and micronutrients. The BBF minimized water stress at critical crop growth
stages leading to increase crop yield and water productivity in SATs. Thus, BBF
along with the application of macro- and micronutrients could be an adaptation
strategy to mitigate erratic rainfall due to climate change in SATs.",10.1002/agj2.20207,http://oar.icrisat.org/id/eprint/11527,2020-04,Agronomy Journal (TSI),0002-1962,American Society of Agronomy,112,4,land water management,,2552-2568
CGIAR modeling approaches for resource‐constrained scenarios: I. Accelerating crop breeding for a changing climate,"Ramirez‐Villegas, J; Molero Milan, A; Alexandrov, N; Asseng, S; Challinor, A J; Crossa, J; Eeuwijk, F; Ghanem, M E; Grenier, C; Heinemann, A B; Wang, J; Juliana, P; Kehel, Z; Kholova, J; Koo, J; Pequeno, D; Quiroz, R; Rebolledo, M C; Sukumaran, S; Vadez, V; White, J W; Reynolds, M","International Center for Tropical Agriculture (CIAT), (Cali); CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS), (Cali); International Maize and Wheat Improvement Center,(Texcoco); International Rice Research Institute (IRRI), (Los Baños); Agricultural and Biological Engineering Department, University of Florida, Gainesville, (Florida); School of Earth and Environment, University of Leeds, (Leeds); Department of Plant Sciences, Wageningen University, (Wageningen); International Center for Agricultural Research in the Dry Areas (ICARDA), Biodiversity and Crop Improvement Program (BCIP), Avenue HafianeCherkaoui, (Rabat); Mohammed VI Polytechnic University (UM6P), AgroBioSciences (AgBS), (Ben Guerir); CIRAD, UMR AGAP, F-34398, Montpellier, France, AGAP, Univ Montpellier, CIRAD, INRA, Montpellier SupAgro, (Montpellier); Embrapa Arroz e Feijão Rodovia, Santo Antônio de Goiás, GO, (Brazil); The National Key Facility for Crop Gene Resources and Genetic Improvement, Institute of Crop Sciences, Chinese Academy of Agricultural Sciences, (Beijing); ICRISAT (Patancheru); International Food Policy Research Institute (IFPRI), (Washington); International Potato Center (CIP), (Lima); Tropical Agricultural Research and Higher Education Center (CATIE), Turrialba, (Costa Rica); ALARC, USDA-ARS, 21881 North Cardon Lane, Maricopa, (Arizona)","Crop improvement efforts aiming at increasing crop production (quantity, quality)and adapting to climate change have been subject of active research over the pastyears. But, the question remains ‘to what extent can breeding gains be achievedunder a changing climate, at a pace sufficient to usefully contribute to climate adap-tation, mitigation and food security?’. Here, we address this question by criticallyreviewing how model-based approaches can be used to assist breeding activities, with particular focus on all CGIAR (formerly the Consultative Group on InternationalAgricultural Research but now known simply as CGIAR) breeding programs. Cropmodeling can underpin breeding efforts in many different ways, including assessinggenotypic adaptability and stability, characterizing and identifying target breedingenvironments, identifying tradeoffs among traits for such environments, and mak-ing predictions of the likely breeding value of the genotypes. Crop modeling sciencewithin the CGIAR has contributed to all of these. However, much progress remainsto be done if modeling is to effectively contribute to more targeted and impactfulbreeding programs under changing climates. In a period in which CGIAR breedingprograms are undergoing a major modernization process, crop modelers will needto be part of crop improvement teams, with a common understanding of breedingpipelines and model capabilities and limitations, and common data standards and pro-tocols, to ensure they follow and deliver according to clearly defined breeding prod-ucts. This will, in turn, enable more rapid and better-targeted crop modeling activities,thus directly contributing to accelerated and more impactful breeding efforts.",10.1002/csc2.20048,http://oar.icrisat.org/id/eprint/11426,2020-03,Crop Science (TSI),0011-183X,Crop Science Society of America,,,crop improvement; breeding; climate change; modeling,,1-21
Weathering the storm or storming the norms? Moving gender equality forward in climate-resilient agriculture,"Huyer, S; Partey, S","CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS), Wageningen; Women in Global Science and Technology (WISAT), Brighton; International Livestock Research Institute (ILRI), Nairobi; ICRISAT (Bamako)","Much is known about the effects of climate change on women, and most research on the topic
focuses on women’s greater vulnerability as a result of their reliance on natural resources,
lower access to resources and information, and gender and social norms which inhibit their
ability to take action and participate in making household and community decisions. Less
attention is given to women’s active role as agents of change, their knowledge and capacity to
respond to climate impacts, or tackling of the causes of vulnerability (Dankelman 2010;
MacGregor 2010; Perez et al. 2015; Huyer et al. 2015). In the area of agricultural climate
adaptation, Davidson (2016) noted that research on gender has primarily focused on barriers to
adaptation for women to date, finding that women-headed farming households tend to be more
vulnerable to the impacts of climate change, and women in all types of households are
relatively more vulnerable as well.Women farmers are less likely to adopt adaptation strategies
due to financial and resource limitations and less control over land (see Jost et al. 2016; McKinley et al. 2018; Mishra and Pede 2017), while agricultural organizations tend to exclude
female farmers from many of the benefits of extension, including access to information, tools,
seed, fertilizers, and improved livestock. Davidson concludes that as a result, women are often
excluded from participation in adaptation decision-making, so that their unique knowledge and
needs associated with their specific roles in farming tend not to be reflected in those decisions.",10.1007/s10584-019-02612-5,http://oar.icrisat.org/id/eprint/11760,2019-12,Climatic Change (TSI),0165-0009,Springer,158,1,gender research; climate smart agriculture; climate change,,1-12
Improving sorghum productivity under changing climatic conditions: A modelling approach,"Akinseye, F M; Ajeigbe, H A; Traore, P C S; Agele, S O; Birhanu, Z B; Whitbread, A M","ICRISAT (Kano); Department of Meteorology and Climate Science, Federal University of Technology, (Nigeria); ICRISAT (Bamako); MANOBI LLC,(Dakar-Fann); Department of Crop, Soiland Pest Management, Federal University of Technology, (Nigeria); ICRISAT (Patancheru)","Climate variability and change will have far reaching consequences for smallholder farmers in sub-Saharan Africa, the majority of whom depend on agriculture for their livelihoods. Crop modelling can help inform the improvement of agricultural productivity under future climate. This study applies the Agricultural Production Systems sIMulator
(APSIM) to assessing the impacts of projected climate change on two (early and medium maturing) sorghum varieties
under different management practices. Results show high model accuracy with excellent agreement between simulated
and observed values for crop phenology and leaf number per plant. The prediction of grain yield and total biomass of
an early maturing variety was fair RMSEn (22.9 and 23.1%), while that of the medium maturing was highly accurate
RMSEn (14.9 and 11.9%). Sensitivity analysis performed by changing the calibrated variables of key plant traits in the
model, showed higher significant yield change by+or - 10 % changed in radiation use efficiency, (RUE), coefficient
extinction (Coeff_ext) and Phyllocron (Phyllo) for early maturing variety while +or - 10 % changed in phyllochron
and RUE showed a significant yield change for the medium maturing variety. Under climate change scenerios using
RCP 8.5, the simulated yield for the early–maturing variety revealed high inter-annual variability and potential yield
loss of 3.3% at Bamako and 1% at Kano in the near-future (2010–2039) compared to baseline (1980–2009). The midcentury
(2040–2069) projected yield decline by 4.8% at Bamako and 6.2% at Kano compared to baseline (1980–2009).
On the contrary, the medium maturing variety indicated significantly yield gain with high yielding potential in both climate regimes compared to the baseline period (1980–2009). The simulated grain yield increased by 7.2% at Bamako and 4.6% at Kano, in the near-future (2010–2039) while in the mid-century (2040–2069) projected yield increase of 12.3% and 2% at Bamako and Kano compared to baseline (1980–2009). Adaptation strategies under climate change for varying sowing dates in the near-future (2010–2039, indicated that June sowing had a higher positive yield gained over July and August sowing for early maturing variety; July sowing simulated positive gained by 5 -11% over June and August sowing for medium maturing variety in both locations. Similarly, under the mid-century (2040–2069), among the sowing dates and in both locations, June sowing indicates lowest negative yield change over July and August sowing for early maturing variety. However, for medium maturing variety, July sowing had the highest yield gain of 16% over June and August sowing at Bamako and June highest positive yield gained of 11.4% over July and August at Kano. Our study has, therefore, demonstrated the capacity of APSIM model as a tool for testing management, plant traits practices and adoption of improved variety for enhancing the adaptive capacity of smallholder farmers under
climate change in the Sudanian zone of West Africa. This approach offers a promising option to design more resilient
and productive farming systems for West Africa using the diverse sorghum germplasm available in the region.",10.1016/j.fcr.2019.107685,http://oar.icrisat.org/id/eprint/11347,2019-11,Field Crops Research (TSI),3784290,Elsevier,246,107685,apsim; climate scenarios; sorghum; water-limited environment simulated yield potential; climate change,CGIAR Trust Fund,1-11
"Maize, sorghum, and pearl millet have highly contrasting species strategies to adapt to water stress and climate change-like conditions","Choudhary, S; Guha, A; Kholova, J; Pandravada, A; Messina, C D; Cooper, M; Vadez, V","Multi-Crop Research Centre, Corteva Agriscience™, Agriculture Division of DowDuPont™, Tunki-kalsa, Wargal Mandal, (Telangana); ICRISAT (Patancheru); Environmental Sciences Division and Climate Change Science Institute, Oak Ridge National Laboratory, Oak Ridge, (TN); Corteva Agriscience™, Agriculture Division of DowDuPont™, 7250NW 62ndAvenue, Johnston, (IA); Queensland Alliance for Agriculture and Food Innovation, The University of Queensland, (St Lucia); Institut de Recherche pour le Développement (IRD), UMR DIADE, Univ. Montpellier, (Montpellier)","This study compared maize, sorghum and pearl-millet, leading C4 cereals, for the transpiration rate (TR) response to increasing atmospheric and soil water stress. The TR response to transiently increasing VPD (0.9–4.1kPa) and the transpiration and leaf areaexpansion response to progressive soildrying were measuredin controlled conditions at early vegetative stage in 10–16 genotypes of each species grown in moderate or high vapor pressure deﬁcit (VPD) conditions. Maize grown under moderate VPD conditions restricted TR under high VPD, but not sorghum and pearl millet. By contrast, when grown under high VPD, all species increased TR upon increasing VPD, suggesting a loss of TR responsiveness. Sorghum and pearl-millet grown under high VPD reduced leaf area, but not maize. Upon progressive soil drying, maize reduced transpiration at higher soil moisture than sorghum and pearl millet, especially under high VPD, and leaf area expansion declined at similar or lower soil moisture than transpiration in maize and sorghum. It is concluded that maize conserves water by restricting transpiration upon increasing VPD and under higher soil moisture than sorghum and millet, giving maize signiﬁcantly higher TE, whereas sorghum and pearl millet rely mostly on reduced leaf area and somewhat on transpiration restriction.",10.1016/j.plantsci.2019.110297,http://oar.icrisat.org/id/eprint/11437,2019-10,Plant Science (TSI),0168-9452,Elsevier,,,c4 cereals transpiration rate (tr); atmospheric vapor pressure deﬁcit (vpd); transpiration eﬃciency (te); progressive soil drying (dd); leaf expansion rate (ler); fraction of transpirable soil water (ftsw),,110297
Impacts of rainfall and temperature on photoperiod insensitive sorghum cultivar : model evaluation and sensitivity analysis,"Akinseye, F M; Folorunsho, A H; Ajeigbe, H A; Agele, S O","ICRISAT (Kano) - Nigeria - WCA (West Africa); Federal University and Technology,(Akure, Ondo State)","A combination of local-scale climate and crop simulation model were used to investigate the impacts of change in temperature and rainfall on photoperiod insensitive sorghum in the Sudanian zone of Mali. In this study, the response of temperature and rainfall to yield patterns of photoperiod insensitive sorghum (Sorghum bicolor L. Moench) using the Agricultural Production Systems Simulator (APSIM)
model was evaluated. Following model calibration of the cultivar at varying sowing dates over two growing seasons (2013 and 2014), a long-term simulation was run using historical weather data (1981-2010) to determine the impacts of temperature and rainfall on grain yield, total biomass and water use efficiency at varying nitrogen fertilizer applications. The results showed that model performance was excellent with the lowest mean bias error (MBE) of -2.2 days for flowering and 1.4 days for physiological maturity. Total biomass and grain yield were satisfactorily reproduced, indicating fairly low RMSE values of 21.3% for total biomass and very low RMSE of 11.2 % for grain yield of the observed mean. Simulations at varying Nfertilizer application rate with increased temperature of 2 °C, 4 °C and 6 °C and decreased rainfall by 25 and 50 % (W-25% and W-50%) posed a highly significant risk to low yield compared to increase in rainfall.
However, the magnitude of temperature changes showed a decline in grain yield by 10%, while a decrease in rainfall by W-25% and W-50% resulted in yield decline between 5% and 37%, respectively. Thus, climate-smart site-specific utilization of the photoperiod insensitive sorghum cultivar suggests more resilient and productive farming systems for sorghum in semi-arid regions of Mali.",10.54386/jam.v21i3.248,http://oar.icrisat.org/id/eprint/11321,2019-09,Journal of Agrometeorology (TSI),0972-1665,Association of Agrometeorologists,21,3,crop simulation model; photoperiod insensitive; sorghum; rainfall; temperature; climate change,,262-269
QTLian breeding for climate resilience in cereals: progress and prospects,"Choudhary, M; Wani, S H; Kumar, P; Bagaria, P K; Rakshit, S; Roorkiwal, M; Varshney, R K","Indian Institute of Maize Research, ICAR (Ludhiana); Mountain Research Centre for Field Crops-Khudwani Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir (Srinagar); ICRISAT (Patancheru)","The ever-rising population of the twenty-first century together with the prevailing challenges, such as deteriorating quality of arable land and water, has placed a big challenge for plant breeders to satisfy human needs for food under erratic weather patterns. Rice, wheat, and maize are the major staple crops consumed globally. Drought, waterlogging, heat, salinity, and mineral toxicity are the key abiotic stresses drastically affecting crop yield. Conventional plant breeding approaches towards abiotic stress tolerance have gained success to limited extent, due to the complex (multigenic) nature of these stresses. Progress in breeding climate-resilient crop plants has gained momentum in the last decade, due to improved understanding of the physiochemical and molecular basis of various stresses. A good number of genes have been characterized for adaptation to various stresses. In the era of novel molecular markers, mapping of QTLs has emerged as viable solution for breeding crops tolerant to abiotic stresses. Therefore, molecular breeding-based development and deployment of high-yielding climate-resilient crop cultivars together with climate-smart agricultural practices can pave the path to enhanced crop yields for smallholder farmers in areas vulnerable to the climate change. Advances in fine mapping and expression studies integrated with cheaper prices offer new avenues for the plant breeders engaged in climate-resilient plant breeding, and thereby, hope persists to ensure food security in the era of climate change.",10.1007/s10142-019-00684-1,http://oar.icrisat.org/id/eprint/11271,2019-09,Functional & Integrative Genomics (TSI),1438-793X,Springer,19,5,climate resilience; molecular breeding; qtl; snps; genomic selection; cereals; genotyping by sequencing; food security; climate change; abiotic stresses; breeding,,685-701
Science-policy interfaces for sustainable climate-smart agriculture uptake: lessons learnt from national science-policy dialogue platforms in West Africa,"Zougmore, R B; Partey, S T; Totin, E; Ouedraogo, M; Thornton, P; Karbo, N; Sogoba, B; Dieye, B; Campbell, B M","CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS),(Bamako); ICRISAT (Bamako); International Livestock Research Institute (ILRI), (Nairobi); Council for Scientific & Industrial Research-Animal Research Institute (ARI), (Achimota); Association Malienne d’Eveil au Développement Durable (AMEDD), (Koutiala); Direction de l’Agriculture, (Dakar); International Center for Tropical Agriculture (CIAT), (Cali)","Connecting science with policy has always been challenging for both scientists and policymakers. In Ghana, Mali and Senegal, multi-stakeholder national science-policy
dialogue platforms on climate-smart agriculture (CSA) were setup to use scientific evidence to create awareness of climate change impacts on agriculture and
advocate for the mainstreaming of climate change and CSA into agricultural development plans. Based on the platforms’ operations and achievements, we used
semi-structured questionnaire interviews and reviewed technical reports produced by the platforms to analyse how their modes of operation and achievements improve understanding of the science-policy interfaces between agricultural and climate change decision making. Results showed that these platforms constitute an innovative approach to effectively engaging decision-makers and sustainably mainstreaming climate change into development plans. Effective science-policy interaction requires: (a) institutionalizing dialogue platforms by embedding them
within national institutions, which improves their credibility, relevance and legitimacy among policymakers; (b) two-way communication, which contributes
substantially to the co-development of solutions that address climate change vulnerabilities and impacts; and (c) relevant communication products and packaging of evidence that aligns with country priorities, which facilitates its uptake in policy-making processes. We conclude with a framework of sustainable operation for such platforms based on lessons learnt in the three countries.",10.1080/14735903.2019.1670934,http://oar.icrisat.org/id/eprint/11324,2019-09,International Journal of Agricultural Sustainability(TSI),1473-5903,Taylor & Francis,17,5,climate change; policy; institution; partnership; knowledge; capacity building; climate-smart agriculture; west africa,"CGIAR Fund Council,; Australia (ACIAR); European Union; International Fund for Agricultural Development (IFAD); USAID",367-382
Integrated breeding approaches for improving drought and heat adaptation in chickpea (Cicer arietinum L.),"Gaur, P M; Samineni, S; Thudi, M; Tripathi, S; Sajja, S; Jayalakshmi, V; Mannur, D M; Vijayakumar, A G; Ganga Rao, N V P R; Ojiewo, C O; Fikre, A; Kimurto, P; Kileo, R O; Girma, N; Chaturvedi, S K; Varshney, R K; Dixit, G P; Link, W","ICRISAT (Patancheru); The UWA Institute of Agriculture, University of Western Australia (Perth); ICAR-Indian Agricultural Research Institute (New Delhi); ANGRAU Regional Agricultural Research Station (Nandyal); UAS-Raichur Agricultural Research Station (Kalaburagi); UAS-Dharwad Regional Agricultural Research Station (Vijayapura); ICRISAT (Nairobi); ICRISAT (Addis Ababa); Egerton University (Njoro); Lake Zone Agricultural Research Institute, Ukiriguru (Mwanza); Ethiopian Institute of Agricultural Research, Debre Zeit Agricultural Research Center (Debre Zeit); ICAR-Indian Institute of Pulses Research (IIPR) (Kanpur)","Chickpea (Cicer arietinum L.) is a dry season food legume largely grown on residual soil moisture after the rainy season. The crop often experiences moisture stress towards end of the crop season (terminal drought). The crop may also face heat stress at the reproductive stage if sowing is delayed. The breeding approaches for improving adaptation to these stresses include the development of varieties with early maturity and enhanced abiotic stress tolerance. Several varieties with improved drought tolerance have been developed by selecting for grain yield under moisture stress conditions. Similarly, selection for pod set in the crop subjected to heat stress during reproductive stage has helped in the development of heat‐tolerant varieties. A genomic region, called QTL‐hotspot, controlling several drought tolerance‐related traits has been introgressed into several popular cultivars using marker‐assisted backcrossing (MABC), and introgression lines giving significantly higher yield than the popular cultivars have been identified. Multiparent advanced generation intercross (MAGIC) approach has been found promising in enhancing genetic recombination and developing lines with enhanced tolerance to terminal drought and heat stresses.",10.1111/pbr.12641,http://oar.icrisat.org/id/eprint/10871,2019-08,Plant Breeding (TSI),1799541,,,,genomics assisted breeding; integrated breeding; drought and heat adaptation; chickpea; cicer arietinum; climate change; early maturity; high temperature; moisture stress; molecular breeding; tanzania; ethiopia; heat tolerance; drought tolerance; early phenology; heat stress,CGIAR Generation Challenge Program; National Food Security Mission of the Government of India; Bill & Melinda Gates Foundation,1-12
"Weather based crop advisories for climate resilience : Crop management advisories through mobile phones yield positive results for groundnut farmers in Kurnool, Andhra Pradesh","Rao, A V R K; Dixit, S",ICRISAT (Patancheru),"Global warming is likely to reach 1.5°C between 2030 and 2052, if it continues to increase at the current rate, as per the report released in October 2018 by the Intergovernmental Panel on Climate Change. Climate related risks for natural and human systems are higher for global warming of 1.5°C than at present. Global atmospheric concentration of CO2 has increased from preindustrial level of 280 parts per million (ppm) to 409 ppm in December 2018. Studies show that climate change in India is real and
it is one of the major challenges faced by Indian agriculture, more so in the semi-arid tropics (SAT) of the country. ICRISAT under the National Initiative on Climate Resilient Agriculture (NICRA) project, quantified the
changes in areas under different climates in India and their study indicated increase in the semi-arid areas in the country...",,http://oar.icrisat.org/id/eprint/11266,2019-07,Ecologic,,,,,crop management advisories; mobile phones; groundnut farmers; andhra pradesh; weather based crop advisories; climate change; climate information; climate advisory services; climate resilience; crop advisories,,1-4
