Title,Subtitle,Author,Developing Country Author,ORCID,Publication Year,Series Name,Series Number,Publisher,Language,Record Type,Abstract,Source Publication,ISSN,DOI/WEB/URL,DOI Number,Full citation,Peer Reviewed - PR or Non-PR,Subject - keywords,Subject - author supplied keywords,Subject - country location,JEL Descriptors,IFPRI Descriptors,IFPRI Division,Access Rights,Creative Commons CC License,Creative Commons Dataentry,Related Documents,Associated data,Display Notes,Web link,PDF URL - outside IFPRI,IFPRI Publication Ranking,Research Initiatives,CGIAR Research Program,Reference URL
Agriculture and climate change in global scenarios,Why don't the models agree,"Nelson, Gerald C.; van der Mensbrugghe, Dominique; Ahammad, Helal; Blanc, Elodie; Calvin, Katherine; Hasegawa, Tomoko; Heyhoe, Edwina; Kyle, Page; Lotze-Campen, Hermann; von Lampe, Martin; Mason d'Croz, Daniel; van Meijl, Hans; Müller, Christoph; Reilly, John; Robertson, Richard D.; Sands, Ronald D.; Schmitz, Christoph; Tabeau, Andrzej; Takahashi, Kiyoshi; Valin, Hugo; Willenbockel1, Dirk",,"http://orcid.org/0000-0001-5741-3867 Robertson, Richard",2014,Agricultural Economics,,,English,Journal article,,Agricultural Economics 45(1): 85-101,,http://dx.doi.org/10.1111/agec.12091,10.1111/agec.12091,"Nelson, Gerald C.; van der Mensbrugghe, Dominique; Ahammad, Helal; Blanc, Elodie; Calvin, Katherine; Hasegawa, Tomoko; Heyhoe, Edwina; Kyle, Page; Lotze-Campen, Hermann; von Lampe, Martin; Mason-D'Croz, Daniel; van Meijl, Hans; Müller, Christoph; Reilly, John; Robertson, Richard D.; Sands, Ronald D.; Schmitz, Christoph; Tabeau, Andrzej; Takahashi, Kiyoshi; Valin, Hugo; and Willenbockel1, Dirk. 2014. Agriculture and climate change in global scenarios: Why don't the models agree. Agricultural Economics 45(1): 85-101. http://dx.doi.org/10.1111/agec.12091",PR,Econometric models; agriculture; protected areas; resource management; economic development; prices; nutrition; malnutrition; commodities; trade; food supply; food security; climate change; technological changes; commodity markets,scenarios; IMPACT model,WORLD,"Q10 Agriculture: General; Q11 Agriculture: Aggregate Supply and Demand Analysis, Prices; Q21 Renewable Resources and Conservation: Demand and Supply, Prices; Q54 Climate, Natural Disasters, Global Warming; Q55 Environmental Economics: Technological Innovation",IFPRI3; ISI; CRP2,EPTD; PIM,Restricted,,,,,,,,A,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/4385
Agrifood market participation and household livelihood diversification: Evidence from Vietnam,,"Takeshima, Hiroyuki",,"http://orcid.org/0000-0002-1761-408X Takeshima, Hiroyuki",2022,Journal of Developing Areas,56(4),Tennessee State University,English,Journal article,,Journal of Developing Areas 56(4): 217-230,0022-037X,https://doi.org/10.1353/jda.2022.0073,10.1353/jda.2022.0073,"Takeshima, Hiroyuki. 2022. Agrifood market participation and household livelihood diversification: Evidence from Vietnam. Journal of Developing Areas 56(4): 217-230. https://doi.org/10.1353/jda.2022.0073",PR,agrifood sector; smallholders; households; economic shock; climate change; economics; consumption; diversification; labour productivity; gender; income; food systems;,agrifood market; smallholder farm households (SFHs); economies of scope (EOS),VIET NAM; VIETNAM; SOUTH EAST ASIA; ASIA,,"IFPRI3; 3 Building Inclusive and Efficient Markets, Trade Systems, and Food Industry; 4 Transforming Agricultural and Rural Economies; CRP2",DSGD; PIM,Restricted,,,,,,,,B,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8334
Agro-ecosystem based sustainability indicators for climate resilient agriculture in India: A conceptual framework,,"Rao, Srinivasa Ch.; Kareemulla, K.; Krishnan, Pramila; Murthy, G.R.K.; Ramesh, P.; Ananthan, P.S.; Joshi, Pramod Kumar",,"http://orcid.org/0000-0002-9637-1767 Joshi, Pramod Kumar",2019,Ecological Indicators,105(October 2019),,English,Journal article,,Ecological Indicators 105(October 2019): 621-633 ,1470-160X ,https://doi.org/10.1016/j.ecolind.2018.06.038,10.1016/j.ecolind.2018.06.038,"Rao, Srinivasa Ch.; Kareemulla, K.; Krishnan, Pramila; Murthy, G.R.K.; Ramesh, P.; Ananthan, P.S.; and Joshi, Pramod Kumar. 2019. Agro-ecosystem based sustainability indicators for climate resilient agriculture in India: A conceptual framework. Ecological Indicators 105(October 2019): 621-633. https://doi.org/10.1016/j.ecolind.2018.06.038",PR,sustainability; risk management; climate change; agroecosystems,agricultural sustainability; climate resilient agriculture; sustainability indicators,INDIA; SOUTH ASIA; ASIA,,IFPRI3; 1 Fostering Climate-Resilient and Sustainable Food Supply; ISI,SAR,Restricted,,,,,,,,B,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/6279
All hat and no cattle: Accountability following the UN food systems summit,,"Covic, Namukolo; Dobermann, Achim; Fanzo, Jessica; Henson, Spencer; Herrero, Mario; Pingali, Prabhu; Staal, Steve",,"http://orcid.org/0000-0001-6566-9803 Covic, Namukolo",2021,Global Food Security,30(September 2021),Elsevier,English,Journal article,,Global Food Security 30(September 2021): 10056,2211-9124 ,https://doi.org/10.1016/j.gfs.2021.100569,10.1016/j.gfs.2021.100569,"Covic, Namukolo; Dobermann, Achim; Fanzo, Jessica; Henson, Spencer; Herrero, Mario; Pingali, Prabhu; and Staal, Steve. 2021. All hat and no cattle: Accountability following the UN food systems summit. Global Food Security 30(September 2021): 10056. https://doi.org/10.1016/j.gfs.2021.100569",PR,food systems; food policies; climate change; food security; health; accountability; human health,,,,IFPRI3; ISI; UNFSS; CRP4; 1 Fostering Climate-Resilient and Sustainable Food Supply; 2 Promoting Healthy Diets and Nutrition for all; 5 Strengthening Institutions and Governance,A4NH,Restricted,,,,,,,,B,,CGIAR Research Program on Agriculture for Nutrition and Health (A4NH),http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/7884
An integrated approach to maintaining cereal productivity under climate change,,"Reynolds, Matthew P.; Quilligan, Emma; Aggarwal, Pramod K.; Bansal, Kailash C.; Cavalieri, Anthony J.; Chapman, Scott C.; Chapotin, Saharah M.; Datta, Swapan K.; Duveiller, Etienne; Gill, Kulvinder S.; Jagadish, Krishna S. V.; Joshi, Arun K.; Koehler, Ann-Kristin; Kosina, Petr; Krishnan, Srivalli; Lafitte, Renee; Mahala, Rejendra S.; Muthrajan, Raveendran; Paterson, Andrew H.; Prasanna, Boddupalli M.; Rakshit, Sujay; Rosegrant, Mark W.; Sharma, Indu; Singh, Ravi P.; Sivasankar, Shoba; Vadez, Vincent; Valluru, Ravi; Prasad, P. V. Vara; Yadav, Om Prakash",,"http://orcid.org/0000-0001-6371-6127 Rosegrant, Mark",2016,Global Food Security,,,English,Journal article,,Global Food Security 8(2016): 9- 18,,http://dx.doi.org/10.1016/j.gfs.2016.02.002,10.1016/j.gfs.2016.02.002,"Reynolds, Matthew P.; Quilligan, Emma; Aggarwal, Pramod K.; Bansal, Kailash C.; Cavalieri, Anthony J.; Chapman, Scott C.; Chapotin, Saharah M.; Datta, Swapan K.; Duveiller, Etienne; Gill, Kulvinder S.; Jagadish, Krishna S. V.; Joshi, Arun K.; Koehler, Ann-Kristin; Kosina, Petr; Krishnan, Srivalli; Lafitte, Renee; Mahala, Rejendra S.; Muthrajan, Raveendran; Paterson, Andrew H.; Prasanna, Boddupalli M.; Rakshit, Sujay; Rosegrant, Mark W.; Sharma, Indu; Singh, Ravi P.; Sivasankar, Shoba; Vadez, Vincent; Valluru, Ravi; Prasad, P. V. Vara; and Yadav, Om Prakash. 2016. An integrated approach to maintaining cereal productivity under climate change. Global Food Security 8(2016): 9- 18. http://dx.doi.org/10.1016/j.gfs.2016.02.002",PR,climate change; cereals; yields; networks,phenotyping platforms,,,IFPRI3; ISI,EPTD,Open Access,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,,,,,,B,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/5302
Analysis of the economic impact of climate change and climate change adaptation strategies for fisheries sector in Pacific coral triangle countries,"Model, estimation strategy, and baseline results","Dey, Madan M.; Rosegrant, Mark W.; Gosh, Kamal; Chen, Oai Li; Valmonte-Santos, Rowena",,"http://orcid.org/0000-0001-6371-6127 Rosegrant, Mark; http://orcid.org/0000-0002-2069-4551 Valmonte-Santos, Rowena",2016,Marine Policy,,,English,Journal article,,Marine Policy 67(2016): 156 - 163,,http://dx.doi.org/10.1016/j.marpol.2015.12.011,10.1016/j.marpol.2015.12.011,"Dey, Madan M.; Rosegrant, Mark W.; Gosh, Kamal; Chen, Oai Li; and Valmonte-Santos, Rowena. 2016. Analysis of the economic impact of climate change and climate change adaptation strategies for fisheries sector in Pacific coral triangle countries: Model, estimation strategy, and baseline results. Marine Policy 67(2016): 156 - 163. http://dx.doi.org/10.1016/j.marpol.2015.12.011",PR,climate change; fisheries,supply-demand model,FIJI; SOLOMON ISLANDS; VANUATU; TIMOR-LESTE,,IFPRI3; ISI,EPTD,Restricted,,,,,,,,A,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/5248
Application of energy optimization models to design sustainable energy system: A review,,"Mondal, Md. Hossain Alam; Mezher, Toufic","Mezher, Toufic","http://orcid.org/0000-0003-4553-7867 Mondal, Alam",2017,The Engineering Journal of Application & Scopes,2(1),,English,Journal article,,The Engineering Journal of Application & Scopes 2(1),2456-0472,http://www.ij-tejas.com/paper/vol2Issue1/1.pdf,,"Mondal, Md. Hossain Alam; and Mezher, Toufic. 2017. Application of energy optimization models to design sustainable energy system: A review. The Engineering Journal of Application & Scopes 2(1). http://www.ij-tejas.com/paper/vol2Issue1/1.pdf",Non-PR,sustainable development; sustainability; energy; renewable energy; technology; climate change; energy consumption,sustainable energy; energy models; renewable energy technologies; low-carbon society,,,IFPRI3; DCA; A Ensuring Sustainable food production,EPTD,Open Access,,,,,,,,Not ranked,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/5748
Are scenario projections overly optimistic about future yield progress?,,"van Zeist, Willem-Jan; Stehfest, Elke; Doelman, Jonathan C.; Valin, Hugo; Calvin, Katherine; Sulser, Timothy B.; Wiebe, Keith D.",,"http://orcid.org/0000-0001-7128-5283 Sulser, Timothy B.; http://orcid.org/0000-0001-6035-620X Wiebe, Keith",2020,Global Environmental Change,64(September 2020),Elsevier,English,Journal article,,Global Environmental Change 64(September 2020): 102120,0959-3780,https://doi.org/10.1016/j.gloenvcha.2020.102120,10.1016/j.gloenvcha.2020.102120,"van Zeist, Willem-Jan; Stehfest, Elke; Doelman, Jonathan C.; Valin, Hugo; Calvin, Katherine; Sulser, Timothy B.; Wiebe, Keith D.; et al. 2020. Are scenario projections overly optimistic about future yield progress? Global Environmental Change 64(September 2020): 102120. https://doi.org/10.1016/j.gloenvcha.2020.102120",PR,resource management; economic development; food supply; food security; climate change; technological changes; cereals; yields; land use; modelling; crop yield,IMPACT model; Shared Socio-economic Pathways (SSPs); integrated assessment; crop yield projections; potential yield; attainable yield; International Model for Policy Analysis of Agricultural Commodities and Trade; Agricultural Model Intercomparison and Improvement Project (AgMIP),WORLD,,IFPRI3; ISI; CRP2; CRP7; 1 Fostering Climate-Resilient and Sustainable Food Supply; IMPACT model,EPTD; PIM,Restricted,,,Discussion paper http://ebrary.ifpri.org/cdm/ref/collection/p15738coll2/id/129825,,,,,A*,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM); CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/7371
Aspirations and the role of social protection: evidence from a natural disaster in rural Pakistan,,"Kosec, Katrina; Mo, Cecilia Hyunjung",,"http://orcid.org/0000-0002-5126-5215 Kosec, Katrina;",2017,World Development,97(September 2017),Elsevier,English,Journal article,"Citizens’ aspirations are increasingly recognized as an important dimension of their well-being. Those with high aspirations set ambitious goals for themselves, and those with low aspirations may fall prey to a poverty trap. Do natural disasters negatively impact aspirations? If so, can governments blunt these effects? We consider Pakistan’s devastating 2010 floods—and the government’s uneven relief efforts—to analyze these questions. We first show that the extreme rainfall generating this disaster significantly reduced aspirations, even when current levels of household expenditure, wealth, and education are taken into account. Individuals experiencing 2010 monsoon season rainfall that was one standard deviation higher than average had aspiration levels 1.5 years later that were 0.15 standard deviations lower than those of similar individuals experiencing just average levels of rainfall. This is the same negative shock to aspirations that one would experience as a result of a 50% reduction in household expenditures. Moreover, the negative effect of natural disasters on aspirations is especially strong among the poor, and among those who are most vulnerable to weather shocks. However, exploiting exogenous variation in flood relief access, we show that government social protection can attenuate these negative impacts. Individuals in villages that received Citizens Damage Compensation (Watan Card) Program flood relief—providing cash equivalent to 9.4% of annual household expenditures in each of the three years following the disaster—saw significantly lower declines in aspirations than did those in similarly affected villages without this relief. This offers a new understanding of social protection; it not only restores livelihoods and replaces damaged assets, but also has an enduring effect by easing mental burdens, and thus raising aspirations for the future. The negative effects of natural disasters and the efficacy of government relief programs may thus be underestimated if aspirations are ignored.",World Development 97(September 2017): 49-66,,https://doi.org/10.1016/j.worlddev.2017.03.039,10.1016/j.worlddev.2017.03.039,"Kosec, Katrina; and Mo, Cecilia Hyunjung. 2017. Aspirations and the role of social protection: evidence from a natural disaster in rural Pakistan. World Development 97(September 2017): 49-66. https://doi.org/10.1016/j.worlddev.2017.03.039",PR,climate change; psychology; natural disasters; flooding,state capacity; political economy of development; social protection; aspirations,PAKISTAN; SOUTH ASIA; ASIA,,"IFPRI; E.1 Policies, institutions and investments for resilient social systems; E Building Resilience; CRP2; D Transforming Agriculture; PSSP; ISI",DSGD; PIM,Open Access,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Discussion paper http://ebrary.ifpri.org/cdm/ref/collection/p15738coll2/id/129692 https://doi.org/10.2499/p15738coll2.134563 Editorial http://ebrary.ifpri.org/cdm/ref/collection/p15738coll5/id/5988,,"Funding support for this study was provided by the CGIAR Research Program on Policies, Institutions, and Markets and the U.S. Agency for International Development (USAID) [cooperative agreement # AID-391-IO-11-00002].",,,A,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/5793
Assessing climate change impacts on water resources and Colorado agriculture using an equilibrium Displacement Mathematical Programming Model,,"Fathelrahman, Eihab; Davies, Amalia; Davies, Stephen; Pritchett, James",,"http://orcid.org/0000-0003-3659-0893 Davies, Stephen",2014,Water,,,English,Journal article,,Water 6(6): 1745-1770,,http://dx.doi.org/10.3390/w6061745,10.3390/w6061745,"Fathelrahman, Eihab; Davies, Amalia; Davies, Stephen; and Pritchett, James. 2014. Assessing climate change impacts on water resources and Colorado agriculture using an equilibrium Displacement Mathematical Programming Model. Water 6(6): 1745-1770. http://dx.doi.org/10.3390/w6061745",Non-PR,demand irrigation; water; household food security; foods; energy; climate change,water demand; Colorado Equilibrium Displacement Positive Mathematical Programming model (Colorado EDMP); small open economy,,,IFPRI3; ISI,DSGD,Open Access,,,,,This journal is in 'Beall’s List of Predatory Publishers' http://scholarlyoa.com/publishers,,,Not ranked,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/4479
Assessing long-term spatial movement of wheat area across China,,"Fan, Lingling; Chen, Shi; Liang, Shefang; Sun, Xiao; Chen, Hao; You, Liangzhi; Wu, Wenbin; Sun, Jing; Yang, Peng","Fan, Lingling; Chen, Shi; Liang, Shefang; Sun, Xiao; Wu, Wenbin; Sun, Jing; Yang, Peng","http://orcid.org/0000-0001-7930-8814 You, Liangzhi",2020,Agricultural Systems,185(November 2020),Elsevier,English,Journal article,,Agricultural Systems 185(November 2020): 102933,0308-521X ,https://doi.org/10.1016/j.agsy.2020.102933,10.1016/j.agsy.2020.102933,"Fan, Lingling; Chen, Shi; Liang, Shefang; Sun, Xiao; Chen, Hao; You, Liangzhi; Wu, Wenbin; Sun, Jing; and Yang, Peng. 2020. Assessing long-term spatial movement of wheat area across China. Agricultural Systems 185(November 2020): 102933. https://doi.org/10.1016/j.agsy.2020.102933",PR,climate change; wheat; spatial distribution; crops; supply balance; food production; models,geographical centroid; driving factors; wheat area; spatial movement; wheat production; SPAM; Spatial Production Allocation Model,CHINA; EAST ASIA; ASIA,,IFPRI3; ISI; DCA; CRP2; 1 Fostering Climate-Resilient and Sustainable Food Supply; Capacity Strengthening,EPTD; PIM,Restricted,,,,https://doi.org/10.7910/DVN/PRFF8V,See also: https://www.mapspam.info/,,,A,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/7531
Assessing population exposure to coastal flooding due to sea level rise,,"Hauer, Mathew E.; Hardy, Dean; Kulp, Scott A.; Mueller, Valerie; Wrathall, David J.; Clark, Peter U.",,"http://orcid.org/0000-0003-1246-2141 Mueller, Valerie",2021,Nature Communications,12,Nature Publishing Group,English,Journal article,"The exposure of populations to sea-level rise (SLR) is a leading indicator assessing the impact of future climate change on coastal regions. SLR exposes coastal populations to a spectrum of impacts with broad spatial and temporal heterogeneity, but exposure assessments often narrowly define the spatial zone of flooding. Here we show how choice of zone results in differential exposure estimates across space and time. Further, we apply a spatio-temporal flood-modeling approach that integrates across these spatial zones to assess the annual probability of population exposure. We apply our model to the coastal United States to demonstrate a more robust assessment of population exposure to flooding from SLR in any given year. Our results suggest that more explicit decisions regarding spatial zone (and associated temporal implication) will improve adaptation planning and policies by indicating the relative chance and magnitude of coastal populations to be affected by future SLR.",Nature Communications 12: 6900,2041-1723,https://doi.org/10.1038/s41467-021-27260-1,10.1038/s41467-021-27260-1,"Hauer, Mathew E.; Hardy, Dean; Kulp, Scott A.; Mueller, Valerie; Wrathall, David J.; and Clark, Peter U. 2021. Assessing population exposure to coastal flooding due to sea level rise. Nature Communications 12: 6900. https://doi.org/10.1038/s41467-021-27260-1",PR,population; assessment; coastal climate; flooding; sea level; climate change,,UNITED STATES; USA; NORTH AMERICA; AMERICAS,,IFPRI3; ISI,DSGD,Open Access,,,,,,,,A*,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8046
Assessing residue and tillage management options for carbon sequestration in future climate change scenarios,,"Aditi, Kumari; Abbhishek, Kumar; Chander, Girish; Singh, Ajay; Falk, Thomas; Mequanint, Melesse B.; Cuba, Perumal; Anupama, G.; Mandpati, Roja; Nagaraji, Satish",,"https://orcid.org/0000-0002-2200-3048 Falk, Thomas",2023,Current Research in Environmental Sustainability,5(2023),Elsevier,English,Journal article,"Soil carbon depletion is a major concern for food security in drylands. The objective of this study is to test tillage with residue management under sequential and intercropping systems for carbon sequestration in semi-arid tropical drylands of India. We report the findings from a long-term field experiment (9 years) used to simulate the effect of residue and tillage management in Maize-chickpea sequential and Maize-Pigeonpea intercropping systems for the four possible future climate projections using APSIM model. These findings demonstrate a sustainable route with inclusive growth, as pledged at the UN climate change summit. A comparison of results under SSP 2.6 and 4.5 Wm−2 with SSP 8.5 shows that demand pressure from competitive marketplaces inhibits the establishment of soil carbon sinks and significantly reduces crop yields, likely due to indiscriminate chemical fertilizer use. We observed that a better decision in selecting cropping system might improve soil organic carbon content (SOC). SOC content ranging from 0.9 to 1.2% in Maize-pigeonpea intercropping and 0.85–1.1% in maize-chickpea sequential cropping systems, demonstrate good potential in the climate change mitigation exertions. Early SOC saturation (20 years) led to a decreased carbon stock in topsoil without residue addition practises. The addition of crop residues significantly increased SOC levels under both conventional and minimum tillage and created additional income for farmers. Simulation analysis showed impact of SOC changes on crop yield which remained nearly stable for 85 years. Therefore, hardy straw biomass of crops covering a large tract in dryland tropics, can be a scalable and sustainable solution to yield losses, while mitigating climate change through carbon sequestration.",Current Research in Environmental Sustainability 5(2023): 100210,2666-0490,https://doi.org/10.1016/j.crsust.2023.100210,10.1016/j.crsust.2023.100210,"Aditi, Kumari; Abbhishek, Kumar; Chander, Girish; Singh, Ajay; Falk, Thomas; Mequanint, Melesse B. et al. 2023. Assessing residue and tillage management options for carbon sequestration in future climate change scenarios. Current Research in Environmental Sustainability 5(2023): 100210. https://doi.org/10.1016/j.crsust.2023.100210",PR,soil; carbon; food security; intercropping; carbon sequestration; tillage; maize; chickpeas; pigeonpea; climate change adaptation; climate change; sustainability; crop yield; fertilizers; cropping systems; natural resouces management; natural resources; dry lands; crop residues; modeling; soil organic carbon; climate prediction,APSIM model,INDIA; SOUTH ASIA; ASIA,,IFPRI3; 1 Fostering Climate-Resilient and Sustainable Food Supply; ISI,Natural Resources and Resilience (NRR); Transformation Strategies,Open Access,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,,,,,,C,Agroecology,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8619
Assessing the future global distribution of land ecosystems as determined by climate change and cropland incursion,,"Robertson, Richard D.; De Pinto, Alessandro; Cenacchi, Nicola",,"http://orcid.org/0000-0001-5741-3867 Robertson, Richard; http://orcid.org/0000-0003-1913-4263 Cenacchi, Nicola",2023,Climatic Change,176(8),Springer,English,Journal article,"The geographic distribution of natural ecosystems is afected by both climate and cropland. Discussions of future land use/land cover usually focus on how cropland expands and displaces natural vegetation especially as climate change impacts become stronger. Less commonly considered is the direct infuence of climate change on natural ecosystems simultaneously with cropland incursion. We combine a natural vegetation model responsive to climate with a cropland allocation algorithm to assess the relative importance of climate change compared to cropland incursion. Globally, the model indicates that climate change drives larger gains and losses than cropland incursion. For example, in the Amazonian rainforests, more than one sixth of the forest area could be lost due to climate change with cropland playing virtually no role. Our fndings suggest that policies to protect specifc ecosystems may be undercut by climate change and that localized analyses that fully account for the impacts of a changing climate on natural vegetation and agriculture are necessary to formulate policies that preserve natural ecosystems over the long term. ",Climatic Change 176(8): 108,0165-0009,https://doi.org/10.1007/s10584-023-03584-3,10.1007/s10584-023-03584-3,"Robertson, Richard D.; De Pinto, Alessandro; and Cenacchi, Nicola. 2023. Assessing the future global distribution of land ecosystems as determined by climate change and cropland incursion. Climatic Change 176(8): 108. https://doi.org/10.1007/s10584-023-03584-3",PR,agriculture; climate; climate change; ecosystems; farmland; vegetation,natural vegetation model,WORLD,,IFPRI3; ISI; CRP2; 1 Fostering Climate-Resilient and Sustainable Food Supply,Foresight and Policy Modeling (FPM); Transformation Strategies; PIM,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,,,,,,A,Foresight,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8816
Assessing the impacts of climate change on women's poverty: A Bolivian case study,,"Escalante, Luis Enrique; Maisonnave, Helene",,"https://orcid.org/0000-0001-6599-9730 Escalante, Luis Enrique",2023,Journal of International Development,35(5),John Wiley & Sons,English,Journal article,"Climate change affects men and women differently, and pre-existing gender disparities may worsen. We use a gendered computable general equilibrium model linked with microsimulations to assess the distributive effects of climate change in Bolivia. Two scenarios are evaluated. The first scenario addresses capital and land damages, while the second analyses the decrease in agricultural production yields. We find that both scenarios have negative impacts on the Bolivian economy. The scenarios drive down employment and increase the burden of domestic work, especially for women. Furthermore, both simulations reveal negative impacts on poverty, with women in rural areas being the most affected.",Journal of International Development 35(5): 669-960,0954-1748,https://doi.org/10.1002/jid.3711,10.1002/jid.3711,"Escalante, Luis Enrique; and Maisonnave, Helene. 2023. Assessing the impacts of climate change on women's poverty: A Bolivian case study. Journal of International Development 35(5): 669-960. https://doi.org/10.1002/jid.3711",PR,agricultural production; climate change; computable general equilibrium models; domestic work; gender; models; men; poverty; rural areas; women; yields   ,,BOLIVIA; SOUTH AMERICA; LATIN AMERICA; AMERICAS,"C68 Computable General Equilibrium Models; J16 Economics of Gender, Non-labor Discrimination; Q54 Climate, Natural Disasters, Global Warming",IFPRI3; ISI; 1 Fostering Climate-Resilient and Sustainable Food Supply; Cross-cutting gender theme,Foresight and Policy Modeling (FPM); Transformation Strategies,Open Access,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,,https://doi.org/10.7910/DVN/29015,,,,C,Climate Resilience; Gender Equality,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8783
Balancing national economic policy outcomes for sustainable development,,"Basheer, Mohammed; Nechifor, Victor; Calzadilla, Alvaro; Ringler, Claudia; Hulme, David; Harou, Julien J.",,"http://orcid.org/0000-0002-8266-0488 Ringler, Claudia",2022,Nature Communications,13,Nature Publishing Group,English,Journal article,"The 2030 Sustainable Development Goals (SDGs) aim at jointly improving economic, social, and environmental outcomes for human prosperity and planetary health. However, designing national economic policies that support advancement across multiple Sustainable Development Goals is hindered by the complexities of multi-sector economies and often conflicting policies. To address this, we introduce a national-scale design framework that can enable policymakers to sift through complex, non-linear, multi-sector policy spaces to identify efficient policy portfolios that balance economic, social, and environmental goals. The framework combines economy-wide sustainability simulation and artificial intelligence-driven multiobjective, multi-SDG policy search and machine learning. The framework can support multi-sector, multi-actor policy deliberation to screen efficient policy portfolios. We demonstrate the utility of the framework for a case study of Egypt by identifying policy portfolios that achieve efficient mixes of poverty and inequality reduction, economic growth, and climate change mitigation. The results show that integrated policy strategies can help achieve sustainable development while balancing adverse economic, social, and political impacts of reforms.",Nature Communications 13: 5041,2041-1723,https://doi.org/10.1038/s41467-022-32415-9,10.1038/s41467-022-32415-9,"Basheer, Mohammed; Nechifor, Victor; Calzadilla, Alvaro; Ringler, Claudia; Hulme, David; and Harou, Julien J. 2022. Balancing national economic policy outcomes for sustainable development. Nature Communications 13: 5041. https://doi.org/10.1038/s41467-022-32415-9",PR,policies; economic policies; Sustainable Development Goals; poverty reduction; equality; climate change mitigation; climate change; reforms,,EGYPT; ARAB COUNTRIES; MIDDLE EAST; NORTH AFRICA; AFRICA,,IFPRI3; ISI; 1 Fostering Climate-Resilient and Sustainable Food Supply,EPTD,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,Brief https://ebrary.ifpri.org/digital/collection/p15738coll2/id/136321,,,,,A*,NEXUS Gains,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8347
