Title,Authors,Abstract,Funder,Language,DOI,Access rights,Usage rights,Repository link,Publication date,Journal,ISSN,Publisher,Pages,Subjects,Type
Adaptation in a transboundary river basin,"Heikkila, Tanya; Gerlak, Andrea K.; Bell, Andrew; Schmeier, Susanne",,,English,10.1016/j.envsci.2012.09.013,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3769,2013,Environmental Science and Policy,,,Environmental Science and Policy 25(January): 73-82,adaptation; river basin organization; adaptive capacity; climate change; flooding; hydropower,Journal article
Adaptation mitigates the negative effect of temperature shocks on household consumption,"Lai, Wangyang; Li, Shanjun; Liu, Yanyan; Barwick, Panle Jia",,,English,10.1038/s41562-022-01315-9,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8169,2022,Nature Human Behavior,2397-3374,Nature Publishing Group,Nature Human Behavior 6: 837-846,shock; household consumption; temperature resistance; weather; climate change; climate change adaptation; economics,Journal article
Adapting agriculture to climate change in Kenya,"Bryan, Elizabeth; Ringler, Claudia; Okoba, Barrack; Roncoli, Carla; Silvestri, Silvia; Herrero, Mario",,,English,10.1016/j.jenvman.2012.10.036,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3792,2013,Journal of Environmental Management,,,Journal of Environmental Management 114(15 January 2013): 26-35,climate change; adaptation; agriculture,Journal article
"Adapting irrigated and rainfed wheat to climate change in semi-arid environments: Management, breeding options and land use change","Hernandez-Ochoa, Ixchel M.; Pequeno, Diego Notello Luz; Reynolds, Matthew P.; Babar, Md Ali; Robertson, Ricky",,Bill and Melinda Gates Foundation; World Bank Group; Mexican Government,English,10.1016/j.eja.2019.125915,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7065,2019,European Journal of Agronomy,1161-0301,Elsevier,European Journal of Agronomy 109(September 2019): 125915,irrigated farming; irrigation; rainfed farming; wheat; climate change; climate; semiarid climate; land use change; land use; crop production; crop losses; fertilizers; yields; triticum; uncertainty; crop model ensemble,Journal article
Adapting to climate change: Scenario analysis of grain production in China,"Zhou, Shudong; Zhou, Wenkui; Lin, Guanghua; Chen, Jing; Jiang, Tong; Li, Man",,"Key Project of National Philosophy and Social Science Foundation of China; China Agricultural Research System; Soft science project of Ministry of Agriculture of China; Fundamental Research Funds for the Central Universities of China; Priority Academic Program Development of Jiangsu Higher Education Institutions (PAPD); China Center for Food Security Studies, Nanjing Agricultural University; National Natural Science Foundation of China",English,10.1108/caer-10-2016-0173,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5985,2017,China Agricultural Economic Review,,Emerald Group Publishing Limited,China Agricultural Economic Review 9(4): 643-659,climate change; climate change adaptation; grain crops; crop production; crop modelling; chinese agricultural policy analysis model; capa model,Journal article
Addressing gender in agricultural research for development in the face of a changing climate: where are we and where should we be going?,"Kristjanson, Patricia; Bryan, Elizabeth; Bernier, Quinn; Twyman, Jennifer; Meinzen-Dick, Ruth Suseela; Kieran, Caitlin; Ringler, Claudia; Jost, Christine; Doss, Cheryl","Agricultural development efforts that do not address persistent gender gaps miss opportunities for greater impact. This synthesis reflects on key findings from integrated quantitative and qualitative analyses at the nexus of gender, agricultural development, and climate change. Linked farm household-, intrahousehold-, community-, and institutional-level data highlight significant and nuanced gender differences in adaptive capacity of individuals and communities to respond to climate change. The gender gap is also substantial in exposure to climate change and its impacts, and uptake of new practices that lower vulnerability. Women in agriculture will remain largely neglected by information and service providers unless their differing needs, access to, and control over resources are considered at policy and project design stage. Yet clear guidelines for addressing the needs of both men and women in different environments and agricultural systems are still lacking. Participatory ‘action research’ approaches with a focus on co-learning, and using innovative cell phone or social media-based approaches offer exciting new opportunities. Agricultural development decision-makers and project designers need to ‘design with gender in mind’. Equipping them with tools and knowledge of innovative gender-transformative practices and intervention options and creating accountability for serving women and men will be key.",,English,10.1080/14735903.2017.1336411,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5855,2017,International Journal of Agricultural Sustainability,,,International Journal of Agricultural Sustainability 15(5): 482-500,agricultural development; climate change; resilience; gender inequity; gender; adaptive capacity; vulnerability,Journal article
"Adoption of climate change mitigation practices by risk-averse farmers in the Ashanti Region, Ghana","De Pinto, Alessandro; Robertson, Richard D.; Obiri, Beatrice Darko",,,English,10.1016/j.ecolecon.2012.11.002,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3793,2013,Ecological Economics,,,Ecological Economics 86(February 2013): 47-54,carbon payments; climate change mitigation; ecosystem services; risk; aversion; climate change; carbon,Journal article
Agricultural development and land‐use change in India: A scenario analysis of trade‐offs between UN Sustainable Development Goals (SDGs),"Hinz, Roman; Sulser, Timothy B.; Huefner, R.; Mason-D'Croz, Daniel; Dunston, Shahnila; Ringler, Claudia","India has the second largest population in the world and is characterized by a broad diversity in climate, topography, flora, fauna, land‐use, and socioeconomic conditions. To help ensure food security in the future, agricultural systems will have to respond to global change drivers such as population growth, changing dietary habits, and climate change. However, alterations of how food is produced in the future may conflict with other UN Sustainable Development Goals (SDGs), such as the protection of land resources and climate change mitigation. It is crucial for decision‐makers to understand potential trade‐offs between these goals to find a balance of human needs and environmental impacts. In this paper, we analyze pathways of agricultural productivity, land‐use, and land‐cover changes in India until 2030 and their impacts on terrestrial biodiversity and carbon storage. The results show that in order to meet future food production demands, agricultural lands are likely to expand and existing farmlands need to be intensified. However, both processes will result in biodiversity losses. At the same time, the projections reveal carbon stock increases due to intensification processes and decreases due to conversions of natural land into agriculture. On balance, we find that carbon stocks increase with the scenarios of future agricultural productivity as modeled here. In conclusion, we regard further agricultural intensification as a crucial element to help ensure food security and to slow down the expansion of cropland and pasture. At the same time, policies are required to implement this intensification in a way that minimizes biodiversity losses.",International Center for Development and Decent Work (ICDD); Centre for Ecological Economics and Natural Resources (CEENR); Institute for Social and Economic Change (ISEC); United States Agency for International Development USAID; Bill and Melinda Gates Foundation,English,10.1029/2019ef001287,Open Access,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7047,2020,Earth's Future,2328-4277,American Geophysical Union (AGU),Earth's Future 8(2): e2019EF001287,agricultural development; agriculture; land use change; land use; sustainable development goals; food security; food production; goal 12 responsible production and consumption; climate change; climate change mitigation; agricultural productivity; biodiversity; carbon sequestration; impact model; landshift model,Journal article
Agricultural growth and sex-disaggregated employment in Africa: Future perspectives under different investment scenarios,"Frija, Aymen; Chebil, Ali; Mottaleb, Khondoker Abdul; Mason-D'Croz, Daniel; Dhehibi, Boubaker","Literature is scanty on how public agricultural investments can help reducing the impact of future challenges such as climate change and population pressure on national economies. The objective of this study is to assess the medium and long-term effects of alternative agricultural research and development investment scenarios on male and female employment in 14 African countries. We first estimate the effects of agricultural investment scenarios on the overall GDP growth of a given country using partial and general equilibrium models. Secondly, using employment elasticities to GDP growth, we estimate the impact of GDP growth on overall employment in the economy. Results show that, increased investments in agriculture could generate higher overall employment and reduce gender disparities in labor participation. In 8 out of 14 sampled countries, female employment increased more than male employment in response to agricultural investments. Investment in infrastructure had higher impact on female employment growth compared to productivity scenarios.",Bill and Melinda Gates Foundation; United States Agency for International Development USAID,English,10.1016/j.gfs.2020.100353,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7081,2020,Global Food Security,2211-9124,Elsevier,Global Food Security 24(March 2020): 100353,agriculture; gender; employment; investment; research; gross national product; commodities; trade; food security; climate change; commodity markets; employment elasticities; investment scenarios,Journal article
Agricultural investments and hunger in Africa modeling potential contributions to SDG2 – Zero Hunger,"Mason-D'Croz, Daniel; Sulser, Timothy B.; Wiebe, Keith D.; Rosegrant, Mark W.; Lowder, Sarah K.; Nin-Pratt, Alejandro; Willenbockel, Dirk; Robinson, Sherman; Zhu, Tingju; Cenacchi, Nicola; Dunston, Shahnila; Robertson, Richard D.","We use IFPRI’s IMPACT framework of linked biophysical and structural economic models to examine developments in global agricultural production systems, climate change, and food security. Building on related work on how increased investment in agricultural research, resource management, and infrastructure can address the challenges of meeting future food demand, we explore the costs and implications of these investments for reducing hunger in Africa by 2030. This analysis is coupled with a new investment estimation model, based on the perpetual inventory methodology (PIM), which allows for a better assessment of the costs of achieving projected agricultural improvements. We find that climate change will continue to slow projected reductions in hunger in the coming decades—increasing the number of people at risk of hunger in 2030 by 16 million in Africa compared to a scenario without climate change. Investments to increase agricultural productivity can offset the adverse impacts of climate change and help reduce the share of people at risk of hunger in 2030 to five percent or less in Northern, Western, and Southern Africa, but the share is projected to remain at ten percent or more in Eastern and Central Africa. Investments in Africa to achieve these results are estimated to cost about 15 billion USD per year between 2015 and 2030, as part of a larger package of investments costing around 52 billion USD in developing countries.",United States Agency for International Development USAID; United Nations; Food and Agriculture Organization of the United Nations (FAO); Bill and Melinda Gates Foundation,English,10.1016/j.worlddev.2018.12.006,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6539,2019,World Development,0305-750X,,World Development 116(April 2019): 38-53,commodities; trade; food supply; food security; climate change; technological changes; commodity markets; resource management; economic development; prices; nutrition; malnutrition; sustainable development goals; hunger; investment; impact model,Journal article
Agricultural nutrient loadings to the freshwater environment: The role of climate change and socioeconomic change,"Xie, Hua; Ringler, Claudia",,,English,10.1088/1748-9326/aa8148,Open Access,https://creativecommons.org/licenses/by/3.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5960,2017,Environmental Research Letters,,IOP Publishing Ltd,Environmental Research Letters 12(10): 104008,agriculture; water quality; climate change; pollution by agriculture; eutrophication; water pollution; nutrient loading; impact model,Journal article
Agricultural subsidies and global greenhouse gas emissions,"Laborde Debucquet, David; Mamun, Abdullah; Martin, Will; Piñeiro, Valeria; Vos, Rob","Agricultural production is strongly affected by and a major contributor to climate change. Agriculture and land-use change account for a quarter of total global emissions of greenhouse gases (GHG). Agriculture receives around US$600 billion per year worldwide in government support. No rigorous quantification of the impact of this support on GHG emissions has been available. This article helps fill the void. Here, we find that, while over the years the government support has incentivized the development of high-emission farming systems, at present, the support only has a small impact in terms of inducing additional global GHG emissions from agricultural production; partly because support is not systematically biased towards high-emission products, and partly because support generated by trade protection reduces demand for some high-emission products by raising their consumer prices. Substantially reducing GHG emissions from agriculture while safeguarding food security requires a more comprehensive revamping of existing support to agriculture and food consumption.",World Bank Group,English,10.1038/s41467-021-22703-1,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7760,2021,Nature Communications,2041-1723,Nature Publishing Group,Nature Communications 12: 2601,subsidies; agriculture; greenhouse gas emissions; models; climate change; agricultural production; trade; agricultural subsidies; miragrodep; computable general equilibrium (cge) model,Journal article
Agricultural water allocation under uncertainty: Redistribution of water shortage risk," Li, Man; Xu, Wenchao; Zhu, Tingju ","This article develops an economic model to analyze how the risk of water shortages affects farmers’ land irrigation decision and how the priority-based water sharing arrangement redistributes such a risk among farms with different water rights priorities. The analysis brings together an array of comprehensive data files on irrigation rights, water supplies, and agricultural land use from eastern Idaho. Results indicate that a more left-skewed distribution of streamflow significantly discourages land irrigation among farmers except the most senior rights holders. The priority-based water sharing arrangement redistributes the macroscale risk of water shortages and thus exposes farmers of different water rights priorities to heterogeneous levels of risk: senior water rights holders are affected the least and such a risk is instead passed mostly on to junior water rights holders. The role of water rights in risk redistribution is more significant when the probability distribution of water shortage risk is asymmetric rather than symmetric. The historical development pattern of water rights influences how the priority of water rights takes effect on land irrigation decision.",Fundamental Research Funds for the Central Universities; National Natural Science Foundation of China; National Aeronautics and Space Administration,English,10.1093/ajae/aay058,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6336,2018,American Journal of Agricultural Economics,,Oxford University Press,American Journal of Agricultural Economics 101(1): 134–153,irrigation systems; water availability; water supply; groundwater; climate change; water rights; water management; irrigated farming; agricultural policies; land irrigation; water shortage; risk redistribution,Journal article
Agriculture and climate change in global scenarios,"Nelson, Gerald C.; van der Mensbrugghe, Dominique; Ahammad, Helal; Blanc, Elodie; Calvin, Katherine; Hasegawa, Tomoko; Heyhoe, Edwina; Kyle, Page; Lotze-Campen, Hermann; von Lampe, Martin; Mason d'Croz, Daniel; van Meijl, Hans; Müller, Christoph; Reilly, John; Robertson, Richard D.; Sands, Ronald D.; Schmitz, Christoph; Tabeau, Andrzej; Takahashi, Kiyoshi; Valin, Hugo; Willenbockel1, Dirk",,,English,10.1111/agec.12091,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4385,2014,Agricultural Economics,,,Agricultural Economics 45(1): 85-101,econometric models; agriculture; protected areas; resource management; economic development; prices; nutrition; malnutrition; commodities; trade; food supply; food security; climate change; technological changes; commodity markets; scenarios; impact model,Journal article
Agrifood market participation and household livelihood diversification: Evidence from Vietnam,"Takeshima, Hiroyuki",,,English,10.1353/jda.2022.0073,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8334,2022,Journal of Developing Areas,0022-037X,Tennessee State University,Journal of Developing Areas 56(4): 217-230,agrifood sector; smallholders; households; economic shock; climate change; economics; consumption; diversification; labour productivity; gender; income; food systems; agrifood market; smallholder farm households (sfhs); economies of scope (eos),Journal article
Agro-ecosystem based sustainability indicators for climate resilient agriculture in India: A conceptual framework,"Rao, Srinivasa Ch.; Kareemulla, K.; Krishnan, Pramila; Murthy, G.R.K.; Ramesh, P.; Ananthan, P.S.; Joshi, Pramod Kumar",,,English,10.1016/j.ecolind.2018.06.038,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6279,2019,Ecological Indicators,1470-160X,,Ecological Indicators 105(October 2019): 621-633,sustainability; risk management; climate change; agroecosystems; agricultural sustainability; climate resilient agriculture; sustainability indicators,Journal article
All hat and no cattle: Accountability following the UN food systems summit,"Covic, Namukolo; Dobermann, Achim; Fanzo, Jessica; Henson, Spencer; Herrero, Mario; Pingali, Prabhu; Staal, Steve",,,English,10.1016/j.gfs.2021.100569,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7884,2021,Global Food Security,2211-9124,Elsevier,Global Food Security 30(September 2021): 10056,food systems; food policies; climate change; food security; health; accountability; human health,Journal article
An integrated approach to maintaining cereal productivity under climate change,"Reynolds, Matthew P.; Quilligan, Emma; Aggarwal, Pramod K.; Bansal, Kailash C.; Cavalieri, Anthony J.; Chapman, Scott C.; Chapotin, Saharah M.; Datta, Swapan K.; Duveiller, Etienne; Gill, Kulvinder S.; Jagadish, Krishna S. V.; Joshi, Arun K.; Koehler, Ann-Kristin; Kosina, Petr; Krishnan, Srivalli; Lafitte, Renee; Mahala, Rejendra S.; Muthrajan, Raveendran; Paterson, Andrew H.; Prasanna, Boddupalli M.; Rakshit, Sujay; Rosegrant, Mark W.; Sharma, Indu; Singh, Ravi P.; Sivasankar, Shoba; Vadez, Vincent; Valluru, Ravi; Prasad, P. V. Vara; Yadav, Om Prakash",,,English,10.1016/j.gfs.2016.02.002,Open Access,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5302,2016,Global Food Security,,,Global Food Security 8(2016): 9- 18,climate change; cereals; yields; networks; phenotyping platforms,Journal article
Analysis of the economic impact of climate change and climate change adaptation strategies for fisheries sector in Pacific coral triangle countries,"Dey, Madan M.; Rosegrant, Mark W.; Gosh, Kamal; Chen, Oai Li; Valmonte-Santos, Rowena",,Asian Development Bank ADB,English,10.1016/j.marpol.2015.12.011,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5248,2016,Marine Policy,,,Marine Policy 67(2016): 156 - 163,climate change; fisheries; supply-demand model,Journal article
Application of energy optimization models to design sustainable energy system: A review,"Mondal, Md. Hossain Alam; Mezher, Toufic",,,English,,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5748,2017,The Engineering Journal of Application & Scopes,2456-0472,,The Engineering Journal of Application & Scopes 2(1),sustainable development; sustainability; energy; renewable energy; technology; climate change; energy consumption; sustainable energy; energy models; renewable energy technologies; low-carbon society,Journal article
Are scenario projections overly optimistic about future yield progress?,"van Zeist, Willem-Jan; Stehfest, Elke; Doelman, Jonathan C.; Valin, Hugo; Calvin, Katherine; Sulser, Timothy B.; Wiebe, Keith D.",,,English,10.1016/j.gloenvcha.2020.102120,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7371,2020,Global Environmental Change,0959-3780,Elsevier,Global Environmental Change 64(September 2020): 102120,resource management; economic development; food supply; food security; climate change; technological changes; cereals; yields; land use; modelling; crop yield; impact model; shared socio-economic pathways (ssps); integrated assessment; crop yield projections; potential yield; attainable yield; international model for policy analysis of agricultural commodities and trade; agricultural model intercomparison and improvement project (agmip),Journal article
